Welcome Back!,Καλώς ήρθατε ξανά!
Manage tax classes and tax rates for different regions.,Διαχειριστείτε φορολογικές κλάσεις και φορολογικούς συντελεστές για διαφορετικές περιοχές.
Manage the SEO settings of the category.,Διαχειριστείτε τις ρυθμίσεις SEO της κατηγορίας.
Manage the SEO settings.,Διαχειριστείτε τις ρυθμίσεις SEO.
Manage the attributes.,Διαχειριστείτε τα χαρακτηριστικά.
Manage the collections associated with this product.,Διαχειριστείτε τις συλλογές που σχετίζονται με αυτό το προϊόν.
Manage the general information of the category.,Διαχειριστείτε τις γενικές πληροφορίες της κατηγορίας.
Manage the general information of the product.,Διαχειριστείτε τις γενικές πληροφορίες του προϊόντος.
Manage the inventory settings of the product.,Διαχειριστείτε τις ρυθμίσεις αποθέματος του προϊόντος.
Manage the products assigned to this category.,Διαχειριστείτε τα προϊόντα που έχουν αντιστοιχιστεί σε αυτή την κατηγορία.
Manage the products assigned to this collection.,Διαχειριστείτε τα προϊόντα που έχουν αντιστοιχιστεί σε αυτή τη συλλογή.
Manage the shipping settings of the product.,Διαχειριστείτε τις ρυθμίσεις αποστολής του προϊόντος.
Manage the status settings of the category.,Διαχειριστείτε τις ρυθμίσεις κατάστασης της κατηγορίας.
Manage the variant group of the product.,Διαχειριστείτε την ομάδα παραλλαγών του προϊόντος.
Marketing,Μάρκετινγκ
Max ${unit},Μέγ. ${unit}
Max is required,Το μέγιστο είναι υποχρεωτικό
Maximum,Μέγιστο
Maximum amount is ${value} ${currency},Το μέγιστο ποσό είναι ${value} ${currency}
Maximum quantity is required,Η μέγιστη ποσότητα είναι υποχρεωτική
Maximum quantity must be greater than or equal to 0,Η μέγιστη ποσότητα πρέπει να είναι μεγαλύτερη ή ίση με 0
Media,Πολυμέσα
Meta Description,Meta Περιγραφή
Meta Title,Meta Τίτλος
Meta Title is required,Ο Meta Τίτλος είναι υποχρεωτικός
Meta description,Meta περιγραφή
Meta description is required,Η Meta περιγραφή είναι υποχρεωτική
Meta title,Meta τίτλος
Meta title is required,Ο Meta τίτλος είναι υποχρεωτικός
Method,Μέθοδος
Method created,Η μέθοδος δημιουργήθηκε
Method name,Όνομα μεθόδου
Method name is required,Το όνομα μεθόδου είναι υποχρεωτικό
Method updated,Η μέθοδος ενημερώθηκε
Methods →,Μέθοδοι →
Min ${unit},Ελάχ. ${unit}
Min Price,Ελάχ. Τιμή
Min Weight,Ελάχ. Βάρος
Min is required,Το ελάχιστο είναι υποχρεωτικό
Min price is required,Η ελάχιστη τιμή είναι υποχρεωτική
Min weight is required,Το ελάχιστο βάρος είναι υποχρεωτικό
Minimum purchase amount,Ελάχιστο ποσό αγοράς
Minimum purchase qty,Ελάχ. ποσότητα αγοράς
Minimum purchase quantity,Ελάχιστη ποσότητα αγοράς
Minimum purchased amount. This only applies to registered customers.,Ελάχιστο ποσό αγοράς. Αυτό ισχύει μόνο για εγγεγραμμένους πελάτες.
Minimum quantity is required,Η ελάχιστη ποσότητα είναι υποχρεωτική
Missing name,Λείπει το όνομα
Money,Χρήματα
Name is required.,Το όνομα είναι υποχρεωτικό.
Navigation,Πλοήγηση
New Attribute,Νέο Χαρακτηριστικό
New Category,Νέα Κατηγορία
New Collection,Νέα Συλλογή
New Coupon,Νέο Κουπόνι
New Page,Νέα Σελίδα
New Variant,Νέα Παραλλαγή
New coupon,Νέο κουπόνι
New rate,Νέα χρέωση
No collections,Καμία συλλογή
No editable routes.,Δεν υπάρχουν επεξεργάσιμες διαδρομές.
No file selected,Δεν επιλέχθηκε αρχείο
No methods yet — add one to start offering Core shipping.,Καμία μέθοδος ακόμη — προσθέστε μία για να ξεκινήσετε να προσφέρετε αποστολή Core.
No packages yet. Create one — shippable products require a package.,Κανένα πακέτο ακόμη. Δημιουργήστε ένα — τα αποστελλόμενα προϊόντα απαιτούν πακέτο.
No product to display.,Δεν υπάρχει προϊόν για εμφάνιση.
"No providers attached. Click ""Attach Provider"" to add one.","Δεν έχουν συνδεθεί πάροχοι. Κάντε κλικ στο ""Σύνδεση Παρόχου"" για να προσθέσετε έναν."
"No rates yet — click ""Add Rate"" to offer this method in a zone.","Καμία χρέωση ακόμη — κάντε κλικ στο ""Προσθήκη Χρέωσης"" για να προσφέρετε αυτή τη μέθοδο σε μια ζώνη."
"No results for ""${keyword}""","Κανένα αποτέλεσμα για ""${keyword}"""
No routes have opted into page-builder editing yet.,Καμία διαδρομή δεν έχει επιλέξει ακόμη επεξεργασία με το page-builder.
No shipping required?,Δεν απαιτείται αποστολή;
No subdivisions available — whole country is covered.,Δεν υπάρχουν διαθέσιμες υποδιαιρέσεις — καλύπτεται ολόκληρη η χώρα.
No widgets available.,Δεν υπάρχουν διαθέσιμα widgets.
"No widgets match ""${query}"".","Κανένα widget δεν ταιριάζει με ""${query}""."
No widgets on this route yet.,Κανένα widget σε αυτή τη διαδρομή ακόμη.
No zones,Καμία ζώνη
No zones found,Δεν βρέθηκαν ζώνες
Not visible individually,Μη ορατό μεμονωμένα
Nothing to publish,Τίποτα προς δημοσίευση
Nothing to redo on this page,Τίποτα προς επανάληψη σε αυτή τη σελίδα
Nothing to undo on this page,Τίποτα προς αναίρεση σε αυτή τη σελίδα
Number,Αριθμός
Option text is required,Το κείμενο επιλογής είναι υποχρεωτικό
Optional. Added to the shipping weight for quotes and labels.,Προαιρετικό. Προστίθεται στο βάρος αποστολής για προσφορές και ετικέτες.
Order Number,Αριθμός Παραγγελίας
Order conditions,Όροι παραγγελίας
Orders (${count}),Παραγγελίες (${count})
Other,Άλλο
Other pages keep their pending changes.,Οι άλλες σελίδες διατηρούν τις εκκρεμείς αλλαγές τους.
Overlaps with existing rollout: ${plans}.,Επικαλύπτεται με υπάρχουσα ανάπτυξη: ${plans}.
Overlaps with existing rollouts: ${plans}.,Επικαλύπτεται με υπάρχουσες αναπτύξεις: ${plans}.
Package,Πακέτο
Package created,Το πακέτο δημιουργήθηκε
Package deleted,Το πακέτο διαγράφηκε
Package saved,Το πακέτο αποθηκεύτηκε
Packages,Πακέτα
Page Name,Όνομα Σελίδας
Page Not Found,Η Σελίδα Δεν Βρέθηκε
Page builder,Page builder
Page builder canvas,Καμβάς page builder
Page created successfully!,Η σελίδα δημιουργήθηκε με επιτυχία!
Page is required,Η σελίδα είναι υποχρεωτική
Page name is required,Το όνομα σελίδας είναι υποχρεωτικό
Pages,Σελίδες
Parent category,Γονική κατηγορία
Payment Setting,Ρύθμιση Πληρωμών
Payment mode,Λειτουργία πληρωμής
Payment setting saved,Η ρύθμιση πληρωμών αποθηκεύτηκε
Paypal Payment,Πληρωμή Paypal
Pending start time,Εκκρεμής χρόνος έναρξης
Percentage discount to entire order,Ποσοστιαία έκπτωση σε ολόκληρη την παραγγελία
Percentage discount to specific products,Ποσοστιαία έκπτωση σε συγκεκριμένα προϊόντα
Phone,Τηλέφωνο
Pick a start time to schedule this rollout.,Επιλέξτε χρόνο έναρξης για να προγραμματίσετε αυτή την ανάπτυξη.
Pick a widget below to insert as a child.,Επιλέξτε ένα widget παρακάτω για εισαγωγή ως θυγατρικό.
Pick up where you left off — ${count} pending changes,Συνεχίστε από εκεί που σταματήσατε — ${count} εκκρεμείς αλλαγές
Pick up where you left off — 1 pending change,Συνεχίστε από εκεί που σταματήσατε — 1 εκκρεμής αλλαγή
Pin drawer open,Καρφίτσωμα συρταριού ανοιχτό
Pin — keep drawer open across canvas clicks,Καρφίτσωμα — διατήρηση συρταριού ανοιχτού στα κλικ του καμβά
Placed on: ${routes},Τοποθετήθηκε σε: ${routes}
Placements,Τοποθετήσεις
Postal Code,Ταχυδρομικός Κώδικας
"Postcode (e.g., ""90210""). Empty for all postcodes.","Ταχυδρομικός κώδικας (π.χ. ""90210""). Κενό για όλους τους ταχυδρομικούς κώδικες."
Preselected for new products. Exactly one package is the default.,Προεπιλεγμένο για νέα προϊόντα. Ακριβώς ένα πακέτο είναι το προεπιλεγμένο.
Preview,Προεπισκόπηση
Price-based tiers,Βαθμίδες βάσει τιμής
Priority,Προτεραιότητα
Priority is required,Η προτεραιότητα είναι υποχρεωτική
Product Name,Όνομα Προϊόντος
Product Status,Κατάσταση Προϊόντος
Product created successfully,Το προϊόν δημιουργήθηκε με επιτυχία
Product updated successfully,Το προϊόν ενημερώθηκε με επιτυχία
Products (${count}),Προϊόντα (${count})
Promotion,Προωθητική ενέργεια
Proportional allocation based on cart items,Αναλογική κατανομή βάσει των ειδών του καλαθιού
Provide the SEO details for the CMS page.,Παρέχετε τα στοιχεία SEO για τη σελίδα CMS.
Provide the basic information for the CMS page.,Παρέχετε τις βασικές πληροφορίες για τη σελίδα CMS.
Provider,Πάροχος
Province Restrictions,Περιορισμοί Επαρχίας
"Province code (e.g., ""CA""). Use ""*"" for all provinces.","Κωδικός επαρχίας (π.χ. ""CA""). Χρησιμοποιήστε ""*"" για όλες τις επαρχίες."
Provinces,Επαρχίες
Provinces is required,Οι επαρχίες είναι υποχρεωτικές
Provinces:,Επαρχίες:
Publish failed,Η δημοσίευση απέτυχε
Publish now,Δημοσίευση τώρα
Publish to the live storefront,Δημοσίευση στο ζωντανό κατάστημα
Publishable Key,Publishable Key
Publishing…,Δημοσίευση…
Qty is required,Η ποσότητα είναι υποχρεωτική
Quick links,Γρήγοροι σύνδεσμοι
Rate,Χρέωση
Rate added,Η χρέωση προστέθηκε
Rate is required,Η χρέωση είναι υποχρεωτική
Rate removed,Η χρέωση αφαιρέθηκε
Rate status,Κατάσταση χρέωσης
Rate updated,Η χρέωση ενημερώθηκε
Redo (⇧⌘Z) — re-applies the last undone edit on this page,Επανάληψη (⇧⌘Z) — επανεφαρμόζει την τελευταία αναιρεμένη επεξεργασία σε αυτή τη σελίδα
Redo last undone change on this page,Επανάληψη της τελευταίας αναιρεμένης αλλαγής σε αυτή τη σελίδα
Reference,Αναφορά
Refund,Επιστροφή χρημάτων
Refund amount,Ποσό επιστροφής
Remove Zone,Αφαίρεση Ζώνης
Remove placement,Αφαίρεση τοποθέτησης
Remove rate,Αφαίρεση χρέωσης
Remove this rate?,Αφαίρεση αυτής της χρέωσης;
Removed,Αφαιρέθηκε
Resize settings drawer,Αλλαγή μεγέθους συρταριού ρυθμίσεων
"Results for ""${keyword}""","Αποτελέσματα για ""${keyword}"""
Revert all pages to saved state,Επαναφορά όλων των σελίδων στην αποθηκευμένη κατάσταση
Revert everything,Επαναφορά των πάντων
Revert this page,Επαναφορά αυτής της σελίδας
Revert this page only,Επαναφορά μόνο αυτής της σελίδας
Revert to saved state?,Επαναφορά στην αποθηκευμένη κατάσταση;
Reverting…,Επαναφορά…
Rich text,Εμπλουτισμένο κείμενο
Roll back the changes you have made since this rollout was last saved. The live storefront is unaffected — it already reflects the saved state.,Αναιρέστε τις αλλαγές που κάνατε από την τελευταία αποθήκευση αυτής της κυκλοφορίας. Το ζωντανό κατάστημα δεν επηρεάζεται — αντικατοπτρίζει ήδη την αποθηκευμένη κατάσταση.
SEO,SEO
SEO Information,Πληροφορίες SEO
SKU is required,Το SKU είναι υποχρεωτικό
Sale,Έκπτωση
Sandbox,Sandbox
Save Settings,Αποθήκευση ρυθμίσεων
Save as rollout plan,Αποθήκευση ως σχέδιο κυκλοφορίας
Save as rollout plan and leave,Αποθήκευση ως σχέδιο κυκλοφορίας και αποχώρηση
Save changes,Αποθήκευση αλλαγών
Save failed,Η αποθήκευση απέτυχε
Save method,Αποθήκευση μεθόδου
Save rate,Αποθήκευση χρέωσης
Saving…,Αποθήκευση…
Schedule failed,Ο προγραμματισμός απέτυχε
Scheduled,Προγραμματισμένο
Search engine optimize,Βελτιστοποίηση για μηχανές αναζήτησης
Search widgets,Αναζήτηση widget
Secret Key,Μυστικό κλειδί
Select Category,Επιλογή κατηγορίας
Select Parent Category,Επιλογή γονικής κατηγορίας
Select Products by SKU,Επιλογή προϊόντων ανά SKU
Select a provider first,Επιλέξτε πρώτα έναν πάροχο
Select a provider…,Επιλέξτε πάροχο…
Select an option,Επιλέξτε μια επιλογή
Select category,Επιλογή κατηγορίας
Select countries,Επιλογή χωρών
Select operator,Επιλογή τελεστή
Select options,Επιλογή επιλογών
Select page,Επιλογή σελίδας
Select products to add to this collection.,Επιλέξτε προϊόντα για προσθήκη σε αυτή τη συλλογή.
Select the list of attribute,Επιλέξτε τη λίστα χαρακτηριστικών
Select this option if the product is a digital product or service that does not require shipping.,Επιλέξτε αυτή την επιλογή αν το προϊόν είναι ψηφιακό προϊόν ή υπηρεσία που δεν απαιτεί αποστολή.
Set a start time to schedule.,Ορίστε ώρα έναρξης για προγραμματισμό.
Set the status and visibility of the product.,Ορίστε την κατάσταση και την ορατότητα του προϊόντος.
Share,Κοινοποίηση
Shipping Cost,Κόστος αποστολής
Shipping Providers,Πάροχοι αποστολής
Shipping address,Διεύθυνση αποστολής
Shipping cost is required,Το κόστος αποστολής είναι υποχρεωτικό
Shipping provider setting saved,Η ρύθμιση παρόχου αποστολής αποθηκεύτηκε
Shipping tax class,Φορολογική κατηγορία αποστολής
Short text,Σύντομο κείμενο
Show global areas,Εμφάνιση καθολικών περιοχών
Show on routes,Εμφάνιση σε διαδρομές
Show products?,Εμφάνιση προϊόντων;
Show this widget on every page,Εμφάνιση αυτού του widget σε κάθε σελίδα
Size (L × W × H),Μέγεθος (Μ × Π × Υ)
Sort,Ταξινόμηση
Sort order is required,Η σειρά ταξινόμησης είναι υποχρεωτική
Sort order must be a positive number,Η σειρά ταξινόμησης πρέπει να είναι θετικός αριθμός
Start,Έναρξη
Start a page-builder session,Ξεκινήστε μια συνεδρία page-builder
Start date,Ημερομηνία έναρξης
Start new changeset,Έναρξη νέου changeset
Start time is invalid.,Η ώρα έναρξης δεν είναι έγκυρη.
State Date,Ημερομηνία κατάστασης
Status is required,Η κατάσταση είναι υποχρεωτική
Stay,Παραμονή
Stay on this page,Παραμονή σε αυτή τη σελίδα
Stock Availability,Διαθεσιμότητα αποθέματος
Stop highlighting global areas,Διακοπή επισήμανσης καθολικών περιοχών
Store Address,Διεύθυνση καταστήματος
Store Description,Περιγραφή καταστήματος
Store Email,Email καταστήματος
Store Name,Όνομα καταστήματος
Store Phone Number,Τηλέφωνο καταστήματος
Store Setting,Ρύθμιση καταστήματος
Store Settings,Ρυθμίσεις καταστήματος
Store address,Διεύθυνση καταστήματος
Storefront,Κατάστημα
Stripe Payment,Πληρωμή Stripe
Tablet,Tablet
Take our survey,Συμμετοχή στην έρευνά μας
Target Products,Στοχευμένα προϊόντα
Tax Class,Φορολογική κατηγορία
Tax calculation configuration,Διαμόρφωση υπολογισμού φόρου
Tax class name,Όνομα φορολογικής κατηγορίας
Tax class name is required,Το όνομα φορολογικής κατηγορίας είναι υποχρεωτικό
Tax classes,Φορολογικές κατηγορίες
Tax rate has been saved successfully!,Ο φορολογικός συντελεστής αποθηκεύτηκε με επιτυχία!
Tax setting has been saved successfully!,Η φορολογική ρύθμιση αποθηκεύτηκε με επιτυχία!
The box or envelope this product ships in. Applies to all variants of this product.,Το κουτί ή ο φάκελος με τον οποίο αποστέλλεται αυτό το προϊόν. Ισχύει για όλες τις παραλλαγές αυτού του προϊόντος.
The boxes and envelopes you ship with. Every shippable product references one — its dimensions and empty weight drive shipping quotes and labels.,Τα κουτιά και οι φάκελοι με τα οποία αποστέλλετε. Κάθε αποστελλόμενο προϊόν αναφέρεται σε ένα — οι διαστάσεις και το κενό βάρος του καθορίζουν τις προσφορές και τις ετικέτες αποστολής.
The conditions related to the customer for the coupon to be applied.,Οι προϋποθέσεις που σχετίζονται με τον πελάτη για την εφαρμογή του κουπονιού.
The conditions related to the order for the coupon to be applied.,Οι προϋποθέσεις που σχετίζονται με την παραγγελία για την εφαρμογή του κουπονιού.
The default package cannot be deleted,Η προεπιλεγμένη συσκευασία δεν μπορεί να διαγραφεί
The draft holds ${count} saved changes you can publish later.,Το πρόχειρο περιέχει ${count} αποθηκευμένες αλλαγές που μπορείτε να δημοσιεύσετε αργότερα.
The draft holds 1 saved change you can publish later.,Το πρόχειρο περιέχει 1 αποθηκευμένη αλλαγή που μπορείτε να δημοσιεύσετε αργότερα.
The draft is deleted.,Το πρόχειρο διαγράφηκε.
The draft itself is deleted.,Το ίδιο το πρόχειρο διαγράφηκε.
The general information about the coupon.,Οι γενικές πληροφορίες σχετικά με το κουπόνι.
"The language of the admin panel, independent of the storefront.","Η γλώσσα του πίνακα διαχείρισης, ανεξάρτητη από το κατάστημα."
The method will no longer apply to this zone.,Η μέθοδος δεν θα ισχύει πλέον για αυτή τη ζώνη.
The minimum quantity of items required in the order to qualify for this coupon.,Η ελάχιστη ποσότητα ειδών που απαιτείται στην παραγγελία για να ισχύει αυτό το κουπόνι.
The minimum total amount required for the order to qualify for this coupon.,Το ελάχιστο συνολικό ποσό που απαιτείται για να ισχύει αυτό το κουπόνι στην παραγγελία.
The rollout plan,Το σχέδιο κυκλοφορίας
The storefront's primary language. Pages in this language have no URL prefix.,Η κύρια γλώσσα του καταστήματος. Οι σελίδες σε αυτή τη γλώσσα δεν έχουν πρόθεμα URL.
The type of discount applied by the coupon.,Ο τύπος έκπτωσης που εφαρμόζεται από το κουπόνι.
The zone this rate applies to.,Η ζώνη στην οποία ισχύει αυτή η χρέωση.
"There is no ""Select"" attribute available.","Δεν υπάρχει διαθέσιμο χαρακτηριστικό τύπου ""Select""."
There is no attribute to display,Δεν υπάρχει χαρακτηριστικό για εμφάνιση
There is no category to display,Δεν υπάρχει κατηγορία για εμφάνιση
There is no collections to display,Δεν υπάρχουν συλλογές για εμφάνιση
There is no coupon to display,Δεν υπάρχει κουπόνι για εμφάνιση
There is no customer to display,Δεν υπάρχει πελάτης για εμφάνιση
There is no order to display,Δεν υπάρχει παραγγελία για εμφάνιση
There is no page to display,Δεν υπάρχει σελίδα για εμφάνιση
There is no widget to display,Δεν υπάρχει widget για εμφάνιση
There was an error fetching attribute groups.,Παρουσιάστηκε σφάλμα κατά την ανάκτηση ομάδων χαρακτηριστικών.
There was an error fetching categories.,Παρουσιάστηκε σφάλμα κατά την ανάκτηση κατηγοριών.
There was an error fetching collections.,Παρουσιάστηκε σφάλμα κατά την ανάκτηση συλλογών.
There was an error fetching file browser APIs.,Παρουσιάστηκε σφάλμα κατά την ανάκτηση των API περιήγησης αρχείων.
There was an error fetching products.,Παρουσιάστηκε σφάλμα κατά την ανάκτηση προϊόντων.
This cannot be undone. Packages still assigned to products can't be removed.,Αυτό δεν μπορεί να αναιρεθεί. Οι συσκευασίες που εξακολουθούν να είναι αντιστοιχισμένες σε προϊόντα δεν μπορούν να αφαιρεθούν.
This changeset has no operations yet.,Αυτό το changeset δεν έχει ακόμη λειτουργίες.
This field is required,Αυτό το πεδίο είναι υποχρεωτικό
This is the URL path for the CMS page.,Αυτή είναι η διαδρομή URL για τη σελίδα CMS.
This is the address used to calculate tax rates.,Αυτή είναι η διεύθυνση που χρησιμοποιείται για τον υπολογισμό των φορολογικών συντελεστών.
This is the meta title for the CMS page.,Αυτός είναι ο meta τίτλος για τη σελίδα CMS.
This is the name of the CMS page that will be displayed in the admin panel.,Αυτό είναι το όνομα της σελίδας CMS που θα εμφανίζεται στον πίνακα διαχείρισης.
This is the tax class applied to shipping costs.,Αυτή είναι η φορολογική κατηγορία που εφαρμόζεται στα κόστη αποστολής.
This product has some variants like color or size?,Αυτό το προϊόν έχει παραλλαγές όπως χρώμα ή μέγεθος;
This provider has no per-zone configuration. Methods and per-zone rates are managed in the provider's own admin area.,Αυτός ο πάροχος δεν έχει διαμόρφωση ανά ζώνη. Οι μέθοδοι και οι χρεώσεις ανά ζώνη διαχειρίζονται στη δική του περιοχή διαχείρισης του παρόχου.
This removes the zone along with its provider attachments and rates. This cannot be undone.,Αυτό αφαιρεί τη ζώνη μαζί με τις συνδέσεις παρόχων και τις χρεώσεις της. Αυτό δεν μπορεί να αναιρεθεί.
This route has unpublished changes in your draft,Αυτή η διαδρομή έχει μη δημοσιευμένες αλλαγές στο πρόχειρό σας
This will be saved as a pending change you can publish or discard.,Αυτό θα αποθηκευτεί ως εκκρεμής αλλαγή που μπορείτε να δημοσιεύσετε ή να απορρίψετε.
Tiered,Κλιμακωτό
Type is required,Ο τύπος είναι υποχρεωτικός
URL Key,Κλειδί URL
URL Key is required,Το κλειδί URL είναι υποχρεωτικό
"URL Key must be lowercase and can only contain letters, numbers, and hyphens","Το κλειδί URL πρέπει να είναι με πεζά γράμματα και μπορεί να περιέχει μόνο γράμματα, αριθμούς και παύλες"
URL key,Κλειδί URL
URL key is required,Το κλειδί URL είναι υποχρεωτικό
URL key must be lowercase and can only contain alphanumeric characters and hyphens,Το κλειδί URL πρέπει να είναι με πεζά γράμματα και μπορεί να περιέχει μόνο αλφαριθμητικούς χαρακτήρες και παύλες
Unassign,Κατάργηση αντιστοίχισης
Undo (⌘Z) — undoes your last edit on this page,Αναίρεση (⌘Z) — αναιρεί την τελευταία σας επεξεργασία σε αυτή τη σελίδα
Undo / Redo,Αναίρεση / Επανάληψη
Undo last change on this page,Αναίρεση της τελευταίας αλλαγής σε αυτή τη σελίδα
Unknown,Άγνωστο
Unlink,Κατάργηση συνδέσμου
Unpin drawer,Ξεκαρφίτσωμα συρταριού
Unpin — drawer will close when you click empty canvas,Ξεκαρφίτσωμα — το συρτάρι θα κλείσει όταν κάνετε κλικ σε κενό σημείο του καμβά
Unpublished changes,Μη δημοσιευμένες αλλαγές
Unsaved changes,Μη αποθηκευμένες αλλαγές
Update the name and active window for this rollout plan. Content edits are managed separately in the editor.,Ενημερώστε το όνομα και το ενεργό χρονικό παράθυρο για αυτό το σχέδιο κυκλοφορίας. Οι επεξεργασίες περιεχομένου διαχειρίζονται ξεχωριστά στον επεξεργαστή.
Update the variant details and attributes here.,Ενημερώστε εδώ τις λεπτομέρειες και τα χαρακτηριστικά της παραλλαγής.
Updated,Ενημερώθηκε
Upload an image for the category.,Μεταφορτώστε μια εικόνα για την κατηγορία.
Used Times,Φορές χρήσης
Value is required,Η τιμή είναι υποχρεωτική
Variant Group,Ομάδα παραλλαγών
Variant created successfully,Η παραλλαγή δημιουργήθηκε με επιτυχία
Variant updated successfully,Η παραλλαγή ενημερώθηκε με επιτυχία
Version ${version},Έκδοση ${version}
Visibility,Ορατότητα
Visibility determines where the product appears in the store. It does not affect the saleability of the product.,Η ορατότητα καθορίζει πού εμφανίζεται το προϊόν στο κατάστημα. Δεν επηρεάζει τη δυνατότητα πώλησης του προϊόντος.
Visitors will see the new layout on their next page load.,Οι επισκέπτες θα δουν τη νέα διάταξη στην επόμενη φόρτωση της σελίδας.
Webhook Secret Key,Μυστικό κλειδί Webhook
Weight,Βάρος
Weight must be 0 or greater,Το βάρος πρέπει να είναι 0 ή μεγαλύτερο
Weight must be a positive number,Το βάρος πρέπει να είναι θετικός αριθμός
Weight-based tiers,Κλίμακες βάσει βάρους
Widget Settings,Ρυθμίσεις Widget
Widget created successfully!,Το widget δημιουργήθηκε με επιτυχία!
Widgets,Widgets
Width,Πλάτος
Width is required,Το πλάτος είναι υποχρεωτικό
Width must be greater than 0,Το πλάτος πρέπει να είναι μεγαλύτερο από 0
Will roll out automatically: ${range},Θα κυκλοφορήσει αυτόματα: ${range}
Working…,Σε εξέλιξη…
Worldwide,Παγκοσμίως
X,X
Y,Y
You have ${count} changes in this draft that haven’t been published yet.,Έχετε ${count} αλλαγές σε αυτό το προσχέδιο που δεν έχουν δημοσιευτεί ακόμη.
You have ${count} changes still saving.,Έχετε ${count} αλλαγές που αποθηκεύονται ακόμη.
You have 1 change in this draft that hasn’t been published yet.,Έχετε 1 αλλαγή σε αυτό το προσχέδιο που δεν έχει δημοσιευτεί ακόμη.
You have 1 change still saving.,Έχετε 1 αλλαγή που αποθηκεύεται ακόμη.
Your draft is safe on the server — you can come back and publish it any time.,Το προσχέδιό σας είναι ασφαλές στον διακομιστή — μπορείτε να επιστρέψετε και να το δημοσιεύσετε οποιαδήποτε στιγμή.
Your edits on other pages stay in the draft.,Οι επεξεργασίες σας σε άλλες σελίδες παραμένουν στο προσχέδιο.
Your webhook url should be: https://yourdomain.com/api/stripe/webhook,Το url του webhook σας πρέπει να είναι: https://yourdomain.com/api/stripe/webhook
Zone,Ζώνη
Zone Name,Όνομα ζώνης
Zone Rates,Χρεώσεις ζώνης
Zone created,Η ζώνη δημιουργήθηκε
Zone is required,Η ζώνη είναι υποχρεωτική
Zone name is required,Το όνομα της ζώνης είναι υποχρεωτικό
Zone removed,Η ζώνη αφαιρέθηκε
Zone updated,Η ζώνη ενημερώθηκε
Zones served,Εξυπηρετούμενες ζώνες
and ${count} more,και ${count} ακόμη
container will also hide,ο περιέκτης θα αποκρυφτεί επίσης
current page,τρέχουσα σελίδα
e.g. Small Box,π.χ. Μικρό Κουτί
e.g. Summer Sale 2026,π.χ. Καλοκαιρινές Εκπτώσεις 2026
e.g. content,π.χ. content
"e.g., 10.00",π.χ. 10.00
"e.g., EU, US-West","π.χ. EU, US-West"
"e.g., Express",π.χ. Express
"e.g., FEDEX_GROUND, usps_priority","π.χ. FEDEX_GROUND, usps_priority"
every page,κάθε σελίδα
indefinite,αόριστο
open,ανοιχτό
"publishing is immediate and can’t be undone from this screen. To stage instead, cancel and choose “Schedule a rollout”.","η δημοσίευση είναι άμεση και δεν μπορεί να αναιρεθεί από αυτήν την οθόνη. Για να την προετοιμάσετε αντ’ αυτού, ακυρώστε και επιλέξτε «Προγραμματισμός κυκλοφορίας»."
quantity of products are matched bellow conditions(All),η ποσότητα των προϊόντων πληροί τις παρακάτω συνθήκες (Όλες)
subtotal,μερικό σύνολο
to a storefront route's,σε μια διαδρομή του καταστήματος
to make it appear here.,για να εμφανιστεί εδώ.
weight,βάρος
widget? This will be saved as a pending change you can publish or discard.,widget; Αυτό θα αποθηκευτεί ως εκκρεμής αλλαγή που μπορείτε να δημοσιεύσετε ή να απορρίψετε.
