Welcome Back!,¡Bienvenido de nuevo!
Built-in shipping methods with per-zone rates. Attach Core to a zone first under Settings → Shipping; then add methods here and configure their rates per zone.,Métodos de envío integrados con tarifas por zona. Primero asocia Core a una zona en Configuración → Envío; luego añade métodos aquí y configura sus tarifas por zona.
Buy X get Y,Compra X y llévate Y
CMS,CMS
Calculation type,Tipo de cálculo
Can not change the attribute group of a product that is already in a variant group.,No se puede cambiar el grupo de atributos de un producto que ya está en un grupo de variantes.
Cancel rollout,Cancelar despliegue
Cancel rollout plan?,¿Cancelar el plan de despliegue?
Canvas device width,Ancho del dispositivo del lienzo
Capture,Capturar
Capture Payment,Capturar pago
Carrier hint for fulfillment — never shown at checkout. NewShipmentDialog uses this to pre-select the carrier.,Sugerencia de transportista para la preparación del pedido — nunca se muestra en el pago. NewShipmentDialog lo usa para preseleccionar el transportista.
Carrier-specific service code used when buying a label (CreateLabelInput.serviceCode). Free-form — verify the exact token in the carrier's API docs. Leave blank to let the carrier pick its default service.,Código de servicio específico del transportista que se usa al comprar una etiqueta (CreateLabelInput.serviceCode). Formato libre — verifica el token exacto en la documentación de la API del transportista. Déjalo en blanco para que el transportista elija su servicio predeterminado.
Cash On Delivery Payment,Pago contra reembolso
"Catalog, Search","Catálogo, Búsqueda"
Category Image,Imagen de la categoría
Category Name,Nombre de la categoría
Category created successfully!,¡Categoría creada correctamente!
Category name is required,El nombre de la categoría es obligatorio
Choose Attribute Groups,Elegir grupos de atributos
Choose Categories,Elegir categorías
Choose Collections,Elegir colecciones
Choose SKUs,Elegir SKU
Choose how much of your unpublished work to discard. The published storefront is not affected.,Elige cuánto de tu trabajo no publicado descartar. La tienda publicada no se ve afectada.
Choose where you ship and how much you charge for shipping.,Elige a dónde envías y cuánto cobras por el envío.
Clear filter,Borrar filtro
Clear filters,Borrar filtros
Client ID,ID de cliente
Client Secret,Secreto de cliente
Close,Cerrar
Close settings,Cerrar configuración
Close — continue draft,Cerrar — continuar borrador
Cms Pages,Páginas CMS
Collapse left rail,Contraer panel izquierdo
Collapse panel,Contraer panel
Collection Code,Código de colección
Collection Name,Nombre de la colección
Collection code is required,El código de colección es obligatorio
Collection code must be alphanumeric and can include underscores or dashes.,El código de colección debe ser alfanumérico y puede incluir guiones bajos o guiones.
Collection created successfully!,¡Colección creada correctamente!
Color,Color
Commerce,Comercio
Compound,Compuesto
Condition,Condición
Configure,Configurar
Configure cost and conditions per zone. Zones without a rate don't offer this method.,Configura el coste y las condiciones por zona. Las zonas sin tarifa no ofrecen este método.
Configure rate,Configurar tarifa
Configure the available payment methods,Configura los métodos de pago disponibles
Configure the settings for the ${name} widget.,Configura los ajustes del widget ${name}.
Configure the tax classes that will be available to your customers at checkout.,Configura las clases de impuestos que estarán disponibles para tus clientes al pagar.
Configure your Cash On Delivery payment gateway settings,Configura los ajustes de tu pasarela de pago contra reembolso
Configure your Paypal payment gateway settings,Configura los ajustes de tu pasarela de pago de PayPal
Configure your Stripe payment gateway settings,Configura los ajustes de tu pasarela de pago de Stripe
Configure your store information,Configura la información de tu tienda
"Conflicts with ${plan1}, ${plan2}","Entra en conflicto con ${plan1}, ${plan2}"
Conflicts with ${plan},Entra en conflicto con ${plan}
Conflicts with ${plan} +${count},Entra en conflicto con ${plan} +${count}
Conflicts with:,Entra en conflicto con:
Content,Contenido
Continue a saved rollout plan,Continuar un plan de despliegue guardado
Continue your draft,Continuar tu borrador
Core Shipping,Envío Core
Core isn't attached to any zone yet. Attach it under Settings → Shipping first.,Core aún no está asociado a ninguna zona. Asócialo primero en Configuración → Envío.
Cost,Coste
Cost is required,El coste es obligatorio
Could not start fresh,No se pudo empezar de nuevo
Countries,Países
"Country code (e.g., ""US""). Use ""*"" for all countries.","Código de país (p. ej., ""US""). Usa ""*"" para todos los países."
Coupon Code,Código de cupón
"Coupon code can only contain letters, numbers, underscores, and hyphens","El código de cupón solo puede contener letras, números, guiones bajos y guiones"
Coupon created successfully!,¡Cupón creado correctamente!
Coupons,Cupones
Create A New Customer,Crear un nuevo cliente
Create New Package,Crear nuevo paquete
Create New Tax Class,Crear nueva clase de impuestos
Create New Zone,Crear nueva zona
Create a new category,Crear una nueva categoría
Create a new collection,Crear una nueva colección
Create a new coupon,Crear un nuevo cupón
Create a new page,Crear una nueva página
Create a new product,Crear un nuevo producto
Create a new variant for this product.,Crear una nueva variante para este producto.
Create a new widget,Crear un nuevo widget
Create a variant group,Crear un grupo de variantes
Create method,Crear método
Create new tax class,Crear nueva clase de impuestos
Create rollout plan,Crear plan de despliegue
Created At,Creado el
Current,Actual
Customer,Cliente
Customer Email,Correo electrónico del cliente
Customer conditions,Condiciones del cliente
Customer emails,Correos electrónicos del cliente
Customer groups,Grupos de clientes
Customer's purchase,Compra del cliente
Customers,Clientes
Customers (${count}),Clientes (${count})
Customers in ${zone} will no longer see ${name}'s methods at checkout. You can re-attach it later.,Los clientes en ${zone} ya no verán los métodos de ${name} al pagar. Puedes volver a asociarlo más tarde.
Dashboard,Panel
Date,Fecha
Decrease,Disminuir
Default carrier,Transportista predeterminado
Default language,Idioma predeterminado
Default package,Paquete predeterminado
Default service code,Código de servicio predeterminado
"Delete ""${name}""?","¿Eliminar ""${name}""?"
Delete ${count} attributes,Eliminar ${count} atributos
Delete ${count} categories,Eliminar ${count} categorías
Delete ${count} collections,Eliminar ${count} colecciones
Delete ${count} pages,Eliminar ${count} páginas
Delete ${count} widgets,Eliminar ${count} widgets
Delete container widget?,¿Eliminar el widget contenedor?
Delete image,Eliminar imagen
"Delete package ""${name}""?","¿Eliminar el paquete ""${name}""?"
Delete this,Eliminar esto
Delete this widget? This will be saved as a pending change you can publish or discard.,¿Eliminar este widget? Se guardará como un cambio pendiente que podrás publicar o descartar.
Delete widget?,¿Eliminar widget?
Delete zone,Eliminar zona
"Delete zone ""${name}""?","¿Eliminar la zona ""${name}""?"
Deleted ${name},${name} eliminado
Deleting this,Al eliminar esto
Description is required,La descripción es obligatoria
Desktop,Escritorio
Detach,Separar
Detach ${name}?,¿Separar ${name}?
Disable ${count} pages,Deshabilitar ${count} páginas
Disable ${count} widgets,Deshabilitar ${count} widgets
Disabled products will not be visible in the store and cannot be purchased.,Los productos deshabilitados no serán visibles en la tienda y no se podrán comprar.
Discard changes on this page only,Descartar cambios solo en esta página
Discard everything,Descartar todo
Discard everything in this draft,Descartar todo en este borrador
Discard failed,Error al descartar
Discard pending changes?,¿Descartar cambios pendientes?
Discard this page,Descartar esta página
Discarding…,Descartando…
Discount Type,Tipo de descuento
Discount amount,Importe del descuento
Discount amount is required,El importe del descuento es obligatorio
Discount type is required,El tipo de descuento es obligatorio
Dislay Name,Nombre para mostrar
Display Name,Nombre para mostrar
Draft,Borrador
Draft — not scheduled,Borrador — no programado
Drag to resize,Arrastra para cambiar el tamaño
"Each row places this widget on one page, in one area, with its own sort order. Lower numbers appear first.","Cada fila coloca este widget en una página, en un área, con su propio orden de clasificación. Los números más bajos aparecen primero."
Edit ${name},Editar ${name}
Edit Shipping Zone,Editar zona de envío
Edit Tax Rate,Editar tasa de impuesto
Edit Variant,Editar variante
Edit Zone,Editar zona
Edit against the live storefront. Publish immediately or save as a rollout plan.,Edita sobre la tienda en vivo. Publica de inmediato o guarda como un plan de lanzamiento.
Edit rollout schedule,Editar programación de lanzamiento
Editable routes,Rutas editables
Editing ${coupon},Editando ${coupon}
Editing ${fullName},Editando ${fullName}
Editing widget ${name},Editando widget ${name}
Edits to a shared widget update every route it appears on.,Las ediciones a un widget compartido actualizan todas las rutas en las que aparece.
Empty package weight,Peso del paquete vacío
Empty weight,Peso vacío
Enable ${count} pages,Habilitar ${count} páginas
Enable ${count} widgets,Habilitar ${count} widgets
Enable this page to make it visible on the frontend.,Habilita esta página para que sea visible en el frontend.
Enable?,¿Habilitar?
End,Fin
End Date,Fecha de fin
End date,Fecha de fin
End time is invalid.,La hora de fin no es válida.
End time must be after start time.,La hora de fin debe ser posterior a la hora de inicio.
Enter Category Name,Introduce el nombre de la categoría
Enter Collection Name,Introduce el nombre de la colección
Enter Meta Description,Introduce la Meta descripción
Enter Meta Title,Introduce el Meta título
Enter Meta description,Introduce la Meta descripción
Enter Meta title,Introduce el Meta título
Enter SKU,Introduce el SKU
Enter URL Key,Introduce la clave de URL
Enter URL key,Introduce la clave de URL
Enter customer emails,Introduce los correos de los clientes
Enter description,Introduce la descripción
Enter group name,Introduce el nombre del grupo
Enter meta description,Introduce la meta descripción
Enter meta title,Introduce el meta título
Enter page name,Introduce el nombre de la página
Enter price,Introduce el precio
Enter product name,Introduce el nombre del producto
Enter purchased amount,Introduce el importe comprado
Enter quantity,Introduce la cantidad
Enter tax class name,Introduce el nombre de la clase de impuesto
Enter the quantity,Introduce la cantidad
Enter weight,Introduce el peso
Environment,Entorno
Error loading countries,Error al cargar los países
Error loading methods,Error al cargar los métodos
Error loading packages,Error al cargar los paquetes
Error loading providers,Error al cargar los proveedores
Error loading zones,Error al cargar las zonas
EverShop · Back to page builder,EverShop · Volver al editor de páginas
Every page rolls back to the rollout’s saved state.,Cada página vuelve al estado guardado del lanzamiento.
Every page rolls back to what the rollout had saved.,Cada página vuelve a lo que el lanzamiento había guardado.
Existing rollout plan: ${plan},Plan de lanzamiento existente: ${plan}
Expand,Expandir
Expand left rail,Expandir panel izquierdo
"Extra languages shoppers can switch to, on top of the default. The default language is always available — you don't add it here.","Idiomas adicionales a los que los compradores pueden cambiar, además del predeterminado. El idioma predeterminado siempre está disponible — no lo añades aquí."
Failed to attach provider,Error al adjuntar el proveedor
Failed to delete ${name},Error al eliminar ${name}
Failed to detach ${name},Error al separar ${name}
Failed to remove rate,Error al eliminar la tasa
Failed to remove zone,Error al eliminar la zona
Failed to save change,Error al guardar el cambio
Failed to save rate,Error al guardar la tasa
Failed to save zone,Error al guardar la zona
Failed to update rollout schedule,Error al actualizar la programación de lanzamiento
Fixed discount to entire order,Descuento fijo a todo el pedido
Fixed discount to specific products,Descuento fijo a productos específicos
Flat rate,Tarifa plana
"Flat rate in cart currency, tax-exclusive.","Tarifa plana en la moneda del carrito, sin impuestos."
Free shipping?,¿Envío gratis?
General Information,Información general
Give Feedback,Dar opinión
Global,Global
Globals,Globales
Group,Grupo
Group Name,Nombre del grupo
Group name is required,El nombre del grupo es obligatorio
Groups,Grupos
Half-open interval — a cart at exactly Max is excluded (the next tier's Min owns that point).,Intervalo semiabierto — un carrito exactamente en el Máx queda excluido (el Mín del siguiente nivel posee ese punto).
Has conflicts,Tiene conflictos
Heads up — ,Atención — 
Height,Altura
Height is required (0 for envelopes),La altura es obligatoria (0 para sobres)
Height must be 0 or greater,La altura debe ser 0 o mayor
Hide global areas,Ocultar áreas globales
Higest tax rate based on cart items,Tasa de impuesto más alta según los artículos del carrito
Highlight global areas on canvas,Resaltar áreas globales en el lienzo
Image,Imagen
Include In Menu,Incluir en el menú
Include in Store Menu?,¿Incluir en el menú de la tienda?
Increase,Aumentar
Insert image,Insertar imagen
Integer,Entero
Invalid folder name,Nombre de carpeta no válido
Invalid start,Inicio no válido
Invalid window,Ventana no válida
Inventory,Inventario
Is compound,Es compuesto
Its rates will be removed too. This cannot be undone.,Sus tasas también se eliminarán. Esto no se puede deshacer.
Languages,Idiomas
Layers,Capas
Layout,Diseño
Leave,Salir
Leave a country's list empty to cover the whole country. Add provinces to restrict shipping to specific regions.,Deja la lista de un país vacía para cubrir todo el país. Añade provincias para restringir el envío a regiones específicas.
Leaving now may drop the most recent edits that haven’t reached the server yet.,Salir ahora puede descartar las ediciones más recientes que aún no han llegado al servidor.
Length,Longitud
Length is required,La longitud es obligatoria
Length must be greater than 0,La longitud debe ser mayor que 0
Live,En vivo
Loading...,Cargando...
Long text,Texto largo
Lower values appear first.,Los valores más bajos aparecen primero.
Manage Stock,Gestionar stock
Manage general information about the collection.,Gestiona la información general sobre la colección.
Manage product images and gallery. Drag and drop to reorder images.,Gestiona las imágenes y la galería del producto. Arrastra y suelta para reordenar las imágenes.
"Manage shipping integrations and their methods (Core, USPS, FedEx, …)","Gestiona las integraciones de envío y sus métodos (Core, USPS, FedEx, …)"
Manage tax classes and tax rates for different regions.,Gestiona las clases de impuestos y las tasas de impuestos para diferentes regiones.
Manage the SEO settings of the category.,Gestiona la configuración de SEO de la categoría.
Manage the SEO settings.,Gestiona la configuración de SEO.
Manage the attributes.,Gestiona los atributos.
Manage the collections associated with this product.,Gestiona las colecciones asociadas con este producto.
Manage the general information of the category.,Gestiona la información general de la categoría.
Manage the general information of the product.,Gestiona la información general del producto.
Manage the inventory settings of the product.,Gestiona la configuración de inventario del producto.
Manage the products assigned to this category.,Gestiona los productos asignados a esta categoría.
Manage the products assigned to this collection.,Gestiona los productos asignados a esta colección.
Manage the shipping settings of the product.,Gestiona la configuración de envío del producto.
Manage the status settings of the category.,Gestiona la configuración de estado de la categoría.
Manage the variant group of the product.,Gestiona el grupo de variantes del producto.
Marketing,Marketing
Max ${unit},Máx ${unit}
Max is required,El máximo es obligatorio
Maximum,Máximo
Maximum amount is ${value} ${currency},El importe máximo es ${value} ${currency}
Maximum quantity is required,La cantidad máxima es obligatoria
Maximum quantity must be greater than or equal to 0,La cantidad máxima debe ser mayor o igual a 0
Media,Medios
Meta Description,Meta descripción
Meta Title,Meta título
Meta Title is required,El meta título es obligatorio
Meta description,Meta descripción
Meta description is required,La meta descripción es obligatoria
Meta title,Meta título
Meta title is required,El meta título es obligatorio
Method,Método
Method created,Método creado
Method name,Nombre del método
Method name is required,El nombre del método es obligatorio
Method updated,Método actualizado
Methods →,Métodos →
Min ${unit},Mín ${unit}
Min Price,Precio mín.
Min Weight,Peso mín.
Min is required,El mínimo es obligatorio
Min price is required,El precio mínimo es obligatorio
Min weight is required,El peso mínimo es obligatorio
Minimum purchase amount,Importe mínimo de compra
Minimum purchase qty,Cant. mínima de compra
Minimum purchase quantity,Cantidad mínima de compra
Minimum purchased amount. This only applies to registered customers.,Importe mínimo de compra. Esto solo se aplica a clientes registrados.
Minimum quantity is required,La cantidad mínima es obligatoria
Missing name,Falta el nombre
Money,Dinero
Name is required.,El nombre es obligatorio.
Navigation,Navegación
New Attribute,Nuevo atributo
New Category,Nueva categoría
New Collection,Nueva colección
New Coupon,Nuevo cupón
New Page,Nueva página
New Variant,Nueva variante
New coupon,Nuevo cupón
New rate,Nueva tarifa
No collections,Sin colecciones
No editable routes.,No hay rutas editables.
No file selected,Ningún archivo seleccionado
No methods yet — add one to start offering Core shipping.,Aún no hay métodos — añade uno para empezar a ofrecer el envío Core.
No packages yet. Create one — shippable products require a package.,Aún no hay paquetes. Crea uno — los productos enviables requieren un paquete.
No product to display.,No hay productos para mostrar.
"No providers attached. Click ""Attach Provider"" to add one.","No hay proveedores adjuntos. Haz clic en ""Adjuntar proveedor"" para añadir uno."
"No rates yet — click ""Add Rate"" to offer this method in a zone.","Aún no hay tarifas — haz clic en ""Añadir tarifa"" para ofrecer este método en una zona."
"No results for ""${keyword}""","Sin resultados para ""${keyword}"""
No routes have opted into page-builder editing yet.,Ninguna ruta se ha habilitado aún para la edición con el constructor de páginas.
No shipping required?,¿No requiere envío?
No subdivisions available — whole country is covered.,No hay subdivisiones disponibles — todo el país está cubierto.
No widgets available.,No hay widgets disponibles.
"No widgets match ""${query}"".","Ningún widget coincide con ""${query}""."
No widgets on this route yet.,Aún no hay widgets en esta ruta.
No zones,Sin zonas
No zones found,No se encontraron zonas
Not visible individually,No visible individualmente
Nothing to publish,Nada que publicar
Nothing to redo on this page,Nada que rehacer en esta página
Nothing to undo on this page,Nada que deshacer en esta página
Number,Número
Option text is required,El texto de la opción es obligatorio
Optional. Added to the shipping weight for quotes and labels.,Opcional. Se añade al peso de envío para cotizaciones y etiquetas.
Order Number,Número de pedido
Order conditions,Condiciones del pedido
Orders (${count}),Pedidos (${count})
Other,Otro
Other pages keep their pending changes.,Las demás páginas conservan sus cambios pendientes.
Overlaps with existing rollout: ${plans}.,Se solapa con un despliegue existente: ${plans}.
Overlaps with existing rollouts: ${plans}.,Se solapa con despliegues existentes: ${plans}.
Package,Paquete
Package created,Paquete creado
Package deleted,Paquete eliminado
Package saved,Paquete guardado
Packages,Paquetes
Page Name,Nombre de la página
Page Not Found,Página no encontrada
Page builder,Constructor de páginas
Page builder canvas,Lienzo del constructor de páginas
Page created successfully!,¡Página creada correctamente!
Page is required,La página es obligatoria
Page name is required,El nombre de la página es obligatorio
Pages,Páginas
Parent category,Categoría principal
Payment Setting,Configuración de pago
Payment mode,Modo de pago
Payment setting saved,Configuración de pago guardada
Paypal Payment,Pago con PayPal
Pending start time,Hora de inicio pendiente
Percentage discount to entire order,Descuento porcentual a todo el pedido
Percentage discount to specific products,Descuento porcentual a productos específicos
Phone,Teléfono
Pick a start time to schedule this rollout.,Elige una hora de inicio para programar este despliegue.
Pick a widget below to insert as a child.,Elige un widget a continuación para insertarlo como elemento secundario.
Pick up where you left off — ${count} pending changes,Continúa donde lo dejaste — ${count} cambios pendientes
Pick up where you left off — 1 pending change,Continúa donde lo dejaste — 1 cambio pendiente
Pin drawer open,Fijar el panel abierto
Pin — keep drawer open across canvas clicks,Fijar — mantén el panel abierto al hacer clic en el lienzo
Placed on: ${routes},Colocado en: ${routes}
Placements,Ubicaciones
Postal Code,Código postal
"Postcode (e.g., ""90210""). Empty for all postcodes.","Código postal (p. ej., ""90210""). Vacío para todos los códigos postales."
Preselected for new products. Exactly one package is the default.,Preseleccionado para nuevos productos. Exactamente un paquete es el predeterminado.
Preview,Vista previa
Price-based tiers,Niveles basados en el precio
Priority,Prioridad
Priority is required,La prioridad es obligatoria
Product Name,Nombre del producto
Product Status,Estado del producto
Product created successfully,Producto creado correctamente
Product updated successfully,Producto actualizado correctamente
Products (${count}),Productos (${count})
Promotion,Promoción
Proportional allocation based on cart items,Asignación proporcional según los artículos del carrito
Provide the SEO details for the CMS page.,Proporciona los detalles de SEO para la página del CMS.
Provide the basic information for the CMS page.,Proporciona la información básica de la página del CMS.
Provider,Proveedor
Province Restrictions,Restricciones de provincia
"Province code (e.g., ""CA""). Use ""*"" for all provinces.","Código de provincia (p. ej., ""CA""). Usa ""*"" para todas las provincias."
Provinces,Provincias
Provinces is required,Las provincias son obligatorias
Provinces:,Provincias:
Publish failed,Error al publicar
Publish now,Publicar ahora
Publish to the live storefront,Publicar en la tienda en vivo
Publishable Key,Clave publicable
Publishing…,Publicando…
Qty is required,La cantidad es obligatoria
Quick links,Enlaces rápidos
Rate,Tarifa
Rate added,Tarifa añadida
Rate is required,La tarifa es obligatoria
Rate removed,Tarifa eliminada
Rate status,Estado de la tarifa
Rate updated,Tarifa actualizada
Redo (⇧⌘Z) — re-applies the last undone edit on this page,Rehacer (⇧⌘Z) — vuelve a aplicar la última edición deshecha en esta página
Redo last undone change on this page,Rehacer el último cambio deshecho en esta página
Reference,Referencia
Refund,Reembolso
Refund amount,Importe del reembolso
Remove Zone,Eliminar zona
Remove placement,Eliminar ubicación
Remove rate,Eliminar tarifa
Remove this rate?,¿Eliminar esta tarifa?
Removed,Eliminado
Resize settings drawer,Redimensionar panel de ajustes
"Results for ""${keyword}""","Resultados para ""${keyword}"""
Revert all pages to saved state,Revertir todas las páginas al estado guardado
Revert everything,Revertir todo
Revert this page,Revertir esta página
Revert this page only,Revertir solo esta página
Revert to saved state?,¿Revertir al estado guardado?
Reverting…,Revirtiendo…
Rich text,Texto enriquecido
Roll back the changes you have made since this rollout was last saved. The live storefront is unaffected — it already reflects the saved state.,Deshace los cambios que has hecho desde la última vez que se guardó este despliegue. La tienda en vivo no se ve afectada: ya refleja el estado guardado.
SEO,SEO
SEO Information,Información SEO
SKU is required,El SKU es obligatorio
Sale,Oferta
Sandbox,Sandbox
Save Settings,Guardar ajustes
Save as rollout plan,Guardar como plan de despliegue
Save as rollout plan and leave,Guardar como plan de despliegue y salir
Save changes,Guardar cambios
Save failed,Error al guardar
Save method,Guardar método
Save rate,Guardar tarifa
Saving…,Guardando…
Schedule failed,Error al programar
Scheduled,Programado
Search engine optimize,Optimizar para motores de búsqueda
Search widgets,Buscar widgets
Secret Key,Clave secreta
Select Category,Seleccionar categoría
Select Parent Category,Seleccionar categoría principal
Select Products by SKU,Seleccionar productos por SKU
Select a provider first,Selecciona primero un proveedor
Select a provider…,Selecciona un proveedor…
Select an option,Selecciona una opción
Select category,Seleccionar categoría
Select countries,Seleccionar países
Select operator,Seleccionar operador
Select options,Seleccionar opciones
Select page,Seleccionar página
Select products to add to this collection.,Selecciona productos para añadir a esta colección.
Select the list of attribute,Selecciona la lista de atributos
Select this option if the product is a digital product or service that does not require shipping.,Selecciona esta opción si el producto es un producto o servicio digital que no requiere envío.
Set a start time to schedule.,Establece una hora de inicio para programar.
Set the status and visibility of the product.,Establece el estado y la visibilidad del producto.
Share,Compartir
Shipping Cost,Coste de envío
Shipping Providers,Proveedores de envío
Shipping address,Dirección de envío
Shipping cost is required,El coste de envío es obligatorio
Shipping provider setting saved,Ajuste del proveedor de envío guardado
Shipping tax class,Clase de impuesto de envío
Short text,Texto corto
Show global areas,Mostrar áreas globales
Show on routes,Mostrar en rutas
Show products?,¿Mostrar productos?
Show this widget on every page,Mostrar este widget en todas las páginas
Size (L × W × H),Tamaño (L × An × Al)
Sort,Ordenar
Sort order is required,El orden es obligatorio
Sort order must be a positive number,El orden debe ser un número positivo
Start,Iniciar
Start a page-builder session,Iniciar una sesión del constructor de páginas
Start date,Fecha de inicio
Start new changeset,Iniciar nuevo conjunto de cambios
Start time is invalid.,La hora de inicio no es válida.
State Date,Fecha de inicio
Status is required,El estado es obligatorio
Stay,Permanecer
Stay on this page,Permanecer en esta página
Stock Availability,Disponibilidad de stock
Stop highlighting global areas,Dejar de resaltar áreas globales
Store Address,Dirección de la tienda
Store Description,Descripción de la tienda
Store Email,Correo electrónico de la tienda
Store Name,Nombre de la tienda
Store Phone Number,Número de teléfono de la tienda
Store Setting,Ajuste de la tienda
Store Settings,Ajustes de la tienda
Store address,Dirección de la tienda
Storefront,Tienda
Stripe Payment,Pago con Stripe
Tablet,Tableta
Take our survey,Responde nuestra encuesta
Target Products,Productos objetivo
Tax Class,Clase de impuesto
Tax calculation configuration,Configuración del cálculo de impuestos
Tax class name,Nombre de la clase de impuesto
Tax class name is required,El nombre de la clase de impuesto es obligatorio
Tax classes,Clases de impuesto
Tax rate has been saved successfully!,¡La tasa de impuesto se ha guardado correctamente!
Tax setting has been saved successfully!,¡El ajuste de impuestos se ha guardado correctamente!
The box or envelope this product ships in. Applies to all variants of this product.,La caja o sobre en que se envía este producto. Se aplica a todas las variantes de este producto.
The boxes and envelopes you ship with. Every shippable product references one — its dimensions and empty weight drive shipping quotes and labels.,Las cajas y sobres con los que envías. Cada producto enviable hace referencia a uno: sus dimensiones y peso vacío determinan las cotizaciones y etiquetas de envío.
The conditions related to the customer for the coupon to be applied.,Las condiciones relacionadas con el cliente para que se aplique el cupón.
The conditions related to the order for the coupon to be applied.,Las condiciones relacionadas con el pedido para que se aplique el cupón.
The default package cannot be deleted,El paquete predeterminado no se puede eliminar
The draft holds ${count} saved changes you can publish later.,El borrador contiene ${count} cambios guardados que puedes publicar más tarde.
The draft holds 1 saved change you can publish later.,El borrador contiene 1 cambio guardado que puedes publicar más tarde.
The draft is deleted.,El borrador se ha eliminado.
The draft itself is deleted.,El propio borrador se ha eliminado.
The general information about the coupon.,La información general sobre el cupón.
"The language of the admin panel, independent of the storefront.","El idioma del panel de administración, independiente de la tienda."
The method will no longer apply to this zone.,El método ya no se aplicará a esta zona.
The minimum quantity of items required in the order to qualify for this coupon.,La cantidad mínima de artículos requerida en el pedido para optar a este cupón.
The minimum total amount required for the order to qualify for this coupon.,El importe total mínimo requerido para que el pedido opte a este cupón.
The rollout plan,El plan de despliegue
The storefront's primary language. Pages in this language have no URL prefix.,El idioma principal de la tienda. Las páginas en este idioma no tienen prefijo de URL.
The type of discount applied by the coupon.,El tipo de descuento aplicado por el cupón.
The zone this rate applies to.,La zona a la que se aplica esta tarifa.
"There is no ""Select"" attribute available.","No hay ningún atributo ""Select"" disponible."
There is no attribute to display,No hay ningún atributo para mostrar
There is no category to display,No hay ninguna categoría para mostrar
There is no collections to display,No hay ninguna colección para mostrar
There is no coupon to display,No hay ningún cupón para mostrar
There is no customer to display,No hay ningún cliente para mostrar
There is no order to display,No hay ningún pedido para mostrar
There is no page to display,No hay ninguna página para mostrar
There is no widget to display,No hay ningún widget para mostrar
