Welcome Back!,¡Bienvenido de nuevo!
There was an error fetching attribute groups.,Se produjo un error al obtener los grupos de atributos.
There was an error fetching categories.,Se produjo un error al obtener las categorías.
There was an error fetching collections.,Se produjo un error al obtener las colecciones.
There was an error fetching file browser APIs.,Se produjo un error al obtener las API del explorador de archivos.
There was an error fetching products.,Se produjo un error al obtener los productos.
This cannot be undone. Packages still assigned to products can't be removed.,Esto no se puede deshacer. Los paquetes aún asignados a productos no se pueden eliminar.
This changeset has no operations yet.,Este conjunto de cambios aún no tiene operaciones.
This field is required,Este campo es obligatorio
This is the URL path for the CMS page.,Esta es la ruta de URL de la página del CMS.
This is the address used to calculate tax rates.,Esta es la dirección utilizada para calcular las tasas de impuestos.
This is the meta title for the CMS page.,Este es el meta título de la página del CMS.
This is the name of the CMS page that will be displayed in the admin panel.,Este es el nombre de la página del CMS que se mostrará en el panel de administración.
This is the tax class applied to shipping costs.,Esta es la clase de impuesto aplicada a los costes de envío.
This product has some variants like color or size?,¿Este producto tiene variantes como color o tamaño?
This provider has no per-zone configuration. Methods and per-zone rates are managed in the provider's own admin area.,Este proveedor no tiene configuración por zona. Los métodos y las tarifas por zona se gestionan en la propia área de administración del proveedor.
This removes the zone along with its provider attachments and rates. This cannot be undone.,Esto elimina la zona junto con sus asociaciones de proveedor y tarifas. Esto no se puede deshacer.
This route has unpublished changes in your draft,Esta ruta tiene cambios sin publicar en tu borrador
This will be saved as a pending change you can publish or discard.,Esto se guardará como un cambio pendiente que puedes publicar o descartar.
Tiered,Escalonado
Type is required,El tipo es obligatorio
URL Key,Clave de URL
URL Key is required,La clave de URL es obligatoria
"URL Key must be lowercase and can only contain letters, numbers, and hyphens","La clave de URL debe estar en minúsculas y solo puede contener letras, números y guiones"
URL key,Clave de URL
URL key is required,La clave de URL es obligatoria
URL key must be lowercase and can only contain alphanumeric characters and hyphens,La clave de URL debe estar en minúsculas y solo puede contener caracteres alfanuméricos y guiones
Unassign,Desasignar
Undo (⌘Z) — undoes your last edit on this page,Deshacer (⌘Z) — deshace tu última edición en esta página
Undo / Redo,Deshacer / Rehacer
Undo last change on this page,Deshacer el último cambio en esta página
Unknown,Desconocido
Unlink,Desvincular
Unpin drawer,Desanclar panel
Unpin — drawer will close when you click empty canvas,Desanclar — el panel se cerrará al hacer clic en el lienzo vacío
Unpublished changes,Cambios sin publicar
Unsaved changes,Cambios sin guardar
Update the name and active window for this rollout plan. Content edits are managed separately in the editor.,Actualiza el nombre y la ventana activa de este plan de implementación. Las ediciones de contenido se gestionan por separado en el editor.
Update the variant details and attributes here.,Actualiza aquí los detalles y atributos de la variante.
Updated,Actualizado
Upload an image for the category.,Sube una imagen para la categoría.
Used Times,Veces usado
Value is required,El valor es obligatorio
Variant Group,Grupo de variantes
Variant created successfully,Variante creada correctamente
Variant updated successfully,Variante actualizada correctamente
Version ${version},Versión ${version}
Visibility,Visibilidad
Visibility determines where the product appears in the store. It does not affect the saleability of the product.,La visibilidad determina dónde aparece el producto en la tienda. No afecta a la disponibilidad de venta del producto.
Visitors will see the new layout on their next page load.,Los visitantes verán el nuevo diseño en la próxima carga de página.
Webhook Secret Key,Clave secreta del webhook
Weight,Peso
Weight must be 0 or greater,El peso debe ser 0 o mayor
Weight must be a positive number,El peso debe ser un número positivo
Weight-based tiers,Niveles según el peso
Widget Settings,Configuración del widget
Widget created successfully!,¡Widget creado correctamente!
Widgets,Widgets
Width,Ancho
Width is required,El ancho es obligatorio
Width must be greater than 0,El ancho debe ser mayor que 0
Will roll out automatically: ${range},Se implementará automáticamente: ${range}
Working…,Procesando…
Worldwide,En todo el mundo
X,X
Y,Y
You have ${count} changes in this draft that haven’t been published yet.,Tienes ${count} cambios en este borrador que aún no se han publicado.
You have ${count} changes still saving.,Tienes ${count} cambios que todavía se están guardando.
You have 1 change in this draft that hasn’t been published yet.,Tienes 1 cambio en este borrador que aún no se ha publicado.
You have 1 change still saving.,Tienes 1 cambio que todavía se está guardando.
Your draft is safe on the server — you can come back and publish it any time.,Tu borrador está a salvo en el servidor — puedes volver y publicarlo en cualquier momento.
Your edits on other pages stay in the draft.,Tus ediciones en otras páginas se mantienen en el borrador.
Your webhook url should be: https://yourdomain.com/api/stripe/webhook,La URL de tu webhook debe ser: https://yourdomain.com/api/stripe/webhook
Zone,Zona
Zone Name,Nombre de la zona
Zone Rates,Tarifas de la zona
Zone created,Zona creada
Zone is required,La zona es obligatoria
Zone name is required,El nombre de la zona es obligatorio
Zone removed,Zona eliminada
Zone updated,Zona actualizada
Zones served,Zonas atendidas
and ${count} more,y ${count} más
container will also hide,el contenedor también se ocultará
current page,página actual
e.g. Small Box,p. ej. Caja pequeña
e.g. Summer Sale 2026,p. ej. Rebajas de verano 2026
e.g. content,p. ej. contenido
"e.g., 10.00","p. ej., 10.00"
"e.g., EU, US-West","p. ej., EU, US-West"
"e.g., Express","p. ej., Express"
"e.g., FEDEX_GROUND, usps_priority","p. ej., FEDEX_GROUND, usps_priority"
every page,todas las páginas
indefinite,indefinido
open,abrir
"publishing is immediate and can’t be undone from this screen. To stage instead, cancel and choose “Schedule a rollout”.","la publicación es inmediata y no se puede deshacer desde esta pantalla. Para prepararla en su lugar, cancela y elige «Programar una implementación»."
quantity of products are matched bellow conditions(All),la cantidad de productos cumple las siguientes condiciones (Todas)
subtotal,subtotal
to a storefront route's,a una ruta del escaparate
to make it appear here.,para que aparezca aquí.
weight,peso
widget? This will be saved as a pending change you can publish or discard.,widget? Esto se guardará como un cambio pendiente que puedes publicar o descartar.
will be removed and the live storefront will stop applying its edits. The underlying changeset and its pending content edits are preserved.,se eliminará y el escaparate en vivo dejará de aplicar sus ediciones. El conjunto de cambios subyacente y sus ediciones de contenido pendientes se conservan.
— None —,— Ninguno —
Cash On Delivery,Contra reembolso
Please select a valid payment method,Selecciona un método de pago válido
Show ${label} width,Mostrar ancho de ${label}
Column ${index},Columna ${index}
Switch page,Cambiar de página
Search pages…,Buscar páginas…
Search pages,Buscar páginas
Save your pending edits — the live storefront will catch up,Guarda tus ediciones pendientes — el escaparate en vivo se actualizará
No changes to save — the rollout matches the editor,No hay cambios que guardar — la implementación coincide con el editor
More rollout actions,Más acciones de implementación
Revert to saved state…,Revertir al estado guardado…
Roll back the editor to what the rollout currently shows on the storefront,Revertir el editor a lo que la implementación muestra actualmente en el escaparate
Nothing to revert — the editor matches the saved state,Nada que revertir — el editor coincide con el estado guardado
Cancel rollout plan…,Cancelar plan de implementación…
Remove the schedule — the changeset is preserved,Eliminar la programación — el conjunto de cambios se conserva
Publish,Publicar
More publish options,Más opciones de publicación
Apply all edits to the live storefront immediately,Aplicar todas las ediciones al escaparate en vivo de inmediato
Save as rollout plan…,Guardar como plan de implementación…
Schedule these edits to roll out at a future time,Programar estas ediciones para implementarlas más adelante
Discard pending changes…,Descartar cambios pendientes…
Choose between discarding the whole draft or just this page,Elige entre descartar todo el borrador o solo esta página
Switch session,Cambiar de sesión
New changeset,Nuevo conjunto de cambios
Rollout: ${name},Implementación: ${name}
Click or drag to add,Haz clic o arrastra para añadir
Background color,Color de fondo
Text color,Color del texto
Dwell time,Tiempo de permanencia
Time each announcement stays visible (in addition to the 400ms slide transition).,Tiempo que cada anuncio permanece visible (además de la transición de deslizamiento de 400ms).
Announcements,Anuncios
Add announcement,Añadir anuncio
Untitled,Sin título
Free shipping on orders over $50,Envío gratis en pedidos superiores a $50
Optional. Makes the entire row a clickable link.,Opcional. Convierte toda la fila en un enlace en el que se puede hacer clic.
Link label,Etiqueta del enlace
Optional. Displayed after the content; defaults to the content itself.,Opcional. Se muestra después del contenido; de forma predeterminada es el propio contenido.
Shop now,Comprar ahora
Dark,Oscuro
Light,Claro
Gradient,Degradado
Left,Izquierda
Center,Centro
Right,Derecha
Selected image,Imagen seleccionada
No image selected,Ninguna imagen seleccionada
Replace,Reemplazar
Clear,Borrar
Reflects the alignment below.,Refleja la alineación de abajo.
Banner Image,Imagen del banner
Mobile image,Imagen para móvil
Optional. Swapped in below the 768px breakpoint. Falls back to the image above when empty — typical use is a portrait crop of the same scene.,Opcional. Se intercambia por debajo del punto de quiebre de 768px. Recurre a la imagen de arriba cuando está vacía — el uso habitual es un recorte vertical de la misma escena.
Alignment,Alineación
Overlay copy,Texto de superposición
Eyebrow,Antetítulo
"Small all-caps label above the heading. E.g. ""LIMITED EDITION"".","Etiqueta pequeña en mayúsculas sobre el título. P. ej. ""LIMITED EDITION""."
LIMITED EDITION,EDICIÓN LIMITADA
Heading,Título
The Summer Edit,La selección de verano
Sub-text,Texto secundario
One short supporting sentence.,Una breve frase de apoyo.
Overlay placement,Ubicación de la superposición
Content position,Posición del contenido
Where the overlay text sits on the image.,Dónde se sitúa el texto de superposición sobre la imagen.
Tint,Tinte
A scrim behind the overlay text for legibility. Dark / gradient flip the text to white automatically.,Una capa semitransparente detrás del texto de superposición para mejorar la legibilidad. Oscuro / degradado cambian el texto a blanco automáticamente.
Tint opacity,Opacidad del tinte
Call to actions,Llamadas a la acción
Remove primary CTA,Eliminar CTA principal
+ Add a primary CTA,+ Añadir un CTA principal
Secondary,Secundario
Remove secondary CTA,Eliminar CTA secundario
Learn more,Más información
+ Add a secondary CTA,+ Añadir un CTA secundario
Details,Detalles
Alt text,Texto alternativo
Describes the banner for screen readers and SEO.,Describe el banner para lectores de pantalla y SEO.
"e.g. ""Summer sale promotional banner""","p. ej. ""Banner promocional de rebajas de verano"""
Banner link,Enlace del banner
Optional. Clicking the banner navigates here.,Opcional. Al hacer clic en el banner se navega aquí.
Display name,Nombre visible
Shop,Tienda
Target,Destino
"Page, category, product, or a custom URL.","Página, categoría, producto o una URL personalizada."
Nofollow,Nofollow
SEO: don't pass ranking credit to this link (rel=nofollow).,SEO: no transfiere crédito de posicionamiento a este enlace (rel=nofollow).
No referrer,Sin referente
Privacy: drop the referring URL (rel=noreferrer). New-tab links always include this.,Privacidad: elimina la URL de referencia (rel=noreferrer). Los enlaces en nueva pestaña siempre lo incluyen.
Menu items,Elementos del menú
Add menu item,Añadir elemento de menú
Sub-items,Subelementos
Optional dropdown links (1 level).,Enlaces desplegables opcionales (1 nivel).
Add sub-item,Añadir subelemento
Options,Opciones
Use as main menu,Usar como menú principal
"Primary navigation — on mobile it collapses into a hamburger menu. Turn off for a simple link list (e.g. a footer), which stays inline on mobile.","Navegación principal — en móvil se colapsa en un menú de hamburguesa. Desactívalo para una lista de enlaces simple (p. ej. un pie de página), que permanece en línea en móvil."
Custom CSS classes,Clases CSS personalizadas
Applied to the rendered menu element.,Se aplican al elemento de menú renderizado.
e.g. main-nav font-semibold,p. ej. main-nav font-semibold
S,S
M,M
L,L
Tiles,Mosaicos
Add tile,Añadir mosaico
Hero · ,Hero · 
Used when no image is set.,Se usa cuando no hay imagen establecida.
Small label above the heading.,Etiqueta pequeña encima del título.
THE SUMMER EDIT,LA SELECCIÓN DE VERANO
New Arrivals,Novedades
Body,Cuerpo
Big card — the headline of the grid.,Tarjeta grande — el titular de la cuadrícula.
Link URL,URL del enlace
Gap,Espaciado
Minimum block height,Altura mínima del bloque
Image left,Imagen a la izquierda
Image right,Imagen a la derecha
Centered,Centrado
Pull quote,Cita destacada
Variant,Variante
Image column size,Tamaño de la columna de imagen
Describe the image,Describe la imagen
Copy,Texto
"Small all-caps label. E.g. ""OUR STORY"".","Etiqueta pequeña en mayúsculas. P. ej. ""NUESTRA HISTORIA""."
Our story,Nuestra historia
"Made by hand, in small batches","Hecho a mano, en pequeños lotes"
"Required for the pull-quote variant. Displayed large, styled as a blockquote.","Obligatorio para la variante de cita destacada. Se muestra grande, con estilo de cita."
"A short, quotable line.",Una frase breve y citable.
Three or four sentences of brand narrative.,Tres o cuatro frases de narrativa de marca.
Second body paragraph (optional),Segundo párrafo del cuerpo (opcional)
A second short paragraph if the story needs it.,Un segundo párrafo breve si la historia lo necesita.
Read more link,Enlace de leer más
Read more,Leer más
URL,URL
Remove read-more link,Eliminar enlace de leer más
+ Add a read-more link,+ Añadir un enlace de leer más
Square,Cuadrado
Landscape,Horizontal
Portrait,Vertical
Overlay,Superposición
Below,Debajo
New category,Nueva categoría
Section heading,Título de la sección
Optional. Shown above the grid.,Opcional. Se muestra encima de la cuadrícula.
Shop by category,Comprar por categoría
Women,Mujer
Columns,Columnas
Auto,Automático
Asymmetric makes the first tile span 2 columns.,Asimétrico hace que el primer mosaico ocupe 2 columnas.
Uniform,Uniforme
Asymmetric,Asimétrico
Image aspect,Proporción de imagen
Label position,Posición de la etiqueta
Blush,Rosa pálido
XL,XL
Position ${c},Posición ${c}
Column layout,Disposición de columnas
Drag widgets into each column. Children re-flow when you change the ratio.,Arrastra widgets a cada columna. Los elementos hijos se reorganizan al cambiar la proporción.
Space between columns.,Espacio entre columnas.
Where content sits within each column. Applied uniformly to every column.,Dónde se ubica el contenido dentro de cada columna. Se aplica uniformemente a todas las columnas.
Row appearance,Apariencia de la fila
Background,Fondo
Custom color,Color personalizado
"Any CSS color (e.g. ""#0a0a0a"" or ""rgb(10,10,10)""). Leave empty to use the swatch above.","Cualquier color CSS (p. ej. ""#0a0a0a"" o ""rgb(10,10,10)""). Déjalo vacío para usar la muestra de arriba."
Padding,Relleno
Outer spacing around the row. Scales down on mobile.,Espaciado exterior alrededor de la fila. Se reduce en móvil.
Solid,Sólido
Dashed,Discontinuo
Already expired,Ya caducado
Expires in ${days}d ${hours}h,Caduca en ${days}d ${hours}h
Expires in ${hours}h ${minutes}m,Caduca en ${hours}h ${minutes}m
Offer,Oferta
"Urgency line. Optional. E.g. ""Limited · Ends Sunday"".","Línea de urgencia. Opcional. P. ej. ""Limitado · Termina el domingo""."
Limited · Ends Sunday,Limitado · Termina el domingo
Headline,Titular
Take 20% off your order,Llévate un 20% de descuento en tu pedido
Optional. One short instructional line.,Opcional. Una breve línea de instrucción.
Use code at checkout,Usa el código al finalizar la compra
Promo code,Código promocional
Displayed in uppercase to shoppers.,Se muestra en mayúsculas a los compradores.
Expires,Caduca
Optional. The block auto-hides after this time for live visitors.,Opcional. El bloque se oculta automáticamente después de este tiempo para los visitantes en vivo.
Call to action,Llamada a la acción
Button label,Texto del botón
Shop now →,Comprar ahora →
Button link,Enlace del botón
Appearance,Apariencia
Border,Borde
Narrow,Estrecho
Normal,Normal
Wide,Ancho
Shown above all content. Optional.,Se muestra encima de todo el contenido. Opcional.
e.g. Frequently asked,p. ej. Preguntas frecuentes
Prose,Texto
FAQ group · ${count} items,Grupo de FAQ · ${count} elementos
Group heading,Título del grupo
Optional sub-heading.,Subtítulo opcional.
e.g. Shipping,p. ej. Envíos
Add question,Añadir pregunta
Question,Pregunta
e.g. How long does shipping take?,p. ej. ¿Cuánto tarda el envío?
Answer,Respuesta
"Supports **bold**, _italic_, and line breaks.","Admite **negrita**, _cursiva_ y saltos de línea."
e.g. Orders ship within 24 hours…,p. ej. Los pedidos se envían en 24 horas…
Add prose,Añadir texto
Add FAQ group,Añadir grupo de FAQ
Max width,Ancho máximo
Content column width.,Ancho de la columna de contenido.
Allow multiple open,Permitir varios abiertos
"When off, opening one FAQ item closes the others in the same group.","Cuando está desactivado, abrir un elemento de FAQ cierra los demás del mismo grupo."
New link,Nuevo enlace
New column,Nueva columna
Add column,Añadir columna
${title} · ${count} links,${title} · ${count} enlaces
Column title,Título de la columna
Links,Enlaces
"Min 1, max 12.","Mín. 1, máx. 12."
Add link,Añadir enlace
New arrivals,Novedades
Boxed,En caja
Wide (full bleed),Ancho (a sangre completa)
Boxed stays inside the page's container (theme decides the max-width). Wide breaks out edge-to-edge.,En caja permanece dentro del contenedor de la página (el tema decide el ancho máximo). Ancho se extiende de borde a borde.
Scales down on mobile.,Se reduce en móvil.
Optional. Painted behind content. Combine with a tint below for legibility.,Opcional. Se pinta detrás del contenido. Combínalo con un tinte abajo para mayor legibilidad.
XS,XS
Spacing,Espaciado
Size,Tamaño
Mobile scales down ~⅔ automatically.,En móvil se reduce ~⅔ automáticamente.
Divider line,Línea divisoria
Show divider line,Mostrar línea divisoria
A horizontal rule centred in the spacing band.,Una línea horizontal centrada en la banda de espaciado.
Line color,Color de la línea
Default uses the theme's divider color.,Por defecto usa el color de divisor del tema.
Sides,Lados
Bottom,Abajo
Dots,Puntos
Bars,Barras
Mobile image (optional),Imagen para móvil (opcional)
Used at ≤ 767 px. Falls back to the main image.,Se usa a ≤ 767 px. Recurre a la imagen principal.
e.g. New collection,p. ej. Nueva colección
e.g. Summer Sale,p. ej. Rebajas de verano
Sub text,Texto secundario
Check out our latest products with special discounts.,Descubre nuestros últimos productos con descuentos especiales.
Primary button,Botón principal
Secondary button,Botón secundario
+ Add secondary button,+ Añadir botón secundario
Overrides,Sobrescrituras
Leaves slide-specific anchor; falls back to the slideshow's default.,Mantiene el anclaje específico de la diapositiva; recurre al valor por defecto del carrusel.
Overlay tint,Tinte de superposición
Overlay opacity,Opacidad de superposición
Make whole slide clickable,Hacer toda la diapositiva clicable
Behavior,Comportamiento
Transition,Transición
Slide,Diapositiva
Fade,Fundido
Transition speed,Velocidad de transición
Autoplay,Reproducción automática
Autoplay delay,Retardo de reproducción automática
${seconds} s between slides,${seconds} s entre diapositivas
Pause on hover,Pausar al pasar el cursor
Pause for 20 s after user nav,Pausar 20 s tras la navegación del usuario
Arrows,Flechas
Aspect ratio,Relación de aspecto
`Auto` matches the natural image height (jumps between slides).,`Auto` se ajusta a la altura natural de la imagen (salta entre diapositivas).
Default content position,Posición de contenido por defecto
Per-slide overrides win.,Las sobrescrituras por diapositiva tienen prioridad.
Default overlay tint,Tinte de superposición por defecto
Default overlay opacity,Opacidad de superposición por defecto
Slides (${count}),Diapositivas (${count})
No slides yet.,Aún no hay diapositivas.
Add your first slide,Añade tu primera diapositiva
Slide ${number},Diapositiva ${number}
Image only,Solo imagen
Empty,Vacío
Show slide,Mostrar diapositiva
Hide slide,Ocultar diapositiva
Move slide up,Mover diapositiva hacia arriba
Move slide down,Mover diapositiva hacia abajo
Delete slide,Eliminar diapositiva
Top,Arriba
Cover,Cubrir
Contain,Contener
Required for accessibility.,Obligatorio para la accesibilidad.
Image fit,Ajuste de imagen
"Small all-caps label. E.g. ""LIMITED EDITION"".","Etiqueta pequeña en mayúsculas. P. ej. ""EDICIÓN LIMITADA""."
Limited edition,Edición limitada
One strong line,Una línea contundente
Two lines of supporting copy.,Dos líneas de texto de apoyo.
Image position,Posición de la imagen
Vertical alignment,Alineación vertical
Aligns the copy panel content.,Alinea el contenido del panel de texto.
Remove call to action,Eliminar llamada a la acción
Add a call to action,Añadir una llamada a la acción
Custom CSS classes for the text block,Clases CSS personalizadas para el bloque de texto
Add group,Añadir grupo
${label} · ${count} subs,${label} · ${count} subcategorías
Parent label,Etiqueta principal
Parent link,Enlace principal
Image alt text,Texto alternativo de la imagen
Sub-categories,Subcategorías
"Min 1, max 8.","Mín. 1, máx. 8."
Add sub-category,Añadir subcategoría
Dresses,Vestidos
Columns (desktop),Columnas (escritorio)
On tablets the layout is always 2 columns.,En tabletas el diseño siempre tiene 2 columnas.
Make parent image a link,Convertir la imagen principal en un enlace
"When off, only the sub-chips and parent label are interactive.","Cuando está desactivado, solo las subetiquetas y la etiqueta principal son interactivas."
Title,Título
e.g. Free shipping,p. ej. Envío gratis
Optional supporting line below the title.,Línea de apoyo opcional debajo del título.
Icon,Icono
Optional. SVG or raster image. Hidden when icons are turned off globally.,Opcional. Imagen SVG o de mapa de bits. Se oculta cuando los iconos están desactivados globalmente.
Optional. Makes the whole cell clickable.,Opcional. Hace que toda la celda sea clicable.
"Auto matches the item count, capped at 4.","Auto se ajusta al número de elementos, con un máximo de 4."
3,3
4,4
Icon size,Tamaño del icono
Show icons,Mostrar iconos
Master switch. Items without an icon URL are unaffected.,Interruptor general. Los elementos sin URL de icono no se ven afectados.
Show divider,Mostrar divisor
Vertical line between cells.,Línea vertical entre celdas.
Collection,Colección
Search collections…,Buscar colecciones…
No collections match “${value}”.,Ninguna colección coincide con “${value}”.
You have no collections yet.,Aún no tienes colecciones.
Please select a collection,Selecciona una colección
"Defaults to ""${name}"" (the collection's name).","Por defecto es ""${name}"" (el nombre de la colección)."
Defaults to the picked collection's name.,Por defecto es el nombre de la colección seleccionada.
Collection name,Nombre de la colección
Defaults to the collection's description. Setting this replaces the rich-text description with plain text.,Por defecto es la descripción de la colección. Definir esto reemplaza la descripción con texto enriquecido por texto plano.
e.g. Hand-picked styles for the season.,p. ej. Estilos seleccionados para la temporada.
View all link,Enlace de ver todo
"Optional. Hidden when empty. Pick a category, product, page, or paste a custom URL.","Opcional. Se oculta cuando está vacío. Elige una categoría, producto o página, o pega una URL personalizada."
"Optional. Defaults to ""View all →"".","Opcional. Por defecto es ""Ver todo →""."
View all →,Ver todo →
Total products,Total de productos
Number of products to display.,Número de productos a mostrar.
Products per row,Productos por fila
Grid columns (1–6 typical).,Columnas de la cuadrícula (1–6 habitual).
Count is required,La cantidad es obligatoria
e.g. 8,p. ej. 8
Count per row is required,La cantidad por fila es obligatoria
e.g. 4,p. ej. 4
Cover image,Imagen de portada
COLLECTION,COLECCIÓN
"Defaults to ""${pickedName}"".","Por defecto es ""${pickedName}""."
Defaults to the picked collection name.,Por defecto es el nombre de la colección seleccionada.
Optional. One or two sentences of editorial copy.,Opcional. Una o dos frases de texto editorial.
"Linen, cotton, easy stuff.","Lino, algodón, prendas ligeras."
Preview product count,Cantidad de productos en vista previa
2 (1×2),2 (1×2)
4 (2×2),4 (2×2)
Please pick a collection,Elige una colección
Add collection,Añadir colección
Row heading,Encabezado de fila
The Linen Edit,La Selección de Lino
Optional. Hidden when empty.,Opcional. Se oculta cuando está vacío.
View all label,Etiqueta de ver todo
Show price,Mostrar precio
Show divider between rows,Mostrar divisor entre filas
Selected:,Seleccionado:
Image override,Sobrescritura de imagen
Override image,Sobrescribir imagen
Override image (optional),Sobrescribir imagen (opcional)
Leave empty to use the product's primary image.,Déjalo vacío para usar la imagen principal del producto.
Small label above the product name. Optional.,Etiqueta pequeña encima del nombre del producto. Opcional.
FEATURED,DESTACADO
Editorial copy,Texto editorial
Overrides the product's own description in this context. Leave blank to hide.,Sobrescribe la descripción propia del producto en este contexto. Déjalo en blanco para ocultarlo.
Two lines of copy explaining why this product is being spotlighted right now.,Dos líneas de texto que explican por qué se destaca este producto ahora mismo.
Please pick a product,Elige un producto
e.g. On orders over $50,p. ej. En pedidos superiores a $50
Text block,Bloque de texto
Menu,Menú
Footer menu,Menú de pie de página
Banner,Banner
Simple Slideshow,Carrusel simple
Brand story,Historia de la marca
Category mosaic,Mosaico de categorías
Tiered categories,Categorías por niveles
Bento grid,Cuadrícula bento
Separator,Separador
Section,Sección
Split feature,Destacado dividido
Announcement bar,Barra de anuncios
Coupon block,Bloque de cupón
FAQ block,Bloque de FAQ
Trust strip,Franja de confianza
Collection products,Productos de la colección
Collection stack,Pila de colecciones
Collection spotlight,Colección destacada
Product hero,Producto destacado
Layout container with 1–4 columns for nesting widgets.,Contenedor de diseño con 1–4 columnas para anidar widgets.
Add rich text content,Añadir contenido de texto enriquecido
Navigation links,Enlaces de navegación
Multi-column list of footer links — a titled column of navigation links per group.,Lista de varias columnas de enlaces del pie de página — una columna titulada de enlaces de navegación por grupo.
A single hero image with optional overlay copy and CTAs.,Una sola imagen destacada con texto superpuesto opcional y CTA.
Rotating image carousel,Carrusel de imágenes giratorio
Editorial block combining an image and long-form brand narrative. Four layout variants.,Bloque editorial que combina una imagen y una narrativa de marca extensa. Cuatro variantes de diseño.
"A grid of 3–6 category tiles for the primary ""Shop by category"" entry point.","Una cuadrícula de 3–6 mosaicos de categorías para el punto de entrada principal ""Comprar por categoría""."
A two-level nav block: parent category image plus a row of sub-category chips.,Un bloque de navegación de dos niveles: imagen de la categoría principal más una fila de etiquetas de subcategorías.
An asymmetric mosaic of CTA tiles — one large hero plus 1–4 supporting tiles.,Un mosaico asimétrico de mosaicos de CTA — un mosaico principal grande más 1–4 mosaicos secundarios.
"Vertical spacing between widgets, with an optional divider line. Mobile scales down automatically.","Espaciado vertical entre widgets, con una línea divisoria opcional. En móvil se reduce automáticamente."
Styled droppable band that wraps other widgets. Toggle between wide (edge-to-edge) and boxed (theme container).,Franja estilizada y soltable que envuelve otros widgets. Alterna entre ancho (de borde a borde) y enmarcado (contenedor del tema).
A 50/50 image + copy promo block with optional CTA. The canonical promo moment widget.,Un bloque promocional 50/50 de imagen + texto con CTA opcional. El widget promocional por excelencia.
A thin top-of-page bar with one or more rotating announcements.,Una barra delgada en la parte superior de la página con uno o más anuncios rotativos.
A promo panel with a copyable discount code and CTA.,Un panel promocional con un código de descuento copiable y CTA.
Flexible content block mixing prose sections and accordion FAQ groups.,Bloque de contenido flexible que combina secciones de texto y grupos de FAQ en acordeón.
"A row of value-prop items (free shipping, easy returns, etc.) for below-the-hero or above-the-footer reinforcement.","Una fila de elementos de propuesta de valor (envío gratis, devoluciones fáciles, etc.) para reforzar debajo del destacado o encima del pie de página."
A list of products from a collection,Una lista de productos de una colección
"Stacked rows of collections, each with a heading, view-all link, and a strip of products.","Filas apiladas de colecciones, cada una con un título, un enlace para ver todo y una franja de productos."
"A featured collection with cover image, editorial copy, and a small product preview grid.","Una colección destacada con imagen de portada, texto editorial y una pequeña cuadrícula de vista previa de productos."
"A single-product spotlight — image, name, price, and a link to the full product page.","Un destacado de un solo producto — imagen, nombre, precio y un enlace a la página completa del producto."
Deleting this container will also hide,Al eliminar este contenedor también se ocultará
