Welcome Back!,Bentornato!
Based on cart subtotal,In base al subtotale del carrello
Based on cart weight,In base al peso del carrello
Basic configuration,Configurazione di base
Boolean,Booleano
Built-in shipping methods with per-zone rates. Attach Core to a zone first under Settings → Shipping; then add methods here and configure their rates per zone.,Metodi di spedizione integrati con tariffe per zona. Collega prima Core a una zona in Impostazioni → Spedizione; poi aggiungi i metodi qui e configura le relative tariffe per zona.
Buy X get Y,Compra X ottieni Y
CMS,CMS
Calculation type,Tipo di calcolo
Can not change the attribute group of a product that is already in a variant group.,Impossibile modificare il gruppo di attributi di un prodotto che fa già parte di un gruppo di varianti.
Cancel rollout,Annulla distribuzione
Cancel rollout plan?,Annullare il piano di distribuzione?
Canvas device width,Larghezza dispositivo canvas
Capture,Cattura
Capture Payment,Cattura pagamento
Carrier hint for fulfillment — never shown at checkout. NewShipmentDialog uses this to pre-select the carrier.,Suggerimento del corriere per l'evasione — mai mostrato al checkout. NewShipmentDialog lo usa per preselezionare il corriere.
Carrier-specific service code used when buying a label (CreateLabelInput.serviceCode). Free-form — verify the exact token in the carrier's API docs. Leave blank to let the carrier pick its default service.,Codice servizio specifico del corriere usato all'acquisto di un'etichetta (CreateLabelInput.serviceCode). Formato libero — verifica il token esatto nella documentazione API del corriere. Lascia vuoto per far scegliere al corriere il servizio predefinito.
Cash On Delivery Payment,Pagamento alla consegna
"Catalog, Search","Catalogo, ricerca"
Category Image,Immagine categoria
Category Name,Nome categoria
Category created successfully!,Categoria creata con successo!
Category name is required,Il nome categoria è obbligatorio
Choose Attribute Groups,Scegli gruppi di attributi
Choose Categories,Scegli categorie
Choose Collections,Scegli raccolte
Choose SKUs,Scegli SKU
Choose how much of your unpublished work to discard. The published storefront is not affected.,Scegli quanto del tuo lavoro non pubblicato scartare. Il negozio pubblicato non viene modificato.
Choose where you ship and how much you charge for shipping.,Scegli dove spedisci e quanto addebiti per la spedizione.
Clear filter,Cancella filtro
Clear filters,Cancella filtri
Client ID,Client ID
Client Secret,Client Secret
Close,Chiudi
Close settings,Chiudi impostazioni
Close — continue draft,Chiudi — continua bozza
Cms Pages,Pagine CMS
Collapse left rail,Comprimi barra sinistra
Collapse panel,Comprimi pannello
Collection Code,Codice raccolta
Collection Name,Nome raccolta
Collection code is required,Il codice raccolta è obbligatorio
Collection code must be alphanumeric and can include underscores or dashes.,Il codice raccolta deve essere alfanumerico e può includere underscore o trattini.
Collection created successfully!,Raccolta creata con successo!
Color,Colore
Commerce,Commercio
Compound,Composto
Condition,Condizione
Configure,Configura
Configure cost and conditions per zone. Zones without a rate don't offer this method.,Configura costo e condizioni per zona. Le zone senza tariffa non offrono questo metodo.
Configure rate,Configura tariffa
Configure the available payment methods,Configura i metodi di pagamento disponibili
Configure the settings for the ${name} widget.,Configura le impostazioni per il widget ${name}.
Configure the tax classes that will be available to your customers at checkout.,Configura le classi fiscali che saranno disponibili ai tuoi clienti al checkout.
Configure your Cash On Delivery payment gateway settings,Configura le impostazioni del gateway di pagamento alla consegna
Configure your Paypal payment gateway settings,Configura le impostazioni del gateway di pagamento PayPal
Configure your Stripe payment gateway settings,Configura le impostazioni del gateway di pagamento Stripe
Configure your store information,Configura le informazioni del tuo negozio
"Conflicts with ${plan1}, ${plan2}","In conflitto con ${plan1}, ${plan2}"
Conflicts with ${plan},In conflitto con ${plan}
Conflicts with ${plan} +${count},In conflitto con ${plan} +${count}
Conflicts with:,In conflitto con:
Content,Contenuto
Continue a saved rollout plan,Continua un piano di distribuzione salvato
Continue your draft,Continua la tua bozza
Core Shipping,Spedizione Core
Core isn't attached to any zone yet. Attach it under Settings → Shipping first.,Core non è ancora collegato a nessuna zona. Collegalo prima in Impostazioni → Spedizione.
Cost,Costo
Cost is required,Il costo è obbligatorio
Could not start fresh,Impossibile ricominciare da capo
Countries,Paesi
"Country code (e.g., ""US""). Use ""*"" for all countries.","Codice paese (es. ""US""). Usa ""*"" per tutti i paesi."
Coupon Code,Codice coupon
"Coupon code can only contain letters, numbers, underscores, and hyphens","Il codice coupon può contenere solo lettere, numeri, underscore e trattini"
Coupon created successfully!,Coupon creato con successo!
Coupons,Coupon
Create A New Customer,Crea un nuovo cliente
Create New Package,Crea nuovo pacco
Create New Tax Class,Crea nuova classe fiscale
Create New Zone,Crea nuova zona
Create a new category,Crea una nuova categoria
Create a new collection,Crea una nuova raccolta
Create a new coupon,Crea un nuovo coupon
Create a new page,Crea una nuova pagina
Create a new product,Crea un nuovo prodotto
Create a new variant for this product.,Crea una nuova variante per questo prodotto.
Create a new widget,Crea un nuovo widget
Create a variant group,Crea un gruppo di varianti
Create method,Crea metodo
Create new tax class,Crea nuova classe fiscale
Create rollout plan,Crea piano di distribuzione
Created At,Creato il
Current,Attuale
Customer,Cliente
Customer Email,Email cliente
Customer conditions,Condizioni cliente
Customer emails,Email cliente
Customer groups,Gruppi di clienti
Customer's purchase,Acquisto del cliente
Customers,Clienti
Customers (${count}),Clienti (${count})
Customers in ${zone} will no longer see ${name}'s methods at checkout. You can re-attach it later.,I clienti in ${zone} non vedranno più i metodi di ${name} al checkout. Puoi ricollegarlo in seguito.
Dashboard,Dashboard
Date,Data
Decrease,Diminuisci
Default carrier,Corriere predefinito
Default language,Lingua predefinita
Default package,Pacco predefinito
Default service code,Codice servizio predefinito
"Delete ""${name}""?","Eliminare ""${name}""?"
Delete ${count} attributes,Elimina ${count} attributi
Delete ${count} categories,Elimina ${count} categorie
Delete ${count} collections,Elimina ${count} raccolte
Delete ${count} pages,Elimina ${count} pagine
Delete ${count} widgets,Elimina ${count} widget
Delete container widget?,Eliminare il widget contenitore?
Delete image,Elimina immagine
"Delete package ""${name}""?","Eliminare il pacco ""${name}""?"
Delete this,Elimina questo
Delete this widget? This will be saved as a pending change you can publish or discard.,Eliminare questo widget? Verrà salvato come modifica in sospeso che puoi pubblicare o scartare.
Delete widget?,Eliminare il widget?
Delete zone,Elimina zona
"Delete zone ""${name}""?","Eliminare la zona ""${name}""?"
Deleted ${name},${name} eliminato
Deleting this,Eliminando questo
Deleting this container will also hide,L'eliminazione di questo contenitore nasconderà anche
Description is required,La descrizione è obbligatoria
Desktop,Desktop
Detach,Scollega
Detach ${name}?,Scollegare ${name}?
Disable ${count} pages,Disabilita ${count} pagine
Disable ${count} widgets,Disabilita ${count} widget
Disabled products will not be visible in the store and cannot be purchased.,I prodotti disabilitati non saranno visibili nel negozio e non potranno essere acquistati.
Discard changes on this page only,Annulla le modifiche solo su questa pagina
Discard everything,Annulla tutto
Discard everything in this draft,Annulla tutto in questa bozza
Discard failed,Annullamento non riuscito
Discard pending changes?,Annullare le modifiche in sospeso?
Discard this page,Annulla questa pagina
Discarding…,Annullamento in corso…
Discount Type,Tipo di sconto
Discount amount,Importo dello sconto
Discount amount is required,L'importo dello sconto è obbligatorio
Discount type is required,Il tipo di sconto è obbligatorio
Dislay Name,Nome visualizzato
Display Name,Nome visualizzato
Draft,Bozza
Draft — not scheduled,Bozza — non pianificata
Drag to resize,Trascina per ridimensionare
"Each row places this widget on one page, in one area, with its own sort order. Lower numbers appear first.","Ogni riga colloca questo widget su una pagina, in un'area, con il proprio ordine. I numeri più bassi appaiono per primi."
Edit ${name},Modifica ${name}
Edit Shipping Zone,Modifica zona di spedizione
Edit Tax Rate,Modifica aliquota fiscale
Edit Variant,Modifica variante
Edit Zone,Modifica zona
Edit against the live storefront. Publish immediately or save as a rollout plan.,Modifica sul negozio live. Pubblica immediatamente o salva come piano di rilascio.
Edit rollout schedule,Modifica pianificazione del rilascio
Editable routes,Percorsi modificabili
Editing ${coupon},Modifica di ${coupon}
Editing ${fullName},Modifica di ${fullName}
Editing widget ${name},Modifica del widget ${name}
Edits to a shared widget update every route it appears on.,Le modifiche a un widget condiviso aggiornano ogni percorso in cui appare.
Empty package weight,Peso del pacco vuoto
Empty weight,Peso a vuoto
Enable ${count} pages,Abilita ${count} pagine
Enable ${count} widgets,Abilita ${count} widget
Enable this page to make it visible on the frontend.,Abilita questa pagina per renderla visibile sul frontend.
Enable?,Abilitare?
End,Fine
End Date,Data di fine
End date,Data di fine
End time is invalid.,L'orario di fine non è valido.
End time must be after start time.,L'orario di fine deve essere successivo all'orario di inizio.
Enter Category Name,Inserisci il nome della categoria
Enter Collection Name,Inserisci il nome della collezione
Enter Meta Description,Inserisci la Meta description
Enter Meta Title,Inserisci il Meta title
Enter Meta description,Inserisci la Meta description
Enter Meta title,Inserisci il Meta title
Enter SKU,Inserisci lo SKU
Enter URL Key,Inserisci la chiave URL
Enter URL key,Inserisci la chiave URL
Enter customer emails,Inserisci le email dei clienti
Enter description,Inserisci la descrizione
Enter group name,Inserisci il nome del gruppo
Enter meta description,Inserisci la meta description
Enter meta title,Inserisci il meta title
Enter page name,Inserisci il nome della pagina
Enter price,Inserisci il prezzo
Enter product name,Inserisci il nome del prodotto
Enter purchased amount,Inserisci l'importo acquistato
Enter quantity,Inserisci la quantità
Enter tax class name,Inserisci il nome della classe fiscale
Enter the quantity,Inserisci la quantità
Enter weight,Inserisci il peso
Environment,Ambiente
Error loading countries,Errore nel caricamento dei paesi
Error loading methods,Errore nel caricamento dei metodi
Error loading packages,Errore nel caricamento dei pacchi
Error loading providers,Errore nel caricamento dei fornitori
Error loading zones,Errore nel caricamento delle zone
EverShop · Back to page builder,EverShop · Torna al page builder
Every page rolls back to the rollout’s saved state.,Ogni pagina torna allo stato salvato del rilascio.
Every page rolls back to what the rollout had saved.,Ogni pagina torna a quanto salvato dal rilascio.
Existing rollout plan: ${plan},Piano di rilascio esistente: ${plan}
Expand,Espandi
Expand left rail,Espandi la barra laterale sinistra
"Extra languages shoppers can switch to, on top of the default. The default language is always available — you don't add it here.","Lingue aggiuntive a cui gli acquirenti possono passare, oltre a quella predefinita. La lingua predefinita è sempre disponibile — non va aggiunta qui."
Failed to attach provider,Impossibile collegare il fornitore
Failed to delete ${name},Impossibile eliminare ${name}
Failed to detach ${name},Impossibile scollegare ${name}
Failed to remove rate,Impossibile rimuovere l'aliquota
Failed to remove zone,Impossibile rimuovere la zona
Failed to save change,Impossibile salvare la modifica
Failed to save rate,Impossibile salvare l'aliquota
Failed to save zone,Impossibile salvare la zona
Failed to update rollout schedule,Impossibile aggiornare la pianificazione del rilascio
Fixed discount to entire order,Sconto fisso sull'intero ordine
Fixed discount to specific products,Sconto fisso su prodotti specifici
Flat rate,Tariffa fissa
"Flat rate in cart currency, tax-exclusive.","Tariffa fissa nella valuta del carrello, tasse escluse."
Free shipping?,Spedizione gratuita?
General Information,Informazioni generali
Give Feedback,Lascia un feedback
Global,Globale
Globals,Globali
Group,Gruppo
Group Name,Nome del gruppo
Group name is required,Il nome del gruppo è obbligatorio
Groups,Gruppi
Half-open interval — a cart at exactly Max is excluded (the next tier's Min owns that point).,Intervallo semiaperto — un carrello esattamente al valore Max è escluso (il valore Min del livello successivo possiede quel punto).
Has conflicts,Presenta conflitti
Heads up — ,Attenzione — 
Height,Altezza
Height is required (0 for envelopes),L'altezza è obbligatoria (0 per le buste)
Height must be 0 or greater,L'altezza deve essere 0 o superiore
Hide global areas,Nascondi le aree globali
Higest tax rate based on cart items,Aliquota fiscale più alta in base agli articoli del carrello
Highlight global areas on canvas,Evidenzia le aree globali sull'area di lavoro
Image,Immagine
Include In Menu,Includi nel menu
Include in Store Menu?,Includere nel menu del negozio?
Increase,Aumenta
Insert image,Inserisci immagine
Integer,Intero
Invalid folder name,Nome della cartella non valido
Invalid start,Inizio non valido
Invalid window,Intervallo non valido
Inventory,Inventario
Is compound,È composta
Its rates will be removed too. This cannot be undone.,Anche le sue aliquote verranno rimosse. Questa operazione non può essere annullata.
Languages,Lingue
Layers,Livelli
Layout,Layout
Leave,Esci
Leave a country's list empty to cover the whole country. Add provinces to restrict shipping to specific regions.,Lascia vuoto l'elenco di un paese per coprire l'intero paese. Aggiungi province per limitare la spedizione a regioni specifiche.
Leaving now may drop the most recent edits that haven’t reached the server yet.,Uscire adesso potrebbe far perdere le modifiche più recenti non ancora arrivate al server.
Length,Lunghezza
Length is required,La lunghezza è obbligatoria
Length must be greater than 0,La lunghezza deve essere maggiore di 0
Live,Live
Loading...,Caricamento...
Long text,Testo lungo
Lower values appear first.,I valori più bassi appaiono per primi.
Manage Stock,Gestisci scorte
Manage general information about the collection.,Gestisci le informazioni generali sulla collezione.
Manage product images and gallery. Drag and drop to reorder images.,Gestisci le immagini del prodotto e la galleria. Trascina e rilascia per riordinare le immagini.
"Manage shipping integrations and their methods (Core, USPS, FedEx, …)","Gestisci le integrazioni di spedizione e i loro metodi (Core, USPS, FedEx, …)"
Manage tax classes and tax rates for different regions.,Gestisci le classi e le aliquote fiscali per le diverse regioni.
Manage the SEO settings of the category.,Gestisci le impostazioni SEO della categoria.
Manage the SEO settings.,Gestisci le impostazioni SEO.
Manage the attributes.,Gestisci gli attributi.
Manage the collections associated with this product.,Gestisci le collezioni associate a questo prodotto.
Manage the general information of the category.,Gestisci le informazioni generali della categoria.
Manage the general information of the product.,Gestisci le informazioni generali del prodotto.
Manage the inventory settings of the product.,Gestisci le impostazioni di inventario del prodotto.
Manage the products assigned to this category.,Gestisci i prodotti assegnati a questa categoria.
Manage the products assigned to this collection.,Gestisci i prodotti assegnati a questa collezione.
Manage the shipping settings of the product.,Gestisci le impostazioni di spedizione del prodotto.
Manage the status settings of the category.,Gestisci le impostazioni di stato della categoria.
Manage the variant group of the product.,Gestisci il gruppo di varianti del prodotto.
Marketing,Marketing
Max ${unit},Max ${unit}
Max is required,Il valore massimo è obbligatorio
Maximum,Massimo
Maximum amount is ${value} ${currency},L'importo massimo è ${value} ${currency}
Maximum quantity is required,La quantità massima è obbligatoria
Maximum quantity must be greater than or equal to 0,La quantità massima deve essere maggiore o uguale a 0
Media,Media
Meta Description,Meta Description
Meta Title,Meta Title
Meta Title is required,Il Meta Title è obbligatorio
Meta description,Meta description
Meta description is required,La Meta description è obbligatoria
Meta title,Meta title
Meta title is required,Il Meta title è obbligatorio
Method,Metodo
Method created,Metodo creato
Method name,Nome metodo
Method name is required,Il nome del metodo è obbligatorio
Method updated,Metodo aggiornato
Methods →,Metodi →
Min ${unit},Min ${unit}
Min Price,Prezzo min
Min Weight,Peso min
Min is required,Il valore minimo è obbligatorio
Min price is required,Il prezzo minimo è obbligatorio
Min weight is required,Il peso minimo è obbligatorio
Minimum purchase amount,Importo minimo d'acquisto
Minimum purchase qty,Qtà minima d'acquisto
Minimum purchase quantity,Quantità minima d'acquisto
Minimum purchased amount. This only applies to registered customers.,Importo minimo acquistato. Si applica solo ai clienti registrati.
Minimum quantity is required,La quantità minima è obbligatoria
Missing name,Nome mancante
Money,Denaro
Name is required.,Il nome è obbligatorio.
Navigation,Navigazione
New Attribute,Nuovo attributo
New Category,Nuova categoria
New Collection,Nuova collezione
New Coupon,Nuovo coupon
New Page,Nuova pagina
New Variant,Nuova variante
New coupon,Nuovo coupon
New rate,Nuova tariffa
No collections,Nessuna collezione
No editable routes.,Nessuna route modificabile.
No file selected,Nessun file selezionato
No methods yet — add one to start offering Core shipping.,Ancora nessun metodo — aggiungine uno per iniziare a offrire la spedizione Core.
No packages yet. Create one — shippable products require a package.,Ancora nessun pacco. Creane uno — i prodotti spedibili richiedono un pacco.
No product to display.,Nessun prodotto da mostrare.
"No providers attached. Click ""Attach Provider"" to add one.","Nessun provider collegato. Fai clic su ""Collega provider"" per aggiungerne uno."
"No rates yet — click ""Add Rate"" to offer this method in a zone.","Ancora nessuna tariffa — fai clic su ""Aggiungi tariffa"" per offrire questo metodo in una zona."
"No results for ""${keyword}""","Nessun risultato per ""${keyword}"""
No routes have opted into page-builder editing yet.,Nessuna route ha ancora abilitato la modifica con il page builder.
No shipping required?,Nessuna spedizione richiesta?
No subdivisions available — whole country is covered.,Nessuna suddivisione disponibile — è coperto l'intero paese.
No widgets available.,Nessun widget disponibile.
"No widgets match ""${query}"".","Nessun widget corrisponde a ""${query}""."
No widgets on this route yet.,Ancora nessun widget su questa route.
No zones,Nessuna zona
No zones found,Nessuna zona trovata
Not visible individually,Non visibile singolarmente
Nothing to publish,Niente da pubblicare
Nothing to redo on this page,Niente da ripetere in questa pagina
Nothing to undo on this page,Niente da annullare in questa pagina
Number,Numero
Option text is required,Il testo dell'opzione è obbligatorio
Optional. Added to the shipping weight for quotes and labels.,Facoltativo. Aggiunto al peso di spedizione per preventivi ed etichette.
Order Number,Numero ordine
Order conditions,Condizioni dell'ordine
Orders (${count}),Ordini (${count})
Other,Altro
Other pages keep their pending changes.,Le altre pagine mantengono le loro modifiche in sospeso.
Overlaps with existing rollout: ${plans}.,Si sovrappone a un rollout esistente: ${plans}.
Overlaps with existing rollouts: ${plans}.,Si sovrappone a rollout esistenti: ${plans}.
Package,Pacco
Package created,Pacco creato
Package deleted,Pacco eliminato
Package saved,Pacco salvato
Packages,Pacchi
Page Name,Nome pagina
Page Not Found,Pagina non trovata
Page builder,Page builder
Page builder canvas,Area di lavoro del page builder
Page created successfully!,Pagina creata con successo!
Page is required,La pagina è obbligatoria
Page name is required,Il nome della pagina è obbligatorio
Pages,Pagine
Parent category,Categoria principale
Payment Setting,Impostazione pagamenti
Payment mode,Modalità di pagamento
Payment setting saved,Impostazione pagamenti salvata
Paypal Payment,Pagamento PayPal
Pending start time,Orario di inizio in sospeso
Percentage discount to entire order,Sconto percentuale sull'intero ordine
Percentage discount to specific products,Sconto percentuale su prodotti specifici
Phone,Telefono
Pick a start time to schedule this rollout.,Scegli un orario di inizio per programmare questo rollout.
Pick a widget below to insert as a child.,Scegli un widget qui sotto da inserire come elemento figlio.
Pick up where you left off — ${count} pending changes,Riprendi da dove avevi interrotto — ${count} modifiche in sospeso
Pick up where you left off — 1 pending change,Riprendi da dove avevi interrotto — 1 modifica in sospeso
Pin drawer open,Fissa il pannello aperto
Pin — keep drawer open across canvas clicks,Fissa — mantieni il pannello aperto durante i clic sull'area di lavoro
Placed on: ${routes},Posizionato su: ${routes}
Placements,Posizionamenti
Postal Code,CAP
"Postcode (e.g., ""90210""). Empty for all postcodes.","CAP (es. ""90210""). Vuoto per tutti i CAP."
Preselected for new products. Exactly one package is the default.,Preselezionato per i nuovi prodotti. Esattamente un pacco è quello predefinito.
Preview,Anteprima
Price-based tiers,Fasce basate sul prezzo
Priority,Priorità
Priority is required,La priorità è obbligatoria
Product Name,Nome prodotto
Product Status,Stato prodotto
Product created successfully,Prodotto creato con successo
Product updated successfully,Prodotto aggiornato con successo
Products (${count}),Prodotti (${count})
Promotion,Promozione
Proportional allocation based on cart items,Allocazione proporzionale in base agli articoli del carrello
Provide the SEO details for the CMS page.,Fornisci i dettagli SEO per la pagina CMS.
Provide the basic information for the CMS page.,Fornisci le informazioni di base per la pagina CMS.
Provider,Provider
Province Restrictions,Restrizioni per provincia
"Province code (e.g., ""CA""). Use ""*"" for all provinces.","Codice provincia (es. ""CA""). Usa ""*"" per tutte le province."
Provinces,Province
Provinces is required,Le province sono obbligatorie
Provinces:,Province:
Publish failed,Pubblicazione non riuscita
Publish now,Pubblica ora
Publish to the live storefront,Pubblica sullo storefront live
Publishable Key,Publishable Key
Publishing…,Pubblicazione in corso…
Qty is required,La qtà è obbligatoria
Quick links,Collegamenti rapidi
Rate,Tariffa
Rate added,Tariffa aggiunta
Rate is required,La tariffa è obbligatoria
Rate removed,Tariffa rimossa
Rate status,Stato tariffa
Rate updated,Tariffa aggiornata
Redo (⇧⌘Z) — re-applies the last undone edit on this page,Ripeti (⇧⌘Z) — riapplica l'ultima modifica annullata in questa pagina
Redo last undone change on this page,Ripeti l'ultima modifica annullata in questa pagina
Reference,Riferimento
Refund,Rimborso
Refund amount,Importo del rimborso
Remove Zone,Rimuovi zona
Remove placement,Rimuovi posizionamento
Remove rate,Rimuovi tariffa
Remove this rate?,Rimuovere questa tariffa?
Removed,Rimosso
Resize settings drawer,Ridimensiona pannello impostazioni
"Results for ""${keyword}""","Risultati per ""${keyword}"""
Revert all pages to saved state,Ripristina tutte le pagine allo stato salvato
Revert everything,Ripristina tutto
Revert this page,Ripristina questa pagina
Revert this page only,Ripristina solo questa pagina
Revert to saved state?,Ripristinare allo stato salvato?
Reverting…,Ripristino in corso…
Rich text,Testo formattato
Roll back the changes you have made since this rollout was last saved. The live storefront is unaffected — it already reflects the saved state.,Annulla le modifiche apportate dall'ultimo salvataggio di questo rollout. Lo storefront live non viene interessato — riflette già lo stato salvato.
SEO,SEO
SEO Information,Informazioni SEO
SKU is required,Lo SKU è obbligatorio
Sale,Saldi
Sandbox,Sandbox
Save Settings,Salva impostazioni
Save as rollout plan,Salva come piano di rollout
Save as rollout plan and leave,Salva come piano di rollout ed esci
Save changes,Salva modifiche
Save failed,Salvataggio non riuscito
Save method,Salva metodo
Save rate,Salva tariffa
Saving…,Salvataggio in corso…
Schedule failed,Pianificazione non riuscita
Scheduled,Pianificato
Search engine optimize,Ottimizzazione per i motori di ricerca
Search widgets,Cerca widget
Secret Key,Chiave segreta
Select Category,Seleziona categoria
Select Parent Category,Seleziona categoria principale
Select Products by SKU,Seleziona prodotti per SKU
Select a provider first,Seleziona prima un provider
Select a provider…,Seleziona un provider…
Select an option,Seleziona un'opzione
Select category,Seleziona categoria
Select countries,Seleziona paesi
Select operator,Seleziona operatore
Select options,Seleziona opzioni
Select page,Seleziona pagina
Select products to add to this collection.,Seleziona i prodotti da aggiungere a questa collezione.
Select the list of attribute,Seleziona l'elenco degli attributi
Select this option if the product is a digital product or service that does not require shipping.,Seleziona questa opzione se il prodotto è un prodotto o servizio digitale che non richiede spedizione.
Set a start time to schedule.,Imposta un'ora di inizio per la pianificazione.
Set the status and visibility of the product.,Imposta lo stato e la visibilità del prodotto.
Share,Condividi
Shipping Cost,Costo di spedizione
Shipping Providers,Provider di spedizione
Shipping address,Indirizzo di spedizione
Shipping cost is required,Il costo di spedizione è obbligatorio
Shipping provider setting saved,Impostazione del provider di spedizione salvata
Shipping tax class,Classe fiscale di spedizione
Short text,Testo breve
Show global areas,Mostra aree globali
Show on routes,Mostra sui percorsi
Show products?,Mostrare i prodotti?
Show this widget on every page,Mostra questo widget su ogni pagina
Size (L × W × H),Dimensioni (L × P × A)
Sort,Ordina
Sort order is required,L'ordine di ordinamento è obbligatorio
Sort order must be a positive number,L'ordine di ordinamento deve essere un numero positivo
Start,Inizio
Start a page-builder session,Avvia una sessione del page builder
Start date,Data di inizio
Start new changeset,Avvia nuovo changeset
Start time is invalid.,L'ora di inizio non è valida.
State Date,Data di stato
Status is required,Lo stato è obbligatorio
Stay,Rimani
Stay on this page,Rimani su questa pagina
Stock Availability,Disponibilità in magazzino
Stop highlighting global areas,Interrompi evidenziazione aree globali
Store Address,Indirizzo del negozio
Store Description,Descrizione del negozio
Store Email,Email del negozio
Store Name,Nome del negozio
Store Phone Number,Numero di telefono del negozio
Store Setting,Impostazione del negozio
Store Settings,Impostazioni del negozio
Store address,Indirizzo del negozio
Storefront,Storefront
Stripe Payment,Pagamento Stripe
Tablet,Tablet
Take our survey,Partecipa al nostro sondaggio
Target Products,Prodotti target
Tax Class,Classe fiscale
Tax calculation configuration,Configurazione del calcolo delle imposte
Tax class name,Nome della classe fiscale
Tax class name is required,Il nome della classe fiscale è obbligatorio
Tax classes,Classi fiscali
Tax rate has been saved successfully!,L'aliquota fiscale è stata salvata con successo!
Tax setting has been saved successfully!,L'impostazione fiscale è stata salvata con successo!
The box or envelope this product ships in. Applies to all variants of this product.,La scatola o la busta con cui questo prodotto viene spedito. Si applica a tutte le varianti di questo prodotto.
The boxes and envelopes you ship with. Every shippable product references one — its dimensions and empty weight drive shipping quotes and labels.,Le scatole e le buste con cui spedisci. Ogni prodotto spedibile ne fa riferimento a una — le sue dimensioni e il peso a vuoto determinano i preventivi e le etichette di spedizione.
The conditions related to the customer for the coupon to be applied.,Le condizioni relative al cliente affinché il coupon venga applicato.
The conditions related to the order for the coupon to be applied.,Le condizioni relative all'ordine affinché il coupon venga applicato.
The default package cannot be deleted,Il pacchetto predefinito non può essere eliminato
The draft holds ${count} saved changes you can publish later.,La bozza contiene ${count} modifiche salvate che puoi pubblicare in seguito.
The draft holds 1 saved change you can publish later.,La bozza contiene 1 modifica salvata che puoi pubblicare in seguito.
The draft is deleted.,La bozza è stata eliminata.
The draft itself is deleted.,La bozza stessa è stata eliminata.
The general information about the coupon.,Le informazioni generali sul coupon.
"The language of the admin panel, independent of the storefront.","La lingua del pannello di amministrazione, indipendente dallo storefront."
The method will no longer apply to this zone.,Il metodo non si applicherà più a questa zona.
The minimum quantity of items required in the order to qualify for this coupon.,La quantità minima di articoli richiesta nell'ordine per beneficiare di questo coupon.
The minimum total amount required for the order to qualify for this coupon.,L'importo totale minimo richiesto affinché l'ordine possa beneficiare di questo coupon.
The rollout plan,Il piano di rollout
The storefront's primary language. Pages in this language have no URL prefix.,La lingua principale dello storefront. Le pagine in questa lingua non hanno prefisso URL.
The type of discount applied by the coupon.,Il tipo di sconto applicato dal coupon.
The zone this rate applies to.,La zona a cui si applica questa tariffa.
"There is no ""Select"" attribute available.","Non è disponibile alcun attributo ""Select""."
There is no attribute to display,Non c'è alcun attributo da visualizzare
There is no category to display,Non c'è alcuna categoria da visualizzare
There is no collections to display,Non c'è alcuna collezione da visualizzare
There is no coupon to display,Non c'è alcun coupon da visualizzare
