Welcome Back!,फेरि स्वागत छ!
Please sign in to your account ,कृपया आफ्नो खातामा साइन इन गर्नुहोस् 
Join us for exclusive offers and order tracking,विशेष अफर र अर्डर ट्र्याकिङका लागि हामीसँग जोडिनुहोस्
Sign Up,साइन अप
Signing Up...,साइन अप गर्दै...
Signing In...,साइन इन गर्दै...
Recent Orders,भर्खरका अर्डरहरू
Address Book,ठेगाना पुस्तिका
You have no addresses saved,तपाईंसँग कुनै ठेगाना सुरक्षित गरिएको छैन
Add new address,नयाँ ठेगाना थप्नुहोस्
Address 2,ठेगाना २
Set as default,पूर्वनिर्धारित रूपमा सेट गर्नुहोस्
Save,सुरक्षित गर्नुहोस्
Edit,सम्पादन गर्नुहोस्
Delete,मेटाउनुहोस्
Edit Address,ठेगाना सम्पादन गर्नुहोस्
Product Filters,उत्पादन फिल्टरहरू
No products found,कुनै उत्पादन फेला परेन
${count} Products,${count} उत्पादनहरू
Default,पूर्वनिर्धारित
Name,नाम
Contact Information,सम्पर्क जानकारी
Your Cart,तपाईंको कार्ट
Your cart is empty,तपाईंको कार्ट खाली छ
Subtotal,उप-जम्मा
View Cart (${totalQty}),कार्ट हेर्नुहोस् (${totalQty})
Shopping Cart,किनमेल कार्ट
Logged in as,यसरूपमा लग इन गरिएको
Payment Information,भुक्तानी जानकारी
Same as shipping address,ढुवानी ठेगाना जस्तै
Use a different billing address,फरक बिलिङ ठेगाना प्रयोग गर्नुहोस्
Pick a payment method,भुक्तानी विधि छान्नुहोस्
Select a payment method,भुक्तानी विधि चयन गर्नुहोस्
Complete Order,अर्डर पूरा गर्नुहोस्
Add to Cart,कार्टमा थप्नुहोस्
Search,खोज्नुहोस्
${count} orders,${count} अर्डरहरू
${field} is required,${field} आवश्यक छ
${pct}% of orders cancelled,${pct}% अर्डरहरू रद्द गरियो
${pct}% of orders completed,${pct}% अर्डरहरू पूरा भयो
${qty} sold,${qty} बिक्री भयो
${total} lifetime sale,${total} आजीवन बिक्री
(Guest Checkout),(अतिथि चेकआउट)
(list),(सूची)
(optional),(वैकल्पिक)
A coupon is already applied,एउटा कुपन पहिल्यै लागू गरिएको छ
A group needs at least one sub-field,समूहलाई कम्तीमा एउटा उप-फिल्ड आवश्यक हुन्छ
A list of best selling products,उत्कृष्ट बिक्री हुने उत्पादनहरूको सूची
A list of customers who have placed the most orders,सबैभन्दा धेरै अर्डर गर्ने ग्राहकहरूको सूची
A regular expression the value must match.,मान मिल्नुपर्ने रेगुलर एक्सप्रेसन।
Accepted values,स्वीकृत मानहरू
Active,सक्रिय
Active Filters,सक्रिय फिल्टरहरू
Add address API not available,ठेगाना थप्ने API उपलब्ध छैन
Add custom field,कस्टम फिल्ड थप्नुहोस्
Add field,फिल्ड थप्नुहोस्
Add item,वस्तु थप्नुहोस्
Add option,विकल्प थप्नुहोस्
Add product,उत्पादन थप्नुहोस्
Add some items to get started,सुरु गर्न केही वस्तुहरू थप्नुहोस्
Add sub-field,उप-फिल्ड थप्नुहोस्
Adding...,थप्दै...
Address has been deleted successfully!,ठेगाना सफलतापूर्वक मेटाइयो!
Address has been saved successfully!,ठेगाना सफलतापूर्वक सुरक्षित गरियो!
Address has been updated successfully!,ठेगाना सफलतापूर्वक अद्यावधिक गरियो!
Address is required,ठेगाना आवश्यक छ
Adds target=_blank rel=noopener noreferrer.,target=_blank rel=noopener noreferrer थप्छ।
All items fulfilled,सबै वस्तुहरू पूरा भए
All orders,सबै अर्डरहरू
All your past orders,तपाईंका सबै विगतका अर्डरहरू
Allow multiple,बहुविध अनुमति दिनुहोस्
An unexpected error occurred. Please try again.,अप्रत्याशित त्रुटि भयो। कृपया फेरि प्रयास गर्नुहोस्।
Apply Filters,फिल्टरहरू लागू गर्नुहोस्
Are you sure you want to mark the selected orders as shipped?,के तपाईं चयन गरिएका अर्डरहरूलाई ढुवानी गरिएको रूपमा चिन्ह लगाउन निश्चित हुनुहुन्छ?
Are you sure?,के तपाईं निश्चित हुनुहुन्छ?
Attribute Group,विशेषता समूह
Attribute code is used in API and must be unique,विशेषता कोड API मा प्रयोग हुन्छ र यो अद्वितीय हुनुपर्छ
Attribute options,विशेषता विकल्पहरू
Attributes,विशेषताहरू
Available shipping methods will appear once you provide your address details,तपाईंले आफ्नो ठेगाना विवरण प्रदान गरेपछि उपलब्ध ढुवानी विधिहरू देखिनेछन्
Best Sellers,उत्कृष्ट बिक्रेताहरू
Best customers,उत्कृष्ट ग्राहकहरू
Billing address,बिलिङ ठेगाना
Black,कालो
Buy qty,किन्ने परिमाण
Buy qty is required,किन्ने परिमाण आवश्यक छ
Can not process payment. Please try again later.,भुक्तानी प्रक्रिया गर्न सकिएन। कृपया पछि फेरि प्रयास गर्नुहोस्।
Can't be undone,पूर्ववत् गर्न सकिँदैन
Cancel,रद्द गर्नुहोस्
Cancel Order,अर्डर रद्द गर्नुहोस्
Cancel shipment,ढुवानी रद्द गर्नुहोस्
Cancel this shipment?,यो ढुवानी रद्द गर्ने?
Canceled,रद्द गरियो
Cancelled,रद्द गरियो
Cannot add billing address: cart not initialized,बिलिङ ठेगाना थप्न सकिँदैन: कार्ट प्रारम्भ गरिएको छैन
Cannot add contact info: cart not initialized,सम्पर्क जानकारी थप्न सकिँदैन: कार्ट प्रारम्भ गरिएको छैन
Cannot add payment method: cart not initialized,भुक्तानी विधि थप्न सकिँदैन: कार्ट प्रारम्भ गरिएको छैन
Cannot add shipping address: cart not initialized,ढुवानी ठेगाना थप्न सकिँदैन: कार्ट प्रारम्भ गरिएको छैन
Cannot add shipping method: cart not initialized,ढुवानी विधि थप्न सकिँदैन: कार्ट प्रारम्भ गरिएको छैन
Cannot add shipping method: providerCode is required,ढुवानी विधि थप्न सकिँदैन: providerCode आवश्यक छ
Cannot apply coupon: cart not initialized,कुपन लागू गर्न सकिँदैन: कार्ट प्रारम्भ गरिएको छैन
Cannot remove coupon: cart not initialized,कुपन हटाउन सकिँदैन: कार्ट प्रारम्भ गरिएको छैन
Carrier,क्यारियर
Carrier is required,क्यारियर आवश्यक छ
Cart ID is required to checkout,चेकआउट गर्न कार्ट ID आवश्यक छ
Cart is not initialized,कार्ट प्रारम्भ गरिएको छैन
Catalog,क्याटलग
Categories,वर्गहरू
Category,वर्ग
Charcoal,चारकोल
Checkout success,चेकआउट सफल
Choose Product SKU,उत्पादन SKU छान्नुहोस्
Choose SKU,SKU छान्नुहोस्
City is required,सहर आवश्यक छ
Clear All,सबै हटाउनुहोस्
Clear Filters,फिल्टरहरू हटाउनुहोस्
Clear all,सबै हटाउनुहोस्
Clear categories,वर्गहरू हटाउनुहोस्
Close fullscreen view,फुलस्क्रिन दृश्य बन्द गर्नुहोस्
Code,कोड
Collections,सङ्ग्रहहरू
Comma-separated; renders the value as a dropdown.,अल्पविरामले छुट्याइएको; मानलाई ड्रपडाउनको रूपमा देखाउँछ।
Completed,पूरा भयो
Configurable,कन्फिगरेबल
Configure tax classes and tax rates,कर वर्गहरू र कर दरहरू कन्फिगर गर्नुहोस्
Confirm,पुष्टि गर्नुहोस्
Contact for pricing,मूल्यका लागि सम्पर्क गर्नुहोस्
Conveniently pay with cash at your doorstep when your order is delivered.,तपाईंको अर्डर डेलिभरी हुँदा सजिलैसँग आफ्नो ढोकामै नगदमा भुक्तानी गर्नुहोस्।
Coupon applied successfully!,कुपन सफलतापूर्वक लागू गरियो!
Coupon code is required,कुपन कोड आवश्यक छ
Coupon does not match,कुपन मिलेन
Coupon removed successfully!,कुपन सफलतापूर्वक हटाइयो!
Cream,क्रिम
Create,सिर्जना गर्नुहोस्
Create a new attribute,नयाँ विशेषता सिर्जना गर्नुहोस्
Create a new group,नयाँ समूह सिर्जना गर्नुहोस्
Create a new package,नयाँ प्याकेज सिर्जना गर्नुहोस्
Create shipment,ढुवानी सिर्जना गर्नुहोस्
Created,सिर्जना गरियो
Custom URL,कस्टम URL
Custom field created,कस्टम फिल्ड सिर्जना गरियो
Custom field updated,कस्टम फिल्ड अद्यावधिक गरियो
Custom fields,कस्टम फिल्डहरू
Custom fields (JSON),कस्टम फिल्डहरू (JSON)
Custom fields saved,कस्टम फिल्डहरू सुरक्षित गरियो
Customer Information,ग्राहक जानकारी
Customer does not have any order yet.,ग्राहकसँग अहिलेसम्म कुनै अर्डर छैन।
Customer notes,ग्राहक टिप्पणीहरू
Daily,दैनिक
Date and time must be after ${min},मिति र समय ${min} पछिको हुनुपर्छ
Date and time must be before ${max},मिति र समय ${max} भन्दा अगाडि हुनुपर्छ
Date must be after ${min},मिति ${min} भन्दा पछाडि हुनुपर्छ
Date must be before ${max},मिति ${max} भन्दा अगाडि हुनुपर्छ
Delete ${count} coupons,${count} कुपन मेटाउनुहोस्
Delete ${count} products,${count} उत्पादन मेटाउनुहोस्
Delete address API not available,ठेगाना मेटाउने API उपलब्ध छैन
Delivered,डेलिभर भयो
Description,विवरण
Disable,निष्क्रिय गर्नुहोस्
Disable ${count} coupons,${count} कुपन निष्क्रिय गर्नुहोस्
Disable ${count} customers,${count} ग्राहक निष्क्रिय गर्नुहोस्
Disable ${count} products,${count} उत्पादन निष्क्रिय गर्नुहोस्
Disabled,निष्क्रिय
Discount percent,छुटको प्रतिशत
Discount percent is required,छुटको प्रतिशत आवश्यक छ
Display on Frontend?,फ्रन्टएन्डमा देखाउने?
Displays the mobile sidebar.,मोबाइल साइडबार देखाउँछ।
Done,भयो
Drag to reorder,क्रम मिलाउन तान्नुहोस्
Duplicate,नक्कल गर्नुहोस्
Edit custom field,कस्टम फिल्ड सम्पादन गर्नुहोस्
Edit field settings,फिल्ड सेटिङ सम्पादन गर्नुहोस्
Edit package,प्याकेज सम्पादन गर्नुहोस्
Edit tracking info,ट्र्याकिङ जानकारी सम्पादन गर्नुहोस्
Editing ${name},${name} सम्पादन गर्दै
Email a shipment confirmation,ढुवानी पुष्टिकरण इमेल गर्नुहोस्
Email a shipment confirmation with tracking details,ट्र्याकिङ विवरणसहित ढुवानी पुष्टिकरण इमेल गर्नुहोस्
Email is required,इमेल आवश्यक छ
Enable,सक्रिय गर्नुहोस्
Enable ${count} coupons,${count} कुपन सक्रिय गर्नुहोस्
Enable ${count} customers,${count} ग्राहक सक्रिय गर्नुहोस्
Enable ${count} products,${count} उत्पादन सक्रिय गर्नुहोस्
Enabled,सक्रिय
Enter attribute code,एट्रिब्युट कोड लेख्नुहोस्
Enter attribute name,एट्रिब्युट नाम लेख्नुहोस्
Enter text,पाठ लेख्नुहोस्
Enter value for ${attribute},${attribute} को लागि मान लेख्नुहोस्
Enter your email,आफ्नो इमेल लेख्नुहोस्
Enter your new password,आफ्नो नयाँ पासवर्ड लेख्नुहोस्
Enter your password,आफ्नो पासवर्ड लेख्नुहोस्
Error,त्रुटि
Failed to add address,ठेगाना थप्न असफल
Failed to add billing address,बिलिङ ठेगाना थप्न असफल
Failed to add billing address.,बिलिङ ठेगाना थप्न असफल।
Failed to add contact info,सम्पर्क जानकारी थप्न असफल
Failed to add contact info.,सम्पर्क जानकारी थप्न असफल।
Failed to add item to cart,कार्टमा वस्तु थप्न असफल
Failed to add payment method,भुक्तानी विधि थप्न असफल
Failed to add payment method.,भुक्तानी विधि थप्न असफल।
Failed to add product to cart,कार्टमा उत्पादन थप्न असफल
Failed to add shipping address,ढुवानी ठेगाना थप्न असफल
Failed to add shipping address.,ढुवानी ठेगाना थप्न असफल।
Failed to add shipping method,ढुवानी विधि थप्न असफल
Failed to add shipping method.,ढुवानी विधि थप्न असफल।
Failed to apply coupon,कुपन लागू गर्न असफल
Failed to cancel shipment,ढुवानी रद्द गर्न असफल
Failed to checkout,चेकआउट गर्न असफल
Failed to create field,फिल्ड सिर्जना गर्न असफल
Failed to create shipment,ढुवानी सिर्जना गर्न असफल
Failed to delete address,ठेगाना मेटाउन असफल
Failed to load custom fields,कस्टम फिल्ड लोड गर्न असफल
Failed to mark delivered,डेलिभर भएको चिन्ह लगाउन असफल
Failed to place order,अर्डर गर्न असफल
Failed to place order. Please try again.,अर्डर गर्न असफल। कृपया फेरि प्रयास गर्नुहोस्।
Failed to remove coupon,कुपन हटाउन असफल
Failed to remove coupon.,कुपन हटाउन असफल।
Failed to save custom fields,कस्टम फिल्ड सुरक्षित गर्न असफल
Failed to set shipping method,ढुवानी विधि सेट गर्न असफल
Failed to set shipping note,ढुवानी टिप्पणी सेट गर्न असफल
Failed to update address,ठेगाना अद्यावधिक गर्न असफल
Failed to update field,फिल्ड अद्यावधिक गर्न असफल
Failed to update shipment,ढुवानी अद्यावधिक गर्न असफल
Failed to update tracking info,ट्र्याकिङ जानकारी अद्यावधिक गर्न असफल
Failed to void label,लेबल रद्द गर्न असफल
Failed!,असफल भयो!
Fields applicable to this entity type. Adding a field applies it to all entities of this type.,यो इन्टिटी प्रकारमा लागू हुने फिल्डहरू। फिल्ड थप्दा यो प्रकारका सबै इन्टिटीमा लागू हुन्छ।
File size must be less than ${maxSize},फाइलको आकार ${maxSize} भन्दा कम हुनुपर्छ
Filter Products,उत्पादन फिल्टर गर्नुहोस्
Filters,फिल्टरहरू
First,पहिलो
Free,नि:शुल्क
Free shipping,नि:शुल्क ढुवानी
Free shipping ?,नि:शुल्क ढुवानी ?
Fulfill ${count} orders,${count} अर्डर पूरा गर्नुहोस्
Full Name is required,पूरा नाम आवश्यक छ
Fully shipped,पूर्ण रूपमा ढुवानी भयो
General,सामान्य
Get qty,प्राप्त परिमाण
Get qty is required,प्राप्त परिमाण आवश्यक छ
Ghost,घोस्ट
Go,जानुहोस्
Go to Login,लगइनमा जानुहोस्
Go to next page,अर्को पृष्ठमा जानुहोस्
Go to previous page,अघिल्लो पृष्ठमा जानुहोस्
Hello,नमस्ते
Hide from storefront,स्टोरफ्रन्टबाट लुकाउनुहोस्
ID,ID
In Stock,स्टकमा छ
Inactive,निष्क्रिय
Inclusive of tax ${totalTaxAmount},कर ${totalTaxAmount} सहित
Insert,सम्मिलित गर्नुहोस्
Invalid address,अमान्य ठेगाना
Invalid cart,अमान्य कार्ट
Invalid cart id,अमान्य कार्ट id
Invalid coupon,अमान्य कुपन
Invalid customer,अमान्य ग्राहक
Invalid customer id,अमान्य ग्राहक id
Invalid email or password,अमान्य इमेल वा पासवर्ड
Invalid format,अमान्य ढाँचा
Invalid quantity,अमान्य परिमाण
Is Filterable?,फिल्टर गर्न मिल्ने?
Is Required?,आवश्यक छ?
Item,वस्तु
Items,वस्तुहरू
Items in this shipment will return to the order's unshipped pool. This action cannot be undone.,यो ढुवानीका वस्तुहरू अर्डरको नपठाइएको पूलमा फर्किनेछन्। यो कार्य फिर्ता गर्न सकिँदैन।
Key,की
Key is required,की आवश्यक छ
Label,लेबल
Label voided,लेबल रद्द गरियो
Language,भाषा
Last,अन्तिम
Lifetime Sales,जीवनभरको बिक्री
Light gray,हल्का खैरो
Limit,सीमा
Link,लिङ्क
Loading,लोड हुँदै
Log in,लगइन गर्नुहोस्
Logging in...,लगइन हुँदै...
Logging out...,लगआउट हुँदै...
Login failed,लगइन असफल
Logout failed,लगआउट असफल
Look like you just started. No bestsellers yet.,तपाईं भर्खरै सुरु गर्नुभएको जस्तो देखिन्छ। अहिलेसम्म कुनै बेस्टसेलर छैन।
"Lowercase letters, digits, underscore. Immutable.","साना अक्षर, अंक, अन्डरस्कोर। अपरिवर्तनीय।"
Manage the general information of the attribute.,एट्रिब्युटको सामान्य जानकारी व्यवस्थापन गर्नुहोस्।
Manage the setting of the attribute.,एट्रिब्युटको सेटिङ व्यवस्थापन गर्नुहोस्।
Mark as shipped,ढुवानी भएको चिन्ह लगाउनुहोस्
Mark delivered,डेलिभर भएको चिन्ह लगाउनुहोस्
Mark shipment as delivered?,ढुवानीलाई डेलिभर भएको चिन्ह लगाउने?
Max length,अधिकतम लम्बाइ
Max of Y,Y को अधिकतम
Max of Y is required,Y को अधिकतम आवश्यक छ
Max value,अधिकतम मान
Min length,न्यूनतम लम्बाइ
Min value,न्यूनतम मान
Minimum quantity,न्यूनतम परिमाण
Mint,मिन्ट
Monthly,मासिक
More,थप
More pages,थप पृष्ठहरू
Move down,तल सार्नुहोस्
Move up,माथि सार्नुहोस्
Multiselect,बहुचयन
Must be at least ${n},कम्तीमा ${n} हुनुपर्छ
Must be at least ${n} characters,कम्तीमा ${n} वर्ण हुनुपर्छ
Must be at most ${n},बढीमा ${n} हुनुपर्छ
Must be at most ${n} characters,बढीमा ${n} वर्ण हुनुपर्छ
"Must start with a letter; lowercase letters, digits, underscore only","अक्षरबाट सुरु हुनुपर्छ; साना अक्षर, अङ्क, अन्डरस्कोर मात्र"
Name is required,नाम आवश्यक छ
New Product,नयाँ उत्पादन
New Widget,नयाँ विजेट
New folder,नयाँ फोल्डर
Next,अर्को
Next slide,अर्को स्लाइड
No,होइन
No address data received,कुनै ठेगाना डाटा प्राप्त भएन
"No attribute groups found for query ""${query}""","""${query}"" क्वेरीका लागि कुनै एट्रिब्युट समूह फेला परेन"
No carriers registered,कुनै क्यारियर दर्ता गरिएको छैन
"No categories found for ""${term}""","""${term}"" का लागि कुनै कोटि फेला परेन"
"No categories found for query ""${query}""","""${query}"" क्वेरीका लागि कुनै कोटि फेला परेन"
"No collections found for query ""${query}""","""${query}"" क्वेरीका लागि कुनै सङ्ग्रह फेला परेन"
No coupon to remove,हटाउनका लागि कुनै कुपन छैन
No custom fields yet.,अहिलेसम्म कुनै कस्टम फिल्ड छैन।
No data available,कुनै डाटा उपलब्ध छैन
No free shipping,नि:शुल्क ढुवानी छैन
No limit,कुनै सीमा छैन
No maximum,कुनै अधिकतम छैन
No minimum,कुनै न्यूनतम छैन
No notes from customer,ग्राहकबाट कुनै टिप्पणी छैन
"No options found for ""${code}""","""${code}"" का लागि कुनै विकल्प फेला परेन"
"No products found for query ""${query}""","""${query}"" क्वेरीका लागि कुनै उत्पादन फेला परेन"
No shipments yet — your order is being prepared.,अहिलेसम्म कुनै ढुवानी छैन — तपाईंको अर्डर तयार गरिँदैछ।
No shipping is required for this order,यो अर्डरका लागि कुनै ढुवानी आवश्यक छैन
No shipping methods available,कुनै ढुवानी विधि उपलब्ध छैन
No shipping options are available for your location,तपाईंको स्थानका लागि कुनै ढुवानी विकल्प उपलब्ध छैन
No shipping required,कुनै ढुवानी आवश्यक छैन
No widgets match your search.,तपाईंको खोजसँग कुनै विजेट मेल खाँदैन।
None,कुनै पनि होइन
Not set,सेट गरिएको छैन
Not visible to customers,ग्राहकहरूलाई देखिँदैन
Notify customer,ग्राहकलाई सूचित गर्नुहोस्
Open in new tab,नयाँ ट्याबमा खोल्नुहोस्
Operator,अपरेटर
Option text,विकल्प पाठ
Optional help text shown to admins.,एडमिनहरूलाई देखाइने वैकल्पिक सहायता पाठ।
Order Placed,अर्डर गरियो
Order detail,अर्डर विवरण
Order must contain products matching all conditions below,अर्डरमा तलका सबै सर्तसँग मेल खाने उत्पादनहरू हुनुपर्छ
Order not found,अर्डर फेला परेन
Orders,अर्डरहरू
Others,अन्य
Out of Stock,स्टकमा छैन
Outline,रूपरेखा
Overview of sales data over selected periods,चयन गरिएका अवधिहरूमा बिक्री डाटाको अवलोकन
Overview of total sales and order status over the lifetime of your store,तपाईंको स्टोरको सम्पूर्ण अवधिमा कुल बिक्री र अर्डर स्थितिको अवलोकन
Page,पृष्ठ
Page ${currentPage} of ${totalPages},${totalPages} मध्ये पृष्ठ ${currentPage}
Page not found,पृष्ठ फेला परेन
Password is required,पासवर्ड आवश्यक छ
Password must be at least ${minLength} characters long,पासवर्ड कम्तीमा ${minLength} वर्ण लामो हुनुपर्छ
Paste a URL or a relative path starting with ,एउटा URL वा यसबाट सुरु हुने सापेक्ष पथ टाँस्नुहोस् 
Pattern (regex),ढाँचा (regex)
Pay with PayPal,PayPal बाट भुक्तानी गर्नुहोस्
Pay with Stripe,Stripe बाट भुक्तानी गर्नुहोस्
Payment Status,भुक्तानी स्थिति
Placing Order...,अर्डर गरिँदैछ...
Please enter a coupon code,कृपया कुपन कोड प्रविष्ट गर्नुहोस्
Please enter a valid URL,कृपया मान्य URL प्रविष्ट गर्नुहोस्
Please enter a valid email address,कृपया मान्य इमेल ठेगाना प्रविष्ट गर्नुहोस्
Please enter your email to receive a reset link,रिसेट लिङ्क प्राप्त गर्न कृपया तपाईंको इमेल प्रविष्ट गर्नुहोस्
Please provide billing address to proceed,अगाडि बढ्न कृपया बिलिङ ठेगाना प्रदान गर्नुहोस्
Please select a payment method,कृपया भुक्तानी विधि चयन गर्नुहोस्
Please select a shipping method,कृपया ढुवानी विधि चयन गर्नुहोस्
Please sign in to your account,कृपया तपाईंको खातामा साइन इन गर्नुहोस्
Position,स्थान
Previous,अघिल्लो
Previous slide,अघिल्लो स्लाइड
Price: ${value},मूल्य: ${value}
Primary,प्राथमिक
Print Label,लेबल प्रिन्ट गर्नुहोस्
Processing Payment...,भुक्तानी प्रक्रियामा छ...
Product Description,उत्पादन विवरण
Product is out of stock,उत्पादन स्टकमा छैन
Product name is required,उत्पादनको नाम आवश्यक छ
Product not found,उत्पादन फेला परेन
Product type,उत्पादन प्रकार
Products,उत्पादनहरू
Reason for cancellation,रद्द गर्नुको कारण
Reason is required,कारण आवश्यक छ
Recently placed orders by this customer,यो ग्राहकले हालै गरेका अर्डरहरू
Redirecting to PayPal...,PayPal मा रिडिरेक्ट गरिँदैछ...
Reference type,सन्दर्भ प्रकार
Registration failed,दर्ता असफल भयो
Remove item,वस्तु हटाउनुहोस्
Remove sub-field,उप-फिल्ड हटाउनुहोस्
Required,आवश्यक
Requires at least one item to create a cart,कार्ट सिर्जना गर्न कम्तीमा एउटा वस्तु आवश्यक छ
Reset Password,पासवर्ड रिसेट गर्नुहोस्
Reset Your Password,तपाईंको पासवर्ड रिसेट गर्नुहोस्
Reset password,पासवर्ड रिसेट गर्नुहोस्
Reset your password,तपाईंको पासवर्ड रिसेट गर्नुहोस्
Root,मूल
SKU,SKU
SKU ${sku},SKU ${sku}
SKU must be unique,SKU अद्वितीय हुनुपर्छ
SKU: ${sku},SKU: ${sku}
Sale Statistics,बिक्री तथ्याङ्क
Save custom fields,कस्टम फिल्डहरू सेभ गर्नुहोस्
Save field,फिल्ड सेभ गर्नुहोस्
Saved successfully!,सफलतापूर्वक सेभ भयो!
Search attribute groups,एट्रिब्युट समूह खोज्नुहोस्
Search categories,कोटिहरू खोज्नुहोस्
Search collections,सङ्ग्रहहरू खोज्नुहोस्
"Search for products, orders, and other resources","उत्पादन, अर्डर र अन्य स्रोतहरू खोज्नुहोस्"
Search products,उत्पादनहरू खोज्नुहोस्
Search results for: ${keyword},खोज परिणामहरू: ${keyword}
Search widgets…,विजेटहरू खोज्नुहोस्…
Searching...,खोज्दैछ...
Search…,खोज्नुहोस्…
See all orders →,सबै अर्डरहरू हेर्नुहोस् →
Select,चयन गर्नुहोस्
Select a carrier,एउटा क्यारियर चयन गर्नुहोस्
Select at least one item to ship,ढुवानीका लागि कम्तीमा एउटा वस्तु चयन गर्नुहोस्
Select groups the attribute belongs to,एट्रिब्युट सम्बन्धित समूहहरू चयन गर्नुहोस्
Select shipping method,ढुवानी विधि चयन गर्नुहोस्
Select sort,क्रमबद्धता चयन गर्नुहोस्
"Select the items going in this shipment, then add the carrier & tracking.","यो ढुवानीमा जाने वस्तुहरू चयन गर्नुहोस्, त्यसपछि क्यारियर र ट्र्याकिङ थप्नुहोस्।"
Setting,सेटिङ
Settings,सेटिङहरू
Shipment Status,ढुवानी स्थिति
Shipment canceled,ढुवानी रद्द गरियो
Shipment created,ढुवानी सिर्जना गरियो
Shipment marked delivered,ढुवानी डेलिभर भएको चिन्ह लगाइयो
Shipments,ढुवानीहरू
Shipped,पठाइयो
Shipping (${method}),ढुवानी (${method})
Shipping Setting,ढुवानी सेटिङ
Show,देखाउनुहोस्
Show all ${count} options,सबै ${count} विकल्पहरू देखाउनुहोस्
Show on storefront,स्टोरफ्रन्टमा देखाउनुहोस्
Showing ${showing} of ${total},${total} मध्ये ${showing} देखाइँदैछ
Showing ${start}-${end} of ${total} results,${total} परिणाममध्ये ${start}-${end} देखाइँदैछ
Sidebar,साइडबार
Sign in to view your orders,तपाईंका अर्डरहरू हेर्न साइन इन गर्नुहोस्
Simple,सामान्य
Sky,आकाश
Sold out,बिक्री भइसक्यो
Some error occurred. Please try again later.,केही त्रुटि भयो। कृपया पछि फेरि प्रयास गर्नुहोस्।
Some products are not available,केही उत्पादनहरू उपलब्ध छैनन्
Something went wrong! Please try again.,केही गडबड भयो! कृपया फेरि प्रयास गर्नुहोस्।
Something went wrong. Please try again later.,केही गडबड भयो। कृपया पछि फेरि प्रयास गर्नुहोस्।
Something wrong. Please try again,केही गडबड भयो। कृपया फेरि प्रयास गर्नुहोस्
Sort Order,क्रमबद्धता
Sort order,क्रमबद्धता
Status,स्थिति
Stock,मौज्दात
Stripe is not loaded. Please try again.,Stripe लोड भएको छैन। कृपया फेरि प्रयास गर्नुहोस्।
Style,शैली
Sub-fields,उप-फिल्डहरू
Submit Cancellation,रद्द पेस गर्नुहोस्
Successfully logged in,सफलतापूर्वक लग इन भयो
Successfully logged out,सफलतापूर्वक लग आउट भयो
Tax Setting,कर सेटिङ
Test failure,परीक्षण असफल
Test failure:,परीक्षण असफल:
Test success,परीक्षण सफल
Test success:,परीक्षण सफल:
Text,पाठ
Textarea,पाठ क्षेत्र
The carrier will mark the tracking number as invalid. You will need to purchase a new label if you still intend to ship.,क्यारियरले ट्र्याकिङ नम्बरलाई अमान्य भनी चिन्ह लगाउनेछ। यदि तपाईं अझै पनि पठाउन चाहनुहुन्छ भने नयाँ लेबल किन्नुपर्नेछ।
The customer will receive a delivery confirmation email.,ग्राहकले डेलिभरी पुष्टिकरण इमेल प्राप्त गर्नेछन्।
There is no category,कुनै वर्ग छैन
There is no file to display.,देखाउनको लागि कुनै फाइल छैन।
There is no sub folder.,कुनै उप फोल्डर छैन।
There was an error:,एउटा त्रुटि भयो:
This tracking link has expired,यो ट्र्याकिङ लिंकको म्याद सकिएको छ
This tracking link is no longer valid,यो ट्र्याकिङ लिंक अब मान्य छैन
Thumbnail,थम्बनेल
Time must be after ${min},समय ${min} पछिको हुनुपर्छ
Time must be before ${max},समय ${max} अघिको हुनुपर्छ
Toggle Sidebar,साइडबार टगल गर्नुहोस्
Token is invalid or expired,टोकन अमान्य वा म्याद सकिएको छ
