Welcome Back!,फेरि स्वागत छ!
Manage general information about the collection.,सङ्ग्रहको सामान्य जानकारी व्यवस्थापन गर्नुहोस्।
Manage product images and gallery. Drag and drop to reorder images.,उत्पादन छविहरू र ग्यालरी व्यवस्थापन गर्नुहोस्। छविहरू पुनःक्रमबद्ध गर्न तानेर छाड्नुहोस्।
"Manage shipping integrations and their methods (Core, USPS, FedEx, …)","ढुवानी एकीकरणहरू र तिनका विधिहरू व्यवस्थापन गर्नुहोस् (Core, USPS, FedEx, …)"
Manage tax classes and tax rates for different regions.,विभिन्न क्षेत्रहरूका लागि कर वर्गहरू र कर दरहरू व्यवस्थापन गर्नुहोस्।
Manage the SEO settings of the category.,कोटिको SEO सेटिङहरू व्यवस्थापन गर्नुहोस्।
Manage the SEO settings.,SEO सेटिङहरू व्यवस्थापन गर्नुहोस्।
Manage the attributes.,विशेषताहरू व्यवस्थापन गर्नुहोस्।
Manage the collections associated with this product.,यस उत्पादनसँग सम्बन्धित सङ्ग्रहहरू व्यवस्थापन गर्नुहोस्।
Manage the general information of the category.,कोटिको सामान्य जानकारी व्यवस्थापन गर्नुहोस्।
Manage the general information of the product.,उत्पादनको सामान्य जानकारी व्यवस्थापन गर्नुहोस्।
Manage the inventory settings of the product.,उत्पादनको इन्भेन्टरी सेटिङहरू व्यवस्थापन गर्नुहोस्।
Manage the products assigned to this category.,यस कोटिमा तोकिएका उत्पादनहरू व्यवस्थापन गर्नुहोस्।
Manage the products assigned to this collection.,यस सङ्ग्रहमा तोकिएका उत्पादनहरू व्यवस्थापन गर्नुहोस्।
Manage the shipping settings of the product.,उत्पादनको ढुवानी सेटिङहरू व्यवस्थापन गर्नुहोस्।
Manage the status settings of the category.,श्रेणीको स्थिति सेटिङहरू व्यवस्थापन गर्नुहोस्।
Manage the variant group of the product.,उत्पादनको भेरियन्ट समूह व्यवस्थापन गर्नुहोस्।
Marketing,मार्केटिङ
Max ${unit},अधिकतम ${unit}
Max is required,अधिकतम आवश्यक छ
Maximum,अधिकतम
Maximum amount is ${value} ${currency},अधिकतम रकम ${value} ${currency} हो
Maximum quantity is required,अधिकतम परिमाण आवश्यक छ
Maximum quantity must be greater than or equal to 0,अधिकतम परिमाण ० भन्दा ठूलो वा बराबर हुनुपर्छ
Media,मिडिया
Meta Description,मेटा विवरण
Meta Title,मेटा शीर्षक
Meta Title is required,मेटा शीर्षक आवश्यक छ
Meta description,मेटा विवरण
Meta description is required,मेटा विवरण आवश्यक छ
Meta title,मेटा शीर्षक
Meta title is required,मेटा शीर्षक आवश्यक छ
Method,विधि
Method created,विधि सिर्जना गरियो
Method name,विधिको नाम
Method name is required,विधिको नाम आवश्यक छ
Method updated,विधि अद्यावधिक गरियो
Methods →,विधिहरू →
Min ${unit},न्यूनतम ${unit}
Min Price,न्यूनतम मूल्य
Min Weight,न्यूनतम तौल
Min is required,न्यूनतम आवश्यक छ
Min price is required,न्यूनतम मूल्य आवश्यक छ
Min weight is required,न्यूनतम तौल आवश्यक छ
Minimum purchase amount,न्यूनतम खरिद रकम
Minimum purchase qty,न्यूनतम खरिद परिमाण
Minimum purchase quantity,न्यूनतम खरिद परिमाण
Minimum purchased amount. This only applies to registered customers.,न्यूनतम खरिद रकम। यो दर्ता भएका ग्राहकहरूमा मात्र लागू हुन्छ।
Minimum quantity is required,न्यूनतम परिमाण आवश्यक छ
Missing name,नाम छुटेको छ
Money,रकम
Name is required.,नाम आवश्यक छ।
Navigation,नेभिगेसन
New Attribute,नयाँ एट्रिब्युट
New Category,नयाँ श्रेणी
New Collection,नयाँ संग्रह
New Coupon,नयाँ कुपन
New Page,नयाँ पृष्ठ
New Variant,नयाँ भेरियन्ट
New coupon,नयाँ कुपन
New rate,नयाँ दर
No collections,कुनै संग्रह छैन
No editable routes.,सम्पादनयोग्य रुटहरू छैनन्।
No file selected,कुनै फाइल चयन गरिएको छैन
No methods yet — add one to start offering Core shipping.,अहिलेसम्म कुनै विधि छैन — Core ढुवानी प्रस्ताव सुरु गर्न एउटा थप्नुहोस्।
No packages yet. Create one — shippable products require a package.,अहिलेसम्म कुनै प्याकेज छैन। एउटा सिर्जना गर्नुहोस् — ढुवानीयोग्य उत्पादनहरूलाई प्याकेज आवश्यक हुन्छ।
No product to display.,देखाउनको लागि कुनै उत्पादन छैन।
"No providers attached. Click ""Attach Provider"" to add one.","कुनै प्रदायक संलग्न छैन। एउटा थप्न ""Attach Provider"" क्लिक गर्नुहोस्।"
"No rates yet — click ""Add Rate"" to offer this method in a zone.","अहिलेसम्म कुनै दर छैन — यो विधि कुनै क्षेत्रमा प्रस्ताव गर्न ""Add Rate"" क्लिक गर्नुहोस्।"
"No results for ""${keyword}""","""${keyword}"" को लागि कुनै नतिजा छैन"
No routes have opted into page-builder editing yet.,अहिलेसम्म कुनै पनि रुटले पेज-बिल्डर सम्पादन रोजेको छैन।
No shipping required?,ढुवानी आवश्यक छैन?
No subdivisions available — whole country is covered.,कुनै उपविभाजन उपलब्ध छैन — सम्पूर्ण देश समेटिएको छ।
No widgets available.,कुनै विजेट उपलब्ध छैन।
"No widgets match ""${query}"".","""${query}"" सँग मिल्ने कुनै विजेट छैन।"
No widgets on this route yet.,अहिलेसम्म यो रुटमा कुनै विजेट छैन।
No zones,कुनै क्षेत्र छैन
No zones found,कुनै क्षेत्र फेला परेन
Not visible individually,व्यक्तिगत रूपमा देखिँदैन
Nothing to publish,प्रकाशन गर्न केही छैन
Nothing to redo on this page,यो पृष्ठमा पुनः गर्न केही छैन
Nothing to undo on this page,यो पृष्ठमा पूर्ववत् गर्न केही छैन
Number,सङ्ख्या
Option text is required,विकल्प पाठ आवश्यक छ
Optional. Added to the shipping weight for quotes and labels.,वैकल्पिक। उद्धरण र लेबलहरूको लागि ढुवानी तौलमा थपिन्छ।
Order Number,अर्डर नम्बर
Order conditions,अर्डर सर्तहरू
Orders (${count}),अर्डरहरू (${count})
Other,अन्य
Other pages keep their pending changes.,अन्य पृष्ठहरूले आफ्ना बाँकी परिवर्तनहरू राख्छन्।
Overlaps with existing rollout: ${plans}.,अवस्थित रोलआउटसँग ओभरल्याप हुन्छ: ${plans}।
Overlaps with existing rollouts: ${plans}.,अवस्थित रोलआउटहरूसँग ओभरल्याप हुन्छ: ${plans}।
Package,प्याकेज
Package created,प्याकेज सिर्जना गरियो
Package deleted,प्याकेज मेटाइयो
Package saved,प्याकेज सुरक्षित गरियो
Packages,प्याकेजहरू
Page Name,पृष्ठको नाम
Page Not Found,पृष्ठ फेला परेन
Page builder,पेज बिल्डर
Page builder canvas,पेज बिल्डर क्यानभास
Page created successfully!,पृष्ठ सफलतापूर्वक सिर्जना गरियो!
Page is required,पृष्ठ आवश्यक छ
Page name is required,पृष्ठको नाम आवश्यक छ
Pages,पृष्ठहरू
Parent category,मूल श्रेणी
Payment Setting,भुक्तानी सेटिङ
Payment mode,भुक्तानी मोड
Payment setting saved,भुक्तानी सेटिङ सुरक्षित गरियो
Paypal Payment,Paypal भुक्तानी
Pending start time,सुरु हुने समय बाँकी
Percentage discount to entire order,सम्पूर्ण अर्डरमा प्रतिशत छुट
Percentage discount to specific products,निर्दिष्ट उत्पादनहरूमा प्रतिशत छुट
Phone,फोन
Pick a start time to schedule this rollout.,यो रोलआउट तालिकाबद्ध गर्न सुरु हुने समय छान्नुहोस्।
Pick a widget below to insert as a child.,चाइल्डको रूपमा घुसाउन तल एउटा विजेट छान्नुहोस्।
Pick up where you left off — ${count} pending changes,तपाईंले छोडेको ठाउँबाट सुरु गर्नुहोस् — ${count} बाँकी परिवर्तनहरू
Pick up where you left off — 1 pending change,तपाईंले छोडेको ठाउँबाट सुरु गर्नुहोस् — १ बाँकी परिवर्तन
Pin drawer open,ड्रअर खुला राख्न पिन गर्नुहोस्
Pin — keep drawer open across canvas clicks,पिन — क्यानभास क्लिकहरूमा ड्रअर खुला राख्नुहोस्
Placed on: ${routes},राखिएको: ${routes}
Placements,प्लेसमेन्टहरू
Postal Code,हुलाक कोड
"Postcode (e.g., ""90210""). Empty for all postcodes.","हुलाक कोड (जस्तै, ""90210"")। सबै हुलाक कोडका लागि खाली राख्नुहोस्।"
Preselected for new products. Exactly one package is the default.,नयाँ उत्पादनहरूका लागि पूर्वचयन गरिएको। ठ्याक्कै एउटा प्याकेज पूर्वनिर्धारित हो।
Preview,पूर्वावलोकन
Price-based tiers,मूल्य-आधारित स्तरहरू
Priority,प्राथमिकता
Priority is required,प्राथमिकता आवश्यक छ
Product Name,उत्पादनको नाम
Product Status,उत्पादनको स्थिति
Product created successfully,उत्पादन सफलतापूर्वक सिर्जना गरियो
Product updated successfully,उत्पादन सफलतापूर्वक अद्यावधिक गरियो
Products (${count}),उत्पादनहरू (${count})
Promotion,प्रोमोसन
Proportional allocation based on cart items,कार्ट वस्तुहरूमा आधारित समानुपातिक विनियोजन
Provide the SEO details for the CMS page.,CMS पृष्ठका लागि SEO विवरणहरू प्रदान गर्नुहोस्।
Provide the basic information for the CMS page.,CMS पृष्ठका लागि आधारभूत जानकारी प्रदान गर्नुहोस्।
Provider,प्रदायक
Province Restrictions,प्रदेश प्रतिबन्धहरू
"Province code (e.g., ""CA""). Use ""*"" for all provinces.","प्रदेश कोड (जस्तै, ""CA"")। सबै प्रदेशहरूका लागि ""*"" प्रयोग गर्नुहोस्।"
Provinces,प्रदेशहरू
Provinces is required,प्रदेशहरू आवश्यक छन्
Provinces:,प्रदेशहरू:
Publish failed,प्रकाशन असफल भयो
Publish now,अहिले प्रकाशन गर्नुहोस्
Publish to the live storefront,लाइभ स्टोरफ्रन्टमा प्रकाशन गर्नुहोस्
Publishable Key,प्रकाशनयोग्य कुञ्जी
Publishing…,प्रकाशन गर्दै…
Qty is required,परिमाण आवश्यक छ
Quick links,द्रुत लिङ्कहरू
Rate,दर
Rate added,दर थपियो
Rate is required,दर आवश्यक छ
Rate removed,दर हटाइयो
Rate status,दरको स्थिति
Rate updated,दर अद्यावधिक गरियो
Redo (⇧⌘Z) — re-applies the last undone edit on this page,पुनः गर्नुहोस् (⇧⌘Z) — यो पृष्ठमा अन्तिम पूर्ववत् गरिएको सम्पादन पुनः लागू गर्छ
Redo last undone change on this page,यो पृष्ठमा अन्तिम पूर्ववत् गरिएको परिवर्तन पुनः गर्नुहोस्
Reference,सन्दर्भ
Refund,फिर्ता
Refund amount,फिर्ता रकम
Remove Zone,क्षेत्र हटाउनुहोस्
Remove placement,प्लेसमेन्ट हटाउनुहोस्
Remove rate,दर हटाउनुहोस्
Remove this rate?,यो दर हटाउने हो?
Removed,हटाइयो
Resize settings drawer,सेटिङ ड्रअरको आकार बदल्नुहोस्
"Results for ""${keyword}""","""${keyword}"" का नतिजाहरू"
Revert all pages to saved state,सबै पृष्ठहरूलाई सुरक्षित अवस्थामा फर्काउनुहोस्
Revert everything,सबै कुरा फर्काउनुहोस्
Revert this page,यो पृष्ठ फर्काउनुहोस्
Revert this page only,यो पृष्ठ मात्र फर्काउनुहोस्
Revert to saved state?,सुरक्षित अवस्थामा फर्काउने हो?
Reverting…,फर्काउँदै…
Rich text,रिच टेक्स्ट
Roll back the changes you have made since this rollout was last saved. The live storefront is unaffected — it already reflects the saved state.,यो रोलआउट अन्तिम पटक सुरक्षित गरिएदेखि तपाईंले गरेका परिवर्तनहरू फिर्ता लिनुहोस्। लाइभ स्टोरफ्रन्ट प्रभावित हुँदैन — यसले पहिल्यै सुरक्षित अवस्थालाई प्रतिबिम्बित गर्छ।
SEO,SEO
SEO Information,SEO जानकारी
SKU is required,SKU आवश्यक छ
Sale,बिक्री
Sandbox,स्यान्डबक्स
Save Settings,सेटिङ सुरक्षित गर्नुहोस्
Save as rollout plan,रोलआउट योजनाको रूपमा सुरक्षित गर्नुहोस्
Save as rollout plan and leave,रोलआउट योजनाको रूपमा सुरक्षित गरी बाहिर निस्कनुहोस्
Save changes,परिवर्तनहरू सुरक्षित गर्नुहोस्
Save failed,सुरक्षित गर्न असफल
Save method,विधि सुरक्षित गर्नुहोस्
Save rate,दर सुरक्षित गर्नुहोस्
Saving…,सुरक्षित गर्दै…
Schedule failed,समयतालिका असफल
Scheduled,समयतालिका तय गरियो
Search engine optimize,खोज इन्जिन अप्टिमाइज
Search widgets,विजेटहरू खोज्नुहोस्
Secret Key,गोप्य कुञ्जी
Select Category,वर्ग चयन गर्नुहोस्
Select Parent Category,मूल वर्ग चयन गर्नुहोस्
Select Products by SKU,SKU अनुसार उत्पादनहरू चयन गर्नुहोस्
Select a provider first,पहिले एक प्रदायक चयन गर्नुहोस्
Select a provider…,एक प्रदायक चयन गर्नुहोस्…
Select an option,एक विकल्प चयन गर्नुहोस्
Select category,वर्ग चयन गर्नुहोस्
Select countries,देशहरू चयन गर्नुहोस्
Select operator,अपरेटर चयन गर्नुहोस्
Select options,विकल्पहरू चयन गर्नुहोस्
Select page,पृष्ठ चयन गर्नुहोस्
Select products to add to this collection.,यो सङ्ग्रहमा थप्न उत्पादनहरू चयन गर्नुहोस्।
Select the list of attribute,विशेषताको सूची चयन गर्नुहोस्
Select this option if the product is a digital product or service that does not require shipping.,यदि उत्पादन डिजिटल उत्पादन वा सेवा हो जसलाई ढुवानी आवश्यक पर्दैन भने यो विकल्प चयन गर्नुहोस्।
Set a start time to schedule.,समयतालिका तय गर्न सुरु समय सेट गर्नुहोस्।
Set the status and visibility of the product.,उत्पादनको स्थिति र दृश्यता सेट गर्नुहोस्।
Share,सेयर गर्नुहोस्
Shipping Cost,ढुवानी शुल्क
Shipping Providers,ढुवानी प्रदायकहरू
Shipping address,ढुवानी ठेगाना
Shipping cost is required,ढुवानी शुल्क आवश्यक छ
Shipping provider setting saved,ढुवानी प्रदायक सेटिङ सुरक्षित गरियो
Shipping tax class,ढुवानी कर वर्ग
Short text,छोटो टेक्स्ट
Show global areas,ग्लोबल क्षेत्रहरू देखाउनुहोस्
Show on routes,रुटहरूमा देखाउनुहोस्
Show products?,उत्पादनहरू देखाउने हो?
Show this widget on every page,यो विजेट हरेक पृष्ठमा देखाउनुहोस्
Size (L × W × H),आकार (ल × चौ × उ)
Sort,क्रमबद्ध गर्नुहोस्
Sort order is required,क्रम क्रमाङ्क आवश्यक छ
Sort order must be a positive number,क्रम क्रमाङ्क सकारात्मक सङ्ख्या हुनुपर्छ
Start,सुरु
Start a page-builder session,पेज-बिल्डर सत्र सुरु गर्नुहोस्
Start date,सुरु मिति
Start new changeset,नयाँ चेन्जसेट सुरु गर्नुहोस्
Start time is invalid.,सुरु समय अमान्य छ।
State Date,राज्य मिति
Status is required,स्थिति आवश्यक छ
Stay,रहनुहोस्
Stay on this page,यो पृष्ठमा रहनुहोस्
Stock Availability,स्टक उपलब्धता
Stop highlighting global areas,ग्लोबल क्षेत्रहरू हाइलाइट गर्न रोक्नुहोस्
Store Address,पसल ठेगाना
Store Description,पसल विवरण
Store Email,पसल इमेल
Store Name,पसल नाम
Store Phone Number,पसल फोन नम्बर
Store Setting,पसल सेटिङ
Store Settings,पसल सेटिङहरू
Store address,पसल ठेगाना
Storefront,स्टोरफ्रन्ट
Stripe Payment,Stripe भुक्तानी
Tablet,ट्याब्लेट
Take our survey,हाम्रो सर्वेक्षणमा भाग लिनुहोस्
Target Products,लक्षित उत्पादनहरू
Tax Class,कर वर्ग
Tax calculation configuration,कर गणना कन्फिगरेसन
Tax class name,कर वर्ग नाम
Tax class name is required,कर वर्ग नाम आवश्यक छ
Tax classes,कर वर्गहरू
Tax rate has been saved successfully!,कर दर सफलतापूर्वक सुरक्षित गरियो!
Tax setting has been saved successfully!,कर सेटिङ सफलतापूर्वक सुरक्षित गरियो!
The box or envelope this product ships in. Applies to all variants of this product.,यो उत्पादन ढुवानी हुने बाकस वा खाम। यो उत्पादनका सबै भेरियन्टहरूमा लागू हुन्छ।
The boxes and envelopes you ship with. Every shippable product references one — its dimensions and empty weight drive shipping quotes and labels.,तपाईंले ढुवानीमा प्रयोग गर्ने बाकस र खामहरू। प्रत्येक ढुवानीयोग्य उत्पादनले एउटालाई सन्दर्भ गर्छ — यसको आयाम र खाली तौलले ढुवानी कोटेसन र लेबलहरू निर्धारण गर्छ।
The conditions related to the customer for the coupon to be applied.,कुपन लागू हुनका लागि ग्राहकसँग सम्बन्धित सर्तहरू।
The conditions related to the order for the coupon to be applied.,कुपन लागू हुनका लागि अर्डरसँग सम्बन्धित सर्तहरू।
The default package cannot be deleted,पूर्वनिर्धारित प्याकेज मेटाउन सकिँदैन
The draft holds ${count} saved changes you can publish later.,मस्यौदामा ${count} सुरक्षित परिवर्तनहरू छन् जुन तपाईं पछि प्रकाशित गर्न सक्नुहुन्छ।
The draft holds 1 saved change you can publish later.,मस्यौदामा १ सुरक्षित परिवर्तन छ जुन तपाईं पछि प्रकाशित गर्न सक्नुहुन्छ।
The draft is deleted.,मस्यौदा मेटाइयो।
The draft itself is deleted.,मस्यौदा आफैं मेटाइयो।
The general information about the coupon.,कुपनको बारेमा सामान्य जानकारी।
"The language of the admin panel, independent of the storefront.","स्टोरफ्रन्टबाट स्वतन्त्र, एडमिन प्यानलको भाषा।"
The method will no longer apply to this zone.,यो विधि अब यो क्षेत्रमा लागू हुनेछैन।
The minimum quantity of items required in the order to qualify for this coupon.,यो कुपनका लागि योग्य हुन अर्डरमा आवश्यक वस्तुहरूको न्यूनतम परिमाण।
The minimum total amount required for the order to qualify for this coupon.,यो कुपनका लागि अर्डर योग्य हुन आवश्यक न्यूनतम कुल रकम।
The rollout plan,रोलआउट योजना
The storefront's primary language. Pages in this language have no URL prefix.,स्टोरफ्रन्टको प्राथमिक भाषा। यो भाषाका पृष्ठहरूमा कुनै URL उपसर्ग हुँदैन।
The type of discount applied by the coupon.,कुपनद्वारा लागू गरिएको छुटको प्रकार।
The zone this rate applies to.,यो दर लागू हुने क्षेत्र।
"There is no ""Select"" attribute available.","कुनै ""Select"" विशेषता उपलब्ध छैन।"
There is no attribute to display,देखाउन कुनै विशेषता छैन
There is no category to display,देखाउन कुनै वर्ग छैन
There is no collections to display,देखाउन कुनै सङ्ग्रह छैन
There is no coupon to display,देखाउन कुनै कुपन छैन
There is no customer to display,देखाउन कुनै ग्राहक छैन
There is no order to display,देखाउन कुनै अर्डर छैन
There is no page to display,देखाउन कुनै पृष्ठ छैन
There is no widget to display,देखाउन कुनै विजेट छैन
There was an error fetching attribute groups.,विशेषता समूहहरू ल्याउँदा त्रुटि भयो।
There was an error fetching categories.,वर्गहरू ल्याउँदा त्रुटि भयो।
There was an error fetching collections.,सङ्ग्रहहरू ल्याउँदा त्रुटि भयो।
There was an error fetching file browser APIs.,फाइल ब्राउजर API हरू ल्याउँदा त्रुटि भयो।
There was an error fetching products.,उत्पादनहरू ल्याउँदा त्रुटि भयो।
This cannot be undone. Packages still assigned to products can't be removed.,यो पूर्ववत् गर्न सकिँदैन। उत्पादनहरूमा अझै तोकिएका प्याकेजहरू हटाउन सकिँदैन।
This changeset has no operations yet.,यो चेन्जसेटमा अहिलेसम्म कुनै सञ्चालन छैन।
This field is required,यो फिल्ड आवश्यक छ
This is the URL path for the CMS page.,यो CMS पृष्ठको URL पथ हो।
This is the address used to calculate tax rates.,यो कर दरहरू गणना गर्न प्रयोग गरिने ठेगाना हो।
This is the meta title for the CMS page.,यो CMS पृष्ठको मेटा शीर्षक हो।
This is the name of the CMS page that will be displayed in the admin panel.,यो CMS पृष्ठको नाम हो जुन एडमिन प्यानलमा देखाइनेछ।
This is the tax class applied to shipping costs.,यो ढुवानी शुल्कमा लागू गरिने कर वर्ग हो।
This product has some variants like color or size?,यो उत्पादनमा रङ वा आकार जस्ता केही भेरियन्टहरू छन्?
This provider has no per-zone configuration. Methods and per-zone rates are managed in the provider's own admin area.,यो प्रदायकमा कुनै प्रति-क्षेत्र कन्फिगरेसन छैन। विधिहरू र प्रति-क्षेत्र दरहरू प्रदायकको आफ्नै एडमिन क्षेत्रमा व्यवस्थापन गरिन्छ।
This removes the zone along with its provider attachments and rates. This cannot be undone.,यसले क्षेत्रलाई यसको प्रदायक संलग्नकहरू र दरहरूसहित हटाउँछ। यो पूर्ववत् गर्न सकिँदैन।
This route has unpublished changes in your draft,यो रुटमा तपाईंको मस्यौदामा अप्रकाशित परिवर्तनहरू छन्
This will be saved as a pending change you can publish or discard.,यो विचाराधीन परिवर्तनको रूपमा सुरक्षित हुनेछ जुन तपाईं प्रकाशित गर्न वा खारेज गर्न सक्नुहुन्छ।
Tiered,तहगत
Type is required,प्रकार आवश्यक छ
URL Key,URL कुञ्जी
URL Key is required,URL कुञ्जी आवश्यक छ
"URL Key must be lowercase and can only contain letters, numbers, and hyphens","URL कुञ्जी लोअरकेस हुनुपर्छ र यसमा केवल अक्षर, सङ्ख्या र हाइफनहरू मात्र हुन सक्छन्"
URL key,URL कुञ्जी
URL key is required,URL कुञ्जी आवश्यक छ
URL key must be lowercase and can only contain alphanumeric characters and hyphens,URL कुञ्जी लोअरकेस हुनुपर्छ र यसमा केवल अल्फान्युमेरिक वर्णहरू र हाइफनहरू मात्र हुन सक्छन्
Unassign,असाइन हटाउनुहोस्
Undo (⌘Z) — undoes your last edit on this page,पूर्ववत् (⌘Z) — यो पृष्ठमा तपाईंको अन्तिम सम्पादन पूर्ववत् गर्छ
Undo / Redo,पूर्ववत् / पुनः गर्नुहोस्
Undo last change on this page,यो पृष्ठमा अन्तिम परिवर्तन पूर्ववत् गर्नुहोस्
Unknown,अज्ञात
Unlink,लिंक हटाउनुहोस्
Unpin drawer,ड्रअर अनपिन गर्नुहोस्
Unpin — drawer will close when you click empty canvas,अनपिन गर्नुहोस् — खाली क्यानभासमा क्लिक गर्दा ड्रअर बन्द हुनेछ
Unpublished changes,प्रकाशित नभएका परिवर्तनहरू
Unsaved changes,सेभ नभएका परिवर्तनहरू
Update the name and active window for this rollout plan. Content edits are managed separately in the editor.,यो रोलआउट योजनाको नाम र सक्रिय विन्डो अद्यावधिक गर्नुहोस्। सामग्री सम्पादनहरू सम्पादकमा छुट्टै व्यवस्थापन गरिन्छ।
Update the variant details and attributes here.,भेरियन्टको विवरण र विशेषताहरू यहाँ अद्यावधिक गर्नुहोस्।
Updated,अद्यावधिक गरियो
Upload an image for the category.,कोटिका लागि एउटा छवि अपलोड गर्नुहोस्।
Used Times,प्रयोग गरिएको पटक
Value is required,मान आवश्यक छ
Variant Group,भेरियन्ट समूह
Variant created successfully,भेरियन्ट सफलतापूर्वक सिर्जना गरियो
Variant updated successfully,भेरियन्ट सफलतापूर्वक अद्यावधिक गरियो
Version ${version},संस्करण ${version}
Visibility,दृश्यता
Visibility determines where the product appears in the store. It does not affect the saleability of the product.,दृश्यताले उत्पादन स्टोरमा कहाँ देखिन्छ भनी निर्धारण गर्छ। यसले उत्पादनको बिक्रीयोग्यतालाई असर गर्दैन।
Visitors will see the new layout on their next page load.,आगन्तुकहरूले आफ्नो अर्को पृष्ठ लोडमा नयाँ लेआउट देख्नेछन्।
Webhook Secret Key,Webhook गोप्य कुञ्जी
Weight,तौल
Weight must be 0 or greater,तौल ० वा सोभन्दा बढी हुनुपर्छ
Weight must be a positive number,तौल धनात्मक संख्या हुनुपर्छ
Weight-based tiers,तौलमा आधारित तहहरू
Widget Settings,विजेट सेटिङहरू
Widget created successfully!,विजेट सफलतापूर्वक सिर्जना गरियो!
Widgets,विजेटहरू
Width,चौडाइ
Width is required,चौडाइ आवश्यक छ
Width must be greater than 0,चौडाइ ० भन्दा बढी हुनुपर्छ
Will roll out automatically: ${range},स्वतः रोलआउट हुनेछ: ${range}
Working…,काम भइरहेको छ…
Worldwide,विश्वव्यापी
X,X
Y,Y
You have ${count} changes in this draft that haven’t been published yet.,यो मस्यौदामा तपाईंका ${count} परिवर्तनहरू छन् जुन अझै प्रकाशित गरिएका छैनन्।
You have ${count} changes still saving.,तपाईंका ${count} परिवर्तनहरू अझै सेभ हुँदैछन्।
You have 1 change in this draft that hasn’t been published yet.,यो मस्यौदामा तपाईंको १ परिवर्तन छ जुन अझै प्रकाशित गरिएको छैन।
You have 1 change still saving.,तपाईंको १ परिवर्तन अझै सेभ हुँदैछ।
Your draft is safe on the server — you can come back and publish it any time.,तपाईंको मस्यौदा सर्भरमा सुरक्षित छ — तपाईं जुनसुकै बेला फर्केर यसलाई प्रकाशित गर्न सक्नुहुन्छ।
Your edits on other pages stay in the draft.,अन्य पृष्ठहरूमा गरिएका तपाईंका सम्पादनहरू मस्यौदामै रहन्छन्।
Your webhook url should be: https://yourdomain.com/api/stripe/webhook,तपाईंको webhook url यस्तो हुनुपर्छ: https://yourdomain.com/api/stripe/webhook
Zone,क्षेत्र
Zone Name,क्षेत्रको नाम
Zone Rates,क्षेत्र दरहरू
Zone created,क्षेत्र सिर्जना गरियो
Zone is required,क्षेत्र आवश्यक छ
Zone name is required,क्षेत्रको नाम आवश्यक छ
Zone removed,क्षेत्र हटाइयो
Zone updated,क्षेत्र अद्यावधिक गरियो
Zones served,सेवा गरिएका क्षेत्रहरू
and ${count} more,र ${count} थप
container will also hide,कन्टेनर पनि लुक्नेछ
current page,हालको पृष्ठ
e.g. Small Box,"जस्तै, सानो बाकस"
e.g. Summer Sale 2026,"जस्तै, ग्रीष्म बिक्री 2026"
e.g. content,"जस्तै, सामग्री"
"e.g., 10.00","जस्तै, 10.00"
"e.g., EU, US-West","जस्तै, EU, US-West"
"e.g., Express","जस्तै, Express"
"e.g., FEDEX_GROUND, usps_priority","जस्तै, FEDEX_GROUND, usps_priority"
every page,प्रत्येक पृष्ठ
indefinite,अनिश्चित
open,खुला
"publishing is immediate and can’t be undone from this screen. To stage instead, cancel and choose “Schedule a rollout”.","प्रकाशन तत्काल हुन्छ र यो स्क्रिनबाट पूर्ववत गर्न सकिँदैन। बरु स्टेज गर्न, रद्द गर्नुहोस् र “रोलआउट तालिका बनाउनुहोस्” छान्नुहोस्।"
quantity of products are matched bellow conditions(All),उत्पादनहरूको परिमाण तलका सर्तहरूसँग मेल खान्छ(सबै)
subtotal,उपजोड
to a storefront route's,स्टोरफ्रन्ट रुटको
to make it appear here.,यसलाई यहाँ देखाउनका लागि।
