Welcome Back!,Welkom terug!
Built-in shipping methods with per-zone rates. Attach Core to a zone first under Settings → Shipping; then add methods here and configure their rates per zone.,Ingebouwde verzendmethoden met tarieven per zone. Koppel eerst Core aan een zone via Instellingen → Verzending; voeg daarna hier methoden toe en configureer hun tarieven per zone.
Buy X get Y,Koop X krijg Y
CMS,CMS
Calculation type,Berekeningstype
Can not change the attribute group of a product that is already in a variant group.,Kan de kenmerkgroep van een product dat al in een variantgroep zit niet wijzigen.
Cancel rollout,Uitrol annuleren
Cancel rollout plan?,Uitrolplan annuleren?
Canvas device width,Canvas-apparaatbreedte
Capture,Vastleggen
Capture Payment,Betaling vastleggen
Carrier hint for fulfillment — never shown at checkout. NewShipmentDialog uses this to pre-select the carrier.,Vervoerderhint voor fulfilment — wordt nooit getoond bij het afrekenen. NewShipmentDialog gebruikt dit om de vervoerder vooraf te selecteren.
Carrier-specific service code used when buying a label (CreateLabelInput.serviceCode). Free-form — verify the exact token in the carrier's API docs. Leave blank to let the carrier pick its default service.,Vervoerderspecifieke servicecode die wordt gebruikt bij het kopen van een label (CreateLabelInput.serviceCode). Vrije invoer — controleer de exacte token in de API-documentatie van de vervoerder. Laat leeg om de vervoerder zijn standaardservice te laten kiezen.
Cash On Delivery Payment,Betaling onder rembours
"Catalog, Search","Catalogus, Zoeken"
Category Image,Categorieafbeelding
Category Name,Categorienaam
Category created successfully!,Categorie succesvol aangemaakt!
Category name is required,Categorienaam is verplicht
Choose Attribute Groups,Kies kenmerkgroepen
Choose Categories,Kies categorieën
Choose Collections,Kies collecties
Choose SKUs,Kies SKU's
Choose how much of your unpublished work to discard. The published storefront is not affected.,Kies hoeveel van je niet-gepubliceerde werk je wilt verwijderen. De gepubliceerde winkel wordt niet beïnvloed.
Choose where you ship and how much you charge for shipping.,Kies waarheen je verzendt en hoeveel je voor verzending rekent.
Clear filter,Filter wissen
Clear filters,Filters wissen
Client ID,Client-ID
Client Secret,Client Secret
Close,Sluiten
Close settings,Instellingen sluiten
Close — continue draft,Sluiten — concept voortzetten
Cms Pages,CMS-pagina's
Collapse left rail,Linkerbalk inklappen
Collapse panel,Paneel inklappen
Collection Code,Collectiecode
Collection Name,Collectienaam
Collection code is required,Collectiecode is verplicht
Collection code must be alphanumeric and can include underscores or dashes.,Collectiecode moet alfanumeriek zijn en mag underscores of streepjes bevatten.
Collection created successfully!,Collectie succesvol aangemaakt!
Color,Kleur
Commerce,Commerce
Compound,Samengesteld
Condition,Voorwaarde
Configure,Configureren
Configure cost and conditions per zone. Zones without a rate don't offer this method.,Configureer kosten en voorwaarden per zone. Zones zonder tarief bieden deze methode niet aan.
Configure rate,Tarief configureren
Configure the available payment methods,Configureer de beschikbare betaalmethoden
Configure the settings for the ${name} widget.,Configureer de instellingen voor de ${name}-widget.
Configure the tax classes that will be available to your customers at checkout.,Configureer de belastingklassen die voor je klanten beschikbaar zijn bij het afrekenen.
Configure your Cash On Delivery payment gateway settings,Configureer je instellingen voor de betaalmethode rembours
Configure your Paypal payment gateway settings,Configureer je instellingen voor de PayPal-betaalmethode
Configure your Stripe payment gateway settings,Configureer je instellingen voor de Stripe-betaalmethode
Configure your store information,Configureer je winkelgegevens
"Conflicts with ${plan1}, ${plan2}","Conflicteert met ${plan1}, ${plan2}"
Conflicts with ${plan},Conflicteert met ${plan}
Conflicts with ${plan} +${count},Conflicteert met ${plan} +${count}
Conflicts with:,Conflicteert met:
Content,Inhoud
Continue a saved rollout plan,Een opgeslagen uitrolplan voortzetten
Continue your draft,Je concept voortzetten
Core Shipping,Core-verzending
Core isn't attached to any zone yet. Attach it under Settings → Shipping first.,Core is nog niet aan een zone gekoppeld. Koppel het eerst via Instellingen → Verzending.
Cost,Kosten
Cost is required,Kosten zijn verplicht
Could not start fresh,Kon niet opnieuw beginnen
Countries,Landen
"Country code (e.g., ""US""). Use ""*"" for all countries.","Landcode (bijv. ""US""). Gebruik ""*"" voor alle landen."
Coupon Code,Couponcode
"Coupon code can only contain letters, numbers, underscores, and hyphens","Couponcode mag alleen letters, cijfers, underscores en streepjes bevatten"
Coupon created successfully!,Coupon succesvol aangemaakt!
Coupons,Coupons
Create A New Customer,Een nieuwe klant aanmaken
Create New Package,Nieuw pakket aanmaken
Create New Tax Class,Nieuwe belastingklasse aanmaken
Create New Zone,Nieuwe zone aanmaken
Create a new category,Een nieuwe categorie aanmaken
Create a new collection,Een nieuwe collectie aanmaken
Create a new coupon,Een nieuwe coupon aanmaken
Create a new page,Een nieuwe pagina aanmaken
Create a new product,Een nieuw product aanmaken
Create a new variant for this product.,Een nieuwe variant voor dit product aanmaken.
Create a new widget,Een nieuwe widget aanmaken
Create a variant group,Een variantgroep aanmaken
Create method,Methode aanmaken
Create new tax class,Nieuwe belastingklasse aanmaken
Create rollout plan,Uitrolplan aanmaken
Created At,Aangemaakt op
Current,Huidig
Customer,Klant
Customer Email,E-mailadres klant
Customer conditions,Klantvoorwaarden
Customer emails,Klant-e-mails
Customer groups,Klantgroepen
Customer's purchase,Aankoop van de klant
Customers,Klanten
Customers (${count}),Klanten (${count})
Customers in ${zone} will no longer see ${name}'s methods at checkout. You can re-attach it later.,Klanten in ${zone} zien de methoden van ${name} niet meer bij het afrekenen. Je kunt het later opnieuw koppelen.
Dashboard,Dashboard
Date,Datum
Decrease,Verlagen
Default carrier,Standaardvervoerder
Default language,Standaardtaal
Default package,Standaardpakket
Default service code,Standaard servicecode
"Delete ""${name}""?","""${name}"" verwijderen?"
Delete ${count} attributes,${count} kenmerken verwijderen
Delete ${count} categories,${count} categorieën verwijderen
Delete ${count} collections,${count} collecties verwijderen
Delete ${count} pages,${count} pagina's verwijderen
Delete ${count} widgets,${count} widgets verwijderen
Delete container widget?,Containerwidget verwijderen?
Delete image,Afbeelding verwijderen
"Delete package ""${name}""?","Pakket ""${name}"" verwijderen?"
Delete this,Dit verwijderen
Delete this widget? This will be saved as a pending change you can publish or discard.,Deze widget verwijderen? Dit wordt opgeslagen als een openstaande wijziging die je kunt publiceren of verwijderen.
Delete widget?,Widget verwijderen?
Delete zone,Zone verwijderen
"Delete zone ""${name}""?","Zone ""${name}"" verwijderen?"
Deleted ${name},${name} verwijderd
Deleting this,Dit verwijderen
Deleting this container will also hide,Het verwijderen van deze container verbergt ook
Description is required,Beschrijving is verplicht
Desktop,Desktop
Detach,Ontkoppelen
Detach ${name}?,${name} loskoppelen?
Disable ${count} pages,${count} pagina's uitschakelen
Disable ${count} widgets,${count} widgets uitschakelen
Disabled products will not be visible in the store and cannot be purchased.,Uitgeschakelde producten zijn niet zichtbaar in de winkel en kunnen niet worden gekocht.
Discard changes on this page only,Wijzigingen alleen op deze pagina negeren
Discard everything,Alles negeren
Discard everything in this draft,Alles in dit concept negeren
Discard failed,Negeren mislukt
Discard pending changes?,Openstaande wijzigingen negeren?
Discard this page,Deze pagina negeren
Discarding…,Negeren…
Discount Type,Kortingstype
Discount amount,Kortingsbedrag
Discount amount is required,Kortingsbedrag is vereist
Discount type is required,Kortingstype is vereist
Dislay Name,Weergavenaam
Display Name,Weergavenaam
Draft,Concept
Draft — not scheduled,Concept — niet ingepland
Drag to resize,Sleep om formaat te wijzigen
"Each row places this widget on one page, in one area, with its own sort order. Lower numbers appear first.","Elke rij plaatst deze widget op één pagina, in één gebied, met een eigen sorteervolgorde. Lagere nummers verschijnen eerst."
Edit ${name},${name} bewerken
Edit Shipping Zone,Verzendzone bewerken
Edit Tax Rate,Belastingtarief bewerken
Edit Variant,Variant bewerken
Edit Zone,Zone bewerken
Edit against the live storefront. Publish immediately or save as a rollout plan.,Bewerk tegen de live storefront. Publiceer direct of sla op als uitrolplan.
Edit rollout schedule,Uitrolschema bewerken
Editable routes,Bewerkbare routes
Editing ${coupon},${coupon} bewerken
Editing ${fullName},${fullName} bewerken
Editing widget ${name},Widget ${name} bewerken
Edits to a shared widget update every route it appears on.,Wijzigingen aan een gedeelde widget worden bijgewerkt op elke route waarop deze verschijnt.
Empty package weight,Leeg pakketgewicht
Empty weight,Leeg gewicht
Enable ${count} pages,${count} pagina's inschakelen
Enable ${count} widgets,${count} widgets inschakelen
Enable this page to make it visible on the frontend.,Schakel deze pagina in om deze zichtbaar te maken op de frontend.
Enable?,Inschakelen?
End,Einde
End Date,Einddatum
End date,Einddatum
End time is invalid.,Eindtijd is ongeldig.
End time must be after start time.,Eindtijd moet na de starttijd liggen.
Enter Category Name,Voer categorienaam in
Enter Collection Name,Voer collectienaam in
Enter Meta Description,Voer metabeschrijving in
Enter Meta Title,Voer metatitel in
Enter Meta description,Voer metabeschrijving in
Enter Meta title,Voer metatitel in
Enter SKU,Voer SKU in
Enter URL Key,Voer URL-sleutel in
Enter URL key,Voer URL-sleutel in
Enter customer emails,Voer klant-e-mails in
Enter description,Voer beschrijving in
Enter group name,Voer groepsnaam in
Enter meta description,Voer metabeschrijving in
Enter meta title,Voer metatitel in
Enter page name,Voer paginanaam in
Enter price,Voer prijs in
Enter product name,Voer productnaam in
Enter purchased amount,Voer aangekocht bedrag in
Enter quantity,Voer aantal in
Enter tax class name,Voer naam belastingklasse in
Enter the quantity,Voer het aantal in
Enter weight,Voer gewicht in
Environment,Omgeving
Error loading countries,Fout bij laden van landen
Error loading methods,Fout bij laden van methoden
Error loading packages,Fout bij laden van pakketten
Error loading providers,Fout bij laden van providers
Error loading zones,Fout bij laden van zones
EverShop · Back to page builder,EverShop · Terug naar paginabouwer
Every page rolls back to the rollout’s saved state.,Elke pagina wordt teruggezet naar de opgeslagen status van de uitrol.
Every page rolls back to what the rollout had saved.,Elke pagina wordt teruggezet naar wat de uitrol had opgeslagen.
Existing rollout plan: ${plan},Bestaand uitrolplan: ${plan}
Expand,Uitvouwen
Expand left rail,Linkerbalk uitvouwen
"Extra languages shoppers can switch to, on top of the default. The default language is always available — you don't add it here.","Extra talen waarnaar shoppers kunnen overschakelen, bovenop de standaardtaal. De standaardtaal is altijd beschikbaar — die voeg je hier niet toe."
Failed to attach provider,Kon provider niet koppelen
Failed to delete ${name},Kon ${name} niet verwijderen
Failed to detach ${name},Kon ${name} niet loskoppelen
Failed to remove rate,Kon tarief niet verwijderen
Failed to remove zone,Kon zone niet verwijderen
Failed to save change,Kon wijziging niet opslaan
Failed to save rate,Kon tarief niet opslaan
Failed to save zone,Kon zone niet opslaan
Failed to update rollout schedule,Kon uitrolschema niet bijwerken
Fixed discount to entire order,Vaste korting op de hele bestelling
Fixed discount to specific products,Vaste korting op specifieke producten
Flat rate,Vast tarief
"Flat rate in cart currency, tax-exclusive.","Vast tarief in winkelwagenvaluta, exclusief belasting."
Free shipping?,Gratis verzending?
General Information,Algemene informatie
Give Feedback,Feedback geven
Global,Globaal
Globals,Globale items
Group,Groep
Group Name,Groepsnaam
Group name is required,Groepsnaam is vereist
Groups,Groepen
Half-open interval — a cart at exactly Max is excluded (the next tier's Min owns that point).,Half-open interval — een winkelwagen op exact Max wordt uitgesloten (de Min van het volgende niveau bezit dat punt).
Has conflicts,Heeft conflicten
Heads up — ,Let op — 
Height,Hoogte
Height is required (0 for envelopes),Hoogte is vereist (0 voor enveloppen)
Height must be 0 or greater,Hoogte moet 0 of groter zijn
Hide global areas,Globale gebieden verbergen
Higest tax rate based on cart items,Hoogste belastingtarief op basis van winkelwagenitems
Highlight global areas on canvas,Globale gebieden op canvas markeren
Image,Afbeelding
Include In Menu,Opnemen in menu
Include in Store Menu?,Opnemen in winkelmenu?
Increase,Verhogen
Insert image,Afbeelding invoegen
Integer,Geheel getal
Invalid folder name,Ongeldige mapnaam
Invalid start,Ongeldige start
Invalid window,Ongeldig venster
Inventory,Voorraad
Is compound,Is samengesteld
Its rates will be removed too. This cannot be undone.,De bijbehorende tarieven worden ook verwijderd. Dit kan niet ongedaan worden gemaakt.
Languages,Talen
Layers,Lagen
Layout,Lay-out
Leave,Verlaten
Leave a country's list empty to cover the whole country. Add provinces to restrict shipping to specific regions.,Laat de lijst van een land leeg om het hele land te dekken. Voeg provincies toe om verzending te beperken tot specifieke regio's.
Leaving now may drop the most recent edits that haven’t reached the server yet.,Nu vertrekken kan de meest recente wijzigingen die de server nog niet hebben bereikt verliezen.
Length,Lengte
Length is required,Lengte is vereist
Length must be greater than 0,Lengte moet groter zijn dan 0
Live,Live
Loading...,Laden...
Long text,Lange tekst
Lower values appear first.,Lagere waarden verschijnen eerst.
Manage Stock,Voorraad beheren
Manage general information about the collection.,Beheer algemene informatie over de collectie.
Manage product images and gallery. Drag and drop to reorder images.,Beheer productafbeeldingen en galerij. Sleep en zet neer om afbeeldingen opnieuw te ordenen.
"Manage shipping integrations and their methods (Core, USPS, FedEx, …)","Beheer verzendintegraties en hun methoden (Core, USPS, FedEx, …)"
Manage tax classes and tax rates for different regions.,Beheer belastingklassen en belastingtarieven voor verschillende regio's.
Manage the SEO settings of the category.,Beheer de SEO-instellingen van de categorie.
Manage the SEO settings.,Beheer de SEO-instellingen.
Manage the attributes.,Beheer de kenmerken.
Manage the collections associated with this product.,Beheer de collecties die aan dit product zijn gekoppeld.
Manage the general information of the category.,Beheer de algemene informatie van de categorie.
Manage the general information of the product.,Beheer de algemene informatie van het product.
Manage the inventory settings of the product.,Beheer de voorraadinstellingen van het product.
Manage the products assigned to this category.,Beheer de producten die aan deze categorie zijn toegewezen.
Manage the products assigned to this collection.,Beheer de producten die aan deze collectie zijn toegewezen.
Manage the shipping settings of the product.,Beheer de verzendinstellingen van het product.
Manage the status settings of the category.,Beheer de statusinstellingen van de categorie.
Manage the variant group of the product.,Beheer de variantgroep van het product.
Marketing,Marketing
Max ${unit},Max ${unit}
Max is required,Max is verplicht
Maximum,Maximum
Maximum amount is ${value} ${currency},Maximumbedrag is ${value} ${currency}
Maximum quantity is required,Maximumaantal is verplicht
Maximum quantity must be greater than or equal to 0,Maximumaantal moet groter dan of gelijk aan 0 zijn
Media,Media
Meta Description,Meta-beschrijving
Meta Title,Meta-titel
Meta Title is required,Meta-titel is verplicht
Meta description,Meta-beschrijving
Meta description is required,Meta-beschrijving is verplicht
Meta title,Meta-titel
Meta title is required,Meta-titel is verplicht
Method,Methode
Method created,Methode aangemaakt
Method name,Methodenaam
Method name is required,Methodenaam is verplicht
Method updated,Methode bijgewerkt
Methods →,Methoden →
Min ${unit},Min ${unit}
Min Price,Min. prijs
Min Weight,Min. gewicht
Min is required,Min is verplicht
Min price is required,Min. prijs is verplicht
Min weight is required,Min. gewicht is verplicht
Minimum purchase amount,Minimaal aankoopbedrag
Minimum purchase qty,Min. aankoopaantal
Minimum purchase quantity,Minimaal aankoopaantal
Minimum purchased amount. This only applies to registered customers.,Minimaal aankoopbedrag. Dit geldt alleen voor geregistreerde klanten.
Minimum quantity is required,Minimumaantal is verplicht
Missing name,Naam ontbreekt
Money,Geld
Name is required.,Naam is verplicht.
Navigation,Navigatie
New Attribute,Nieuw attribuut
New Category,Nieuwe categorie
New Collection,Nieuwe collectie
New Coupon,Nieuwe kortingsbon
New Page,Nieuwe pagina
New Variant,Nieuwe variant
New coupon,Nieuwe kortingsbon
New rate,Nieuw tarief
No collections,Geen collecties
No editable routes.,Geen bewerkbare routes.
No file selected,Geen bestand geselecteerd
No methods yet — add one to start offering Core shipping.,Nog geen methoden — voeg er een toe om Core-verzending aan te bieden.
No packages yet. Create one — shippable products require a package.,Nog geen pakketten. Maak er een aan — verzendbare producten vereisen een pakket.
No product to display.,Geen product om weer te geven.
"No providers attached. Click ""Attach Provider"" to add one.","Geen providers gekoppeld. Klik op ""Provider koppelen"" om er een toe te voegen."
"No rates yet — click ""Add Rate"" to offer this method in a zone.","Nog geen tarieven — klik op ""Tarief toevoegen"" om deze methode in een zone aan te bieden."
"No results for ""${keyword}""","Geen resultaten voor ""${keyword}"""
No routes have opted into page-builder editing yet.,Nog geen routes hebben page-builder-bewerking ingeschakeld.
No shipping required?,Geen verzending vereist?
No subdivisions available — whole country is covered.,Geen onderverdelingen beschikbaar — het hele land is gedekt.
No widgets available.,Geen widgets beschikbaar.
"No widgets match ""${query}"".","Geen widgets komen overeen met ""${query}""."
No widgets on this route yet.,Nog geen widgets op deze route.
No zones,Geen zones
No zones found,Geen zones gevonden
Not visible individually,Niet afzonderlijk zichtbaar
Nothing to publish,Niets om te publiceren
Nothing to redo on this page,Niets om opnieuw uit te voeren op deze pagina
Nothing to undo on this page,Niets om ongedaan te maken op deze pagina
Number,Nummer
Option text is required,Optietekst is verplicht
Optional. Added to the shipping weight for quotes and labels.,Optioneel. Wordt toegevoegd aan het verzendgewicht voor offertes en labels.
Order Number,Bestelnummer
Order conditions,Bestelvoorwaarden
Orders (${count}),Bestellingen (${count})
Other,Overig
Other pages keep their pending changes.,Andere pagina's behouden hun openstaande wijzigingen.
Overlaps with existing rollout: ${plans}.,Overlapt met bestaande uitrol: ${plans}.
Overlaps with existing rollouts: ${plans}.,Overlapt met bestaande uitrollen: ${plans}.
Package,Pakket
Package created,Pakket aangemaakt
Package deleted,Pakket verwijderd
Package saved,Pakket opgeslagen
Packages,Pakketten
Page Name,Paginanaam
Page Not Found,Pagina niet gevonden
Page builder,Page builder
Page builder canvas,Page builder-canvas
Page created successfully!,Pagina succesvol aangemaakt!
Page is required,Pagina is verplicht
Page name is required,Paginanaam is verplicht
Pages,Pagina's
Parent category,Bovenliggende categorie
Payment Setting,Betaalinstelling
Payment mode,Betaalmodus
Payment setting saved,Betaalinstelling opgeslagen
Paypal Payment,PayPal-betaling
Pending start time,In afwachting van starttijd
Percentage discount to entire order,Procentuele korting op de hele bestelling
Percentage discount to specific products,Procentuele korting op specifieke producten
Phone,Telefoon
Pick a start time to schedule this rollout.,Kies een starttijd om deze uitrol in te plannen.
Pick a widget below to insert as a child.,Kies hieronder een widget om als onderliggend element in te voegen.
Pick up where you left off — ${count} pending changes,Ga verder waar je was gebleven — ${count} openstaande wijzigingen
Pick up where you left off — 1 pending change,Ga verder waar je was gebleven — 1 openstaande wijziging
Pin drawer open,Lade vastgezet open houden
Pin — keep drawer open across canvas clicks,Vastzetten — lade open houden bij klikken op canvas
Placed on: ${routes},Geplaatst op: ${routes}
Placements,Plaatsingen
Postal Code,Postcode
"Postcode (e.g., ""90210""). Empty for all postcodes.","Postcode (bijv. ""90210""). Leeg voor alle postcodes."
Preselected for new products. Exactly one package is the default.,Vooraf geselecteerd voor nieuwe producten. Precies één pakket is de standaard.
Preview,Voorbeeld
Price-based tiers,Op prijs gebaseerde niveaus
Priority,Prioriteit
Priority is required,Prioriteit is verplicht
Product Name,Productnaam
Product Status,Productstatus
Product created successfully,Product succesvol aangemaakt
Product updated successfully,Product succesvol bijgewerkt
Products (${count}),Producten (${count})
Promotion,Promotie
Proportional allocation based on cart items,Proportionele toewijzing op basis van winkelwagenartikelen
Provide the SEO details for the CMS page.,Geef de SEO-details voor de CMS-pagina op.
Provide the basic information for the CMS page.,Geef de basisinformatie voor de CMS-pagina op.
Provider,Provider
Province Restrictions,Provinciebeperkingen
"Province code (e.g., ""CA""). Use ""*"" for all provinces.","Provinciecode (bijv. ""CA""). Gebruik ""*"" voor alle provincies."
Provinces,Provincies
Provinces is required,Provincies is verplicht
Provinces:,Provincies:
Publish failed,Publiceren mislukt
Publish now,Nu publiceren
Publish to the live storefront,Publiceren naar de live winkel
Publishable Key,Publiceerbare sleutel
Publishing…,Bezig met publiceren…
Qty is required,Aantal is verplicht
Quick links,Snelkoppelingen
Rate,Tarief
Rate added,Tarief toegevoegd
Rate is required,Tarief is verplicht
Rate removed,Tarief verwijderd
Rate status,Tariefstatus
Rate updated,Tarief bijgewerkt
Redo (⇧⌘Z) — re-applies the last undone edit on this page,Opnieuw (⇧⌘Z) — past de laatst ongedaan gemaakte bewerking op deze pagina opnieuw toe
Redo last undone change on this page,Laatst ongedaan gemaakte wijziging op deze pagina opnieuw uitvoeren
Reference,Referentie
Refund,Terugbetaling
Refund amount,Terugbetalingsbedrag
Remove Zone,Zone verwijderen
Remove placement,Plaatsing verwijderen
Remove rate,Tarief verwijderen
Remove this rate?,Dit tarief verwijderen?
Removed,Verwijderd
Resize settings drawer,Formaat van instellingenpaneel wijzigen
"Results for ""${keyword}""","Resultaten voor ""${keyword}"""
Revert all pages to saved state,Alle pagina's terugzetten naar opgeslagen staat
Revert everything,Alles terugdraaien
Revert this page,Deze pagina terugdraaien
Revert this page only,Alleen deze pagina terugdraaien
Revert to saved state?,Terugzetten naar opgeslagen staat?
Reverting…,Bezig met terugdraaien…
Rich text,Opgemaakte tekst
Roll back the changes you have made since this rollout was last saved. The live storefront is unaffected — it already reflects the saved state.,Draai de wijzigingen terug die je hebt gemaakt sinds deze uitrol voor het laatst is opgeslagen. De live winkel blijft ongewijzigd — die toont al de opgeslagen staat.
SEO,SEO
SEO Information,SEO-informatie
SKU is required,SKU is verplicht
Sale,Uitverkoop
Sandbox,Sandbox
Save Settings,Instellingen opslaan
Save as rollout plan,Opslaan als uitrolplan
Save as rollout plan and leave,Opslaan als uitrolplan en verlaten
Save changes,Wijzigingen opslaan
Save failed,Opslaan mislukt
Save method,Methode opslaan
Save rate,Tarief opslaan
Saving…,Bezig met opslaan…
Schedule failed,Plannen mislukt
Scheduled,Gepland
Search engine optimize,Optimaliseren voor zoekmachines
Search widgets,Widgets zoeken
Secret Key,Geheime sleutel
Select Category,Categorie selecteren
Select Parent Category,Bovenliggende categorie selecteren
Select Products by SKU,Producten selecteren op SKU
Select a provider first,Selecteer eerst een aanbieder
Select a provider…,Selecteer een aanbieder…
Select an option,Selecteer een optie
Select category,Categorie selecteren
Select countries,Landen selecteren
Select operator,Operator selecteren
Select options,Opties selecteren
Select page,Pagina selecteren
Select products to add to this collection.,Selecteer producten om aan deze collectie toe te voegen.
Select the list of attribute,Selecteer de lijst met attributen
Select this option if the product is a digital product or service that does not require shipping.,Selecteer deze optie als het product een digitaal product of een dienst is waarvoor geen verzending nodig is.
Set a start time to schedule.,Stel een starttijd in om te plannen.
Set the status and visibility of the product.,Stel de status en zichtbaarheid van het product in.
Share,Delen
Shipping Cost,Verzendkosten
Shipping Providers,Verzendaanbieders
Shipping address,Verzendadres
Shipping cost is required,Verzendkosten zijn verplicht
Shipping provider setting saved,Instelling verzendaanbieder opgeslagen
Shipping tax class,Btw-klasse verzending
Short text,Korte tekst
Show global areas,Globale gebieden tonen
Show on routes,Tonen op routes
Show products?,Producten tonen?
Show this widget on every page,Deze widget op elke pagina tonen
Size (L × W × H),Afmetingen (L × B × H)
Sort,Sorteren
Sort order is required,Sorteervolgorde is verplicht
Sort order must be a positive number,Sorteervolgorde moet een positief getal zijn
Start,Start
Start a page-builder session,Een paginabouwer-sessie starten
Start date,Startdatum
Start new changeset,Nieuwe wijzigingenset starten
Start time is invalid.,Starttijd is ongeldig.
State Date,Statusdatum
Status is required,Status is verplicht
Stay,Blijven
Stay on this page,Op deze pagina blijven
Stock Availability,Voorraadbeschikbaarheid
Stop highlighting global areas,Stop met markeren van globale gebieden
Store Address,Winkeladres
Store Description,Winkelbeschrijving
Store Email,Winkel-e-mail
Store Name,Winkelnaam
Store Phone Number,Telefoonnummer winkel
Store Setting,Winkelinstelling
Store Settings,Winkelinstellingen
Store address,Winkeladres
Storefront,Winkel
Stripe Payment,Stripe-betaling
Tablet,Tablet
Take our survey,Doe onze enquête
Target Products,Doelproducten
Tax Class,Btw-klasse
Tax calculation configuration,Configuratie btw-berekening
Tax class name,Naam btw-klasse
Tax class name is required,Naam btw-klasse is verplicht
Tax classes,Btw-klassen
Tax rate has been saved successfully!,Btw-tarief is succesvol opgeslagen!
Tax setting has been saved successfully!,Btw-instelling is succesvol opgeslagen!
The box or envelope this product ships in. Applies to all variants of this product.,De doos of envelop waarin dit product wordt verzonden. Van toepassing op alle varianten van dit product.
The boxes and envelopes you ship with. Every shippable product references one — its dimensions and empty weight drive shipping quotes and labels.,De dozen en enveloppen waarmee je verzendt. Elk verzendbaar product verwijst naar één — de afmetingen en het leeggewicht bepalen verzendprijzen en labels.
The conditions related to the customer for the coupon to be applied.,De voorwaarden met betrekking tot de klant waaronder de coupon wordt toegepast.
The conditions related to the order for the coupon to be applied.,De voorwaarden met betrekking tot de bestelling waaronder de coupon wordt toegepast.
The default package cannot be deleted,Het standaardpakket kan niet worden verwijderd
The draft holds ${count} saved changes you can publish later.,Het concept bevat ${count} opgeslagen wijzigingen die je later kunt publiceren.
The draft holds 1 saved change you can publish later.,Het concept bevat 1 opgeslagen wijziging die je later kunt publiceren.
The draft is deleted.,Het concept is verwijderd.
The draft itself is deleted.,Het concept zelf is verwijderd.
The general information about the coupon.,De algemene informatie over de coupon.
"The language of the admin panel, independent of the storefront.","De taal van het beheerpaneel, onafhankelijk van de winkel."
The method will no longer apply to this zone.,De methode is niet langer van toepassing op deze zone.
The minimum quantity of items required in the order to qualify for this coupon.,Het minimumaantal artikelen dat in de bestelling vereist is om in aanmerking te komen voor deze coupon.
The minimum total amount required for the order to qualify for this coupon.,Het minimale totaalbedrag dat vereist is om de bestelling in aanmerking te laten komen voor deze coupon.
The rollout plan,Het uitrolplan
The storefront's primary language. Pages in this language have no URL prefix.,De primaire taal van de winkel. Pagina's in deze taal hebben geen URL-voorvoegsel.
The type of discount applied by the coupon.,Het type korting dat door de coupon wordt toegepast.
The zone this rate applies to.,De zone waarop dit tarief van toepassing is.
"There is no ""Select"" attribute available.","Er is geen ""Select""-attribuut beschikbaar."
There is no attribute to display,Er is geen attribuut om weer te geven
There is no category to display,Er is geen categorie om weer te geven
There is no collections to display,Er zijn geen collecties om weer te geven
There is no coupon to display,Er is geen coupon om weer te geven
There is no customer to display,Er is geen klant om weer te geven
