Welcome Back!,Bem-vindo de volta!
Basic configuration,Configuração básica
Boolean,Booleano
Built-in shipping methods with per-zone rates. Attach Core to a zone first under Settings → Shipping; then add methods here and configure their rates per zone.,Métodos de envio integrados com tarifas por zona. Primeiro anexe o Core a uma zona em Configurações → Envio; depois adicione métodos aqui e configure suas tarifas por zona.
Buy X get Y,Compre X leve Y
CMS,CMS
Calculation type,Tipo de cálculo
Can not change the attribute group of a product that is already in a variant group.,Não é possível alterar o grupo de atributos de um produto que já está em um grupo de variantes.
Cancel rollout,Cancelar implantação
Cancel rollout plan?,Cancelar plano de implantação?
Canvas device width,Largura do dispositivo da tela
Capture,Capturar
Capture Payment,Capturar pagamento
Carrier hint for fulfillment — never shown at checkout. NewShipmentDialog uses this to pre-select the carrier.,Dica de transportadora para o processamento — nunca exibida no checkout. O NewShipmentDialog usa isto para pré-selecionar a transportadora.
Carrier-specific service code used when buying a label (CreateLabelInput.serviceCode). Free-form — verify the exact token in the carrier's API docs. Leave blank to let the carrier pick its default service.,Código de serviço específico da transportadora usado ao comprar uma etiqueta (CreateLabelInput.serviceCode). Formato livre — verifique o token exato na documentação da API da transportadora. Deixe em branco para permitir que a transportadora escolha seu serviço padrão.
Cash On Delivery Payment,Pagamento na entrega
"Catalog, Search","Catálogo, Pesquisa"
Category Image,Imagem da categoria
Category Name,Nome da categoria
Category created successfully!,Categoria criada com sucesso!
Category name is required,O nome da categoria é obrigatório
Choose Attribute Groups,Escolher grupos de atributos
Choose Categories,Escolher categorias
Choose Collections,Escolher coleções
Choose SKUs,Escolher SKUs
Choose how much of your unpublished work to discard. The published storefront is not affected.,Escolha quanto do seu trabalho não publicado descartar. A loja publicada não é afetada.
Choose where you ship and how much you charge for shipping.,Escolha para onde você envia e quanto cobra pelo envio.
Clear filter,Limpar filtro
Clear filters,Limpar filtros
Client ID,ID do cliente
Client Secret,Segredo do cliente
Close,Fechar
Close settings,Fechar configurações
Close — continue draft,Fechar — continuar rascunho
Cms Pages,Páginas CMS
Collapse left rail,Recolher barra esquerda
Collapse panel,Recolher painel
Collection Code,Código da coleção
Collection Name,Nome da coleção
Collection code is required,O código da coleção é obrigatório
Collection code must be alphanumeric and can include underscores or dashes.,O código da coleção deve ser alfanumérico e pode incluir sublinhados ou hífens.
Collection created successfully!,Coleção criada com sucesso!
Color,Cor
Commerce,Comércio
Compound,Composto
Condition,Condição
Configure,Configurar
Configure cost and conditions per zone. Zones without a rate don't offer this method.,Configure o custo e as condições por zona. Zonas sem tarifa não oferecem este método.
Configure rate,Configurar tarifa
Configure the available payment methods,Configurar os métodos de pagamento disponíveis
Configure the settings for the ${name} widget.,Configure as opções do widget ${name}.
Configure the tax classes that will be available to your customers at checkout.,Configure as classes de imposto que estarão disponíveis para seus clientes no checkout.
Configure your Cash On Delivery payment gateway settings,Configure as opções do gateway de pagamento na entrega
Configure your Paypal payment gateway settings,Configure as opções do gateway de pagamento PayPal
Configure your Stripe payment gateway settings,Configure as opções do gateway de pagamento Stripe
Configure your store information,Configure as informações da sua loja
"Conflicts with ${plan1}, ${plan2}","Conflita com ${plan1}, ${plan2}"
Conflicts with ${plan},Conflita com ${plan}
Conflicts with ${plan} +${count},Conflita com ${plan} +${count}
Conflicts with:,Conflita com:
Content,Conteúdo
Continue a saved rollout plan,Continuar um plano de implantação salvo
Continue your draft,Continuar seu rascunho
Core Shipping,Envio Core
Core isn't attached to any zone yet. Attach it under Settings → Shipping first.,O Core ainda não está anexado a nenhuma zona. Anexe-o primeiro em Configurações → Envio.
Cost,Custo
Cost is required,O custo é obrigatório
Could not start fresh,Não foi possível recomeçar
Countries,Países
"Country code (e.g., ""US""). Use ""*"" for all countries.","Código do país (ex.: ""US""). Use ""*"" para todos os países."
Coupon Code,Código do cupom
"Coupon code can only contain letters, numbers, underscores, and hyphens","O código do cupom só pode conter letras, números, sublinhados e hífens"
Coupon created successfully!,Cupom criado com sucesso!
Coupons,Cupons
Create A New Customer,Criar um novo cliente
Create New Package,Criar novo pacote
Create New Tax Class,Criar nova classe de imposto
Create New Zone,Criar nova zona
Create a new category,Criar uma nova categoria
Create a new collection,Criar uma nova coleção
Create a new coupon,Criar um novo cupom
Create a new page,Criar uma nova página
Create a new product,Criar um novo produto
Create a new variant for this product.,Criar uma nova variante para este produto.
Create a new widget,Criar um novo widget
Create a variant group,Criar um grupo de variantes
Create method,Criar método
Create new tax class,Criar nova classe de imposto
Create rollout plan,Criar plano de implantação
Created At,Criado em
Current,Atual
Customer,Cliente
Customer Email,E-mail do cliente
Customer conditions,Condições do cliente
Customer emails,E-mails do cliente
Customer groups,Grupos de clientes
Customer's purchase,Compra do cliente
Customers,Clientes
Customers (${count}),Clientes (${count})
Customers in ${zone} will no longer see ${name}'s methods at checkout. You can re-attach it later.,Os clientes em ${zone} não verão mais os métodos de ${name} no checkout. Você pode reanexá-lo mais tarde.
Dashboard,Painel
Date,Data
Decrease,Diminuir
Default carrier,Transportadora padrão
Default language,Idioma padrão
Default package,Pacote padrão
Default service code,Código de serviço padrão
"Delete ""${name}""?","Excluir ""${name}""?"
Delete ${count} attributes,Excluir ${count} atributos
Delete ${count} categories,Excluir ${count} categorias
Delete ${count} collections,Excluir ${count} coleções
Delete ${count} pages,Excluir ${count} páginas
Delete ${count} widgets,Excluir ${count} widgets
Delete container widget?,Excluir widget de contêiner?
Delete image,Excluir imagem
"Delete package ""${name}""?","Excluir pacote ""${name}""?"
Delete this,Excluir isto
Delete this widget? This will be saved as a pending change you can publish or discard.,Excluir este widget? Isto será salvo como uma alteração pendente que você pode publicar ou descartar.
Delete widget?,Excluir widget?
Delete zone,Excluir zona
"Delete zone ""${name}""?","Excluir zona ""${name}""?"
Deleted ${name},${name} excluído
Deleting this,Excluir isto
Deleting this container will also hide,Excluir este contêiner também ocultará
Description is required,A descrição é obrigatória
Desktop,Desktop
Detach,Desanexar
Detach ${name}?,Desanexar ${name}?
Disable ${count} pages,Desativar ${count} páginas
Disable ${count} widgets,Desativar ${count} widgets
Disabled products will not be visible in the store and cannot be purchased.,Produtos desativados não ficarão visíveis na loja e não poderão ser comprados.
Discard changes on this page only,Descartar alterações apenas nesta página
Discard everything,Descartar tudo
Discard everything in this draft,Descartar tudo neste rascunho
Discard failed,Falha ao descartar
Discard pending changes?,Descartar alterações pendentes?
Discard this page,Descartar esta página
Discarding…,Descartando…
Discount Type,Tipo de desconto
Discount amount,Valor do desconto
Discount amount is required,O valor do desconto é obrigatório
Discount type is required,O tipo de desconto é obrigatório
Dislay Name,Nome de exibição
Display Name,Nome de exibição
Draft,Rascunho
Draft — not scheduled,Rascunho — não agendado
Drag to resize,Arraste para redimensionar
"Each row places this widget on one page, in one area, with its own sort order. Lower numbers appear first.","Cada linha posiciona este widget em uma página, em uma área, com sua própria ordem de classificação. Números menores aparecem primeiro."
Edit ${name},Editar ${name}
Edit Shipping Zone,Editar zona de envio
Edit Tax Rate,Editar alíquota de imposto
Edit Variant,Editar variante
Edit Zone,Editar zona
Edit against the live storefront. Publish immediately or save as a rollout plan.,Edite na loja ao vivo. Publique imediatamente ou salve como um plano de implantação.
Edit rollout schedule,Editar cronograma de implantação
Editable routes,Rotas editáveis
Editing ${coupon},Editando ${coupon}
Editing ${fullName},Editando ${fullName}
Editing widget ${name},Editando widget ${name}
Edits to a shared widget update every route it appears on.,As edições em um widget compartilhado atualizam todas as rotas em que ele aparece.
Empty package weight,Peso do pacote vazio
Empty weight,Peso vazio
Enable ${count} pages,Ativar ${count} páginas
Enable ${count} widgets,Ativar ${count} widgets
Enable this page to make it visible on the frontend.,Ative esta página para torná-la visível no frontend.
Enable?,Ativar?
End,Fim
End Date,Data de término
End date,Data de término
End time is invalid.,O horário de término é inválido.
End time must be after start time.,O horário de término deve ser posterior ao horário de início.
Enter Category Name,Informe o nome da categoria
Enter Collection Name,Informe o nome da coleção
Enter Meta Description,Informe a Meta descrição
Enter Meta Title,Informe o Meta título
Enter Meta description,Informe a Meta descrição
Enter Meta title,Informe o Meta título
Enter SKU,Informe o SKU
Enter URL Key,Informe a chave de URL
Enter URL key,Informe a chave de URL
Enter customer emails,Informe os e-mails dos clientes
Enter description,Informe a descrição
Enter group name,Informe o nome do grupo
Enter meta description,Informe a meta descrição
Enter meta title,Informe o meta título
Enter page name,Informe o nome da página
Enter price,Informe o preço
Enter product name,Informe o nome do produto
Enter purchased amount,Informe o valor da compra
Enter quantity,Informe a quantidade
Enter tax class name,Informe o nome da classe de imposto
Enter the quantity,Informe a quantidade
Enter weight,Informe o peso
Environment,Ambiente
Error loading countries,Erro ao carregar países
Error loading methods,Erro ao carregar métodos
Error loading packages,Erro ao carregar pacotes
Error loading providers,Erro ao carregar provedores
Error loading zones,Erro ao carregar zonas
EverShop · Back to page builder,EverShop · Voltar ao construtor de páginas
Every page rolls back to the rollout’s saved state.,Cada página é revertida para o estado salvo da implantação.
Every page rolls back to what the rollout had saved.,Cada página é revertida para o que a implantação havia salvo.
Existing rollout plan: ${plan},Plano de implantação existente: ${plan}
Expand,Expandir
Expand left rail,Expandir barra lateral esquerda
"Extra languages shoppers can switch to, on top of the default. The default language is always available — you don't add it here.","Idiomas adicionais para os quais os clientes podem alternar, além do padrão. O idioma padrão está sempre disponível — você não o adiciona aqui."
Failed to attach provider,Falha ao anexar o provedor
Failed to delete ${name},Falha ao excluir ${name}
Failed to detach ${name},Falha ao desanexar ${name}
Failed to remove rate,Falha ao remover a alíquota
Failed to remove zone,Falha ao remover a zona
Failed to save change,Falha ao salvar a alteração
Failed to save rate,Falha ao salvar a alíquota
Failed to save zone,Falha ao salvar a zona
Failed to update rollout schedule,Falha ao atualizar o cronograma de implantação
Fixed discount to entire order,Desconto fixo no pedido inteiro
Fixed discount to specific products,Desconto fixo em produtos específicos
Flat rate,Taxa fixa
"Flat rate in cart currency, tax-exclusive.","Taxa fixa na moeda do carrinho, sem impostos."
Free shipping?,Frete grátis?
General Information,Informações gerais
Give Feedback,Enviar feedback
Global,Global
Globals,Globais
Group,Grupo
Group Name,Nome do grupo
Group name is required,O nome do grupo é obrigatório
Groups,Grupos
Half-open interval — a cart at exactly Max is excluded (the next tier's Min owns that point).,Intervalo semiaberto — um carrinho exatamente no Máx é excluído (o Mín do próximo nível possui esse ponto).
Has conflicts,Tem conflitos
Heads up — ,Atenção — 
Height,Altura
Height is required (0 for envelopes),A altura é obrigatória (0 para envelopes)
Height must be 0 or greater,A altura deve ser 0 ou maior
Hide global areas,Ocultar áreas globais
Higest tax rate based on cart items,Maior alíquota de imposto com base nos itens do carrinho
Highlight global areas on canvas,Destacar áreas globais na tela
Image,Imagem
Include In Menu,Incluir no menu
Include in Store Menu?,Incluir no menu da loja?
Increase,Aumentar
Insert image,Inserir imagem
Integer,Inteiro
Invalid folder name,Nome de pasta inválido
Invalid start,Início inválido
Invalid window,Janela inválida
Inventory,Estoque
Is compound,É composto
Its rates will be removed too. This cannot be undone.,As suas alíquotas também serão removidas. Isso não pode ser desfeito.
Languages,Idiomas
Layers,Camadas
Layout,Layout
Leave,Sair
Leave a country's list empty to cover the whole country. Add provinces to restrict shipping to specific regions.,Deixe a lista de um país vazia para cobrir o país inteiro. Adicione províncias para restringir o envio a regiões específicas.
Leaving now may drop the most recent edits that haven’t reached the server yet.,Sair agora pode descartar as edições mais recentes que ainda não chegaram ao servidor.
Length,Comprimento
Length is required,O comprimento é obrigatório
Length must be greater than 0,O comprimento deve ser maior que 0
Live,Ao vivo
Loading...,Carregando...
Long text,Texto longo
Lower values appear first.,Valores menores aparecem primeiro.
Manage Stock,Gerenciar estoque
Manage general information about the collection.,Gerencie as informações gerais sobre a coleção.
Manage product images and gallery. Drag and drop to reorder images.,Gerencie as imagens e a galeria do produto. Arraste e solte para reordenar as imagens.
"Manage shipping integrations and their methods (Core, USPS, FedEx, …)","Gerencie integrações de envio e seus métodos (Core, USPS, FedEx, …)"
Manage tax classes and tax rates for different regions.,Gerencie classes de imposto e alíquotas para diferentes regiões.
Manage the SEO settings of the category.,Gerencie as configurações de SEO da categoria.
Manage the SEO settings.,Gerencie as configurações de SEO.
Manage the attributes.,Gerencie os atributos.
Manage the collections associated with this product.,Gerencie as coleções associadas a este produto.
Manage the general information of the category.,Gerencie as informações gerais da categoria.
Manage the general information of the product.,Gerencie as informações gerais do produto.
Manage the inventory settings of the product.,Gerencie as configurações de estoque do produto.
Manage the products assigned to this category.,Gerencie os produtos atribuídos a esta categoria.
Manage the products assigned to this collection.,Gerencie os produtos atribuídos a esta coleção.
Manage the shipping settings of the product.,Gerencie as configurações de envio do produto.
Manage the status settings of the category.,Gerencie as configurações de status da categoria.
Manage the variant group of the product.,Gerencie o grupo de variantes do produto.
Marketing,Marketing
Max ${unit},Máx ${unit}
Max is required,Máximo é obrigatório
Maximum,Máximo
Maximum amount is ${value} ${currency},O valor máximo é ${value} ${currency}
Maximum quantity is required,A quantidade máxima é obrigatória
Maximum quantity must be greater than or equal to 0,A quantidade máxima deve ser maior ou igual a 0
Media,Mídia
Meta Description,Meta Descrição
Meta Title,Meta Título
Meta Title is required,Meta Título é obrigatório
Meta description,Meta descrição
Meta description is required,Meta descrição é obrigatória
Meta title,Meta título
Meta title is required,Meta título é obrigatório
Method,Método
Method created,Método criado
Method name,Nome do método
Method name is required,O nome do método é obrigatório
Method updated,Método atualizado
Methods →,Métodos →
Min ${unit},Mín ${unit}
Min Price,Preço Mín
Min Weight,Peso Mín
Min is required,Mínimo é obrigatório
Min price is required,O preço mínimo é obrigatório
Min weight is required,O peso mínimo é obrigatório
Minimum purchase amount,Valor mínimo de compra
Minimum purchase qty,Qtd mínima de compra
Minimum purchase quantity,Quantidade mínima de compra
Minimum purchased amount. This only applies to registered customers.,Valor mínimo de compra. Isto só se aplica a clientes registrados.
Minimum quantity is required,A quantidade mínima é obrigatória
Missing name,Nome ausente
Money,Dinheiro
Name is required.,O nome é obrigatório.
Navigation,Navegação
New Attribute,Novo Atributo
New Category,Nova Categoria
New Collection,Nova Coleção
New Coupon,Novo Cupom
New Page,Nova Página
New Variant,Nova Variação
New coupon,Novo cupom
New rate,Nova tarifa
No collections,Nenhuma coleção
No editable routes.,Nenhuma rota editável.
No file selected,Nenhum arquivo selecionado
No methods yet — add one to start offering Core shipping.,Ainda não há métodos — adicione um para começar a oferecer envio Core.
No packages yet. Create one — shippable products require a package.,Ainda não há embalagens. Crie uma — produtos enviáveis exigem uma embalagem.
No product to display.,Nenhum produto para exibir.
"No providers attached. Click ""Attach Provider"" to add one.","Nenhum provedor anexado. Clique em ""Anexar Provedor"" para adicionar um."
"No rates yet — click ""Add Rate"" to offer this method in a zone.","Ainda não há tarifas — clique em ""Adicionar Tarifa"" para oferecer este método em uma zona."
"No results for ""${keyword}""","Nenhum resultado para ""${keyword}"""
No routes have opted into page-builder editing yet.,Nenhuma rota optou pela edição do construtor de páginas ainda.
No shipping required?,Não requer envio?
No subdivisions available — whole country is covered.,Nenhuma subdivisão disponível — todo o país está coberto.
No widgets available.,Nenhum widget disponível.
"No widgets match ""${query}"".","Nenhum widget corresponde a ""${query}""."
No widgets on this route yet.,Ainda não há widgets nesta rota.
No zones,Nenhuma zona
No zones found,Nenhuma zona encontrada
Not visible individually,Não visível individualmente
Nothing to publish,Nada para publicar
Nothing to redo on this page,Nada para refazer nesta página
Nothing to undo on this page,Nada para desfazer nesta página
Number,Número
Option text is required,O texto da opção é obrigatório
Optional. Added to the shipping weight for quotes and labels.,Opcional. Adicionado ao peso de envio para cotações e etiquetas.
Order Number,Número do Pedido
Order conditions,Condições do pedido
Orders (${count}),Pedidos (${count})
Other,Outro
Other pages keep their pending changes.,Outras páginas mantêm suas alterações pendentes.
Overlaps with existing rollout: ${plans}.,Sobrepõe-se ao lançamento existente: ${plans}.
Overlaps with existing rollouts: ${plans}.,Sobrepõe-se aos lançamentos existentes: ${plans}.
Package,Embalagem
Package created,Embalagem criada
Package deleted,Embalagem excluída
Package saved,Embalagem salva
Packages,Embalagens
Page Name,Nome da Página
Page Not Found,Página Não Encontrada
Page builder,Construtor de páginas
Page builder canvas,Tela do construtor de páginas
Page created successfully!,Página criada com sucesso!
Page is required,A página é obrigatória
Page name is required,O nome da página é obrigatório
Pages,Páginas
Parent category,Categoria pai
Payment Setting,Configuração de Pagamento
Payment mode,Modo de pagamento
Payment setting saved,Configuração de pagamento salva
Paypal Payment,Pagamento Paypal
Pending start time,Hora de início pendente
Percentage discount to entire order,Desconto percentual sobre todo o pedido
Percentage discount to specific products,Desconto percentual sobre produtos específicos
Phone,Telefone
Pick a start time to schedule this rollout.,Escolha uma hora de início para agendar este lançamento.
Pick a widget below to insert as a child.,Escolha um widget abaixo para inserir como filho.
Pick up where you left off — ${count} pending changes,Continue de onde parou — ${count} alterações pendentes
Pick up where you left off — 1 pending change,Continue de onde parou — 1 alteração pendente
Pin drawer open,Fixar gaveta aberta
Pin — keep drawer open across canvas clicks,Fixar — manter a gaveta aberta entre cliques na tela
Placed on: ${routes},Colocado em: ${routes}
Placements,Posicionamentos
Postal Code,Código Postal
"Postcode (e.g., ""90210""). Empty for all postcodes.","Código postal (ex.: ""90210""). Vazio para todos os códigos postais."
Preselected for new products. Exactly one package is the default.,Pré-selecionado para novos produtos. Exatamente uma embalagem é a padrão.
Preview,Visualizar
Price-based tiers,Faixas baseadas em preço
Priority,Prioridade
Priority is required,A prioridade é obrigatória
Product Name,Nome do Produto
Product Status,Status do Produto
Product created successfully,Produto criado com sucesso
Product updated successfully,Produto atualizado com sucesso
Products (${count}),Produtos (${count})
Promotion,Promoção
Proportional allocation based on cart items,Alocação proporcional com base nos itens do carrinho
Provide the SEO details for the CMS page.,Forneça os detalhes de SEO para a página CMS.
Provide the basic information for the CMS page.,Forneça as informações básicas para a página CMS.
Provider,Provedor
Province Restrictions,Restrições de Província
"Province code (e.g., ""CA""). Use ""*"" for all provinces.","Código da província (ex.: ""CA""). Use ""*"" para todas as províncias."
Provinces,Províncias
Provinces is required,As províncias são obrigatórias
Provinces:,Províncias:
Publish failed,Falha na publicação
Publish now,Publicar agora
Publish to the live storefront,Publicar na loja ao vivo
Publishable Key,Chave Publicável
Publishing…,Publicando…
Qty is required,A quantidade é obrigatória
Quick links,Links rápidos
Rate,Tarifa
Rate added,Tarifa adicionada
Rate is required,A tarifa é obrigatória
Rate removed,Tarifa removida
Rate status,Status da tarifa
Rate updated,Tarifa atualizada
Redo (⇧⌘Z) — re-applies the last undone edit on this page,Refazer (⇧⌘Z) — reaplica a última edição desfeita nesta página
Redo last undone change on this page,Refazer a última alteração desfeita nesta página
Reference,Referência
Refund,Reembolso
Refund amount,Valor do reembolso
Remove Zone,Remover Zona
Remove placement,Remover posicionamento
Remove rate,Remover tarifa
Remove this rate?,Remover esta tarifa?
Removed,Removido
Resize settings drawer,Redimensionar gaveta de configurações
"Results for ""${keyword}""","Resultados para ""${keyword}"""
Revert all pages to saved state,Reverter todas as páginas para o estado salvo
Revert everything,Reverter tudo
Revert this page,Reverter esta página
Revert this page only,Reverter apenas esta página
Revert to saved state?,Reverter para o estado salvo?
Reverting…,Revertendo…
Rich text,Texto formatado
Roll back the changes you have made since this rollout was last saved. The live storefront is unaffected — it already reflects the saved state.,Desfaça as alterações que você fez desde a última vez que este lançamento foi salvo. A loja online ativa não é afetada — ela já reflete o estado salvo.
SEO,SEO
SEO Information,Informações de SEO
SKU is required,O SKU é obrigatório
Sale,Promoção
Sandbox,Sandbox
Save Settings,Salvar configurações
Save as rollout plan,Salvar como plano de lançamento
Save as rollout plan and leave,Salvar como plano de lançamento e sair
Save changes,Salvar alterações
Save failed,Falha ao salvar
Save method,Salvar método
Save rate,Salvar taxa
Saving…,Salvando…
Schedule failed,Falha ao agendar
Scheduled,Agendado
Search engine optimize,Otimizar para mecanismos de busca
Search widgets,Buscar widgets
Secret Key,Chave secreta
Select Category,Selecionar categoria
Select Parent Category,Selecionar categoria pai
Select Products by SKU,Selecionar produtos por SKU
Select a provider first,Selecione um provedor primeiro
Select a provider…,Selecione um provedor…
Select an option,Selecione uma opção
Select category,Selecionar categoria
Select countries,Selecionar países
Select operator,Selecionar operador
Select options,Selecionar opções
Select page,Selecionar página
Select products to add to this collection.,Selecione produtos para adicionar a esta coleção.
Select the list of attribute,Selecione a lista de atributos
Select this option if the product is a digital product or service that does not require shipping.,Selecione esta opção se o produto for um produto ou serviço digital que não requer envio.
Set a start time to schedule.,Defina um horário de início para agendar.
Set the status and visibility of the product.,Defina o status e a visibilidade do produto.
Share,Compartilhar
Shipping Cost,Custo de envio
Shipping Providers,Provedores de envio
Shipping address,Endereço de entrega
Shipping cost is required,O custo de envio é obrigatório
Shipping provider setting saved,Configuração do provedor de envio salva
Shipping tax class,Classe de imposto de envio
Short text,Texto curto
Show global areas,Mostrar áreas globais
Show on routes,Exibir nas rotas
Show products?,Mostrar produtos?
Show this widget on every page,Mostrar este widget em todas as páginas
Size (L × W × H),Tamanho (C × L × A)
Sort,Ordenar
Sort order is required,A ordem de classificação é obrigatória
Sort order must be a positive number,A ordem de classificação deve ser um número positivo
Start,Iniciar
Start a page-builder session,Iniciar uma sessão do construtor de páginas
Start date,Data de início
Start new changeset,Iniciar novo conjunto de alterações
Start time is invalid.,O horário de início é inválido.
State Date,Data de início
Status is required,O status é obrigatório
Stay,Permanecer
Stay on this page,Permanecer nesta página
Stock Availability,Disponibilidade em estoque
Stop highlighting global areas,Parar de destacar áreas globais
Store Address,Endereço da loja
Store Description,Descrição da loja
Store Email,E-mail da loja
Store Name,Nome da loja
Store Phone Number,Telefone da loja
Store Setting,Configuração da loja
Store Settings,Configurações da loja
Store address,Endereço da loja
Storefront,Loja online
Stripe Payment,Pagamento Stripe
Tablet,Tablet
Take our survey,Responda à nossa pesquisa
Target Products,Produtos-alvo
Tax Class,Classe de imposto
Tax calculation configuration,Configuração de cálculo de impostos
Tax class name,Nome da classe de imposto
Tax class name is required,O nome da classe de imposto é obrigatório
Tax classes,Classes de imposto
Tax rate has been saved successfully!,A taxa de imposto foi salva com sucesso!
Tax setting has been saved successfully!,A configuração de imposto foi salva com sucesso!
The box or envelope this product ships in. Applies to all variants of this product.,A caixa ou envelope em que este produto é enviado. Aplica-se a todas as variantes deste produto.
The boxes and envelopes you ship with. Every shippable product references one — its dimensions and empty weight drive shipping quotes and labels.,As caixas e envelopes que você usa para enviar. Todo produto enviável faz referência a um — suas dimensões e peso vazio determinam as cotações e etiquetas de envio.
The conditions related to the customer for the coupon to be applied.,As condições relacionadas ao cliente para que o cupom seja aplicado.
The conditions related to the order for the coupon to be applied.,As condições relacionadas ao pedido para que o cupom seja aplicado.
The default package cannot be deleted,O pacote padrão não pode ser excluído
The draft holds ${count} saved changes you can publish later.,O rascunho contém ${count} alterações salvas que você pode publicar mais tarde.
The draft holds 1 saved change you can publish later.,O rascunho contém 1 alteração salva que você pode publicar mais tarde.
The draft is deleted.,O rascunho foi excluído.
The draft itself is deleted.,O próprio rascunho foi excluído.
The general information about the coupon.,As informações gerais sobre o cupom.
"The language of the admin panel, independent of the storefront.","O idioma do painel administrativo, independente da loja online."
The method will no longer apply to this zone.,O método não se aplicará mais a esta zona.
The minimum quantity of items required in the order to qualify for this coupon.,A quantidade mínima de itens necessária no pedido para se qualificar para este cupom.
The minimum total amount required for the order to qualify for this coupon.,O valor total mínimo necessário para que o pedido se qualifique para este cupom.
The rollout plan,O plano de lançamento
The storefront's primary language. Pages in this language have no URL prefix.,O idioma principal da loja online. As páginas neste idioma não têm prefixo de URL.
The type of discount applied by the coupon.,O tipo de desconto aplicado pelo cupom.
The zone this rate applies to.,A zona à qual esta taxa se aplica.
"There is no ""Select"" attribute available.","Não há nenhum atributo ""Select"" disponível."
There is no attribute to display,Não há atributo para exibir
There is no category to display,Não há categoria para exibir
There is no collections to display,Não há coleções para exibir
There is no coupon to display,Não há cupom para exibir
