Welcome Back!,Bem-vindo de volta!
There is no customer to display,Não há cliente para exibir
There is no order to display,Não há pedido para exibir
There is no page to display,Não há página para exibir
There is no widget to display,Não há widget para exibir
There was an error fetching attribute groups.,Ocorreu um erro ao buscar os grupos de atributos.
There was an error fetching categories.,Ocorreu um erro ao buscar as categorias.
There was an error fetching collections.,Ocorreu um erro ao buscar as coleções.
There was an error fetching file browser APIs.,Ocorreu um erro ao buscar as APIs do navegador de arquivos.
There was an error fetching products.,Ocorreu um erro ao buscar os produtos.
This cannot be undone. Packages still assigned to products can't be removed.,Isso não pode ser desfeito. Pacotes ainda atribuídos a produtos não podem ser removidos.
This changeset has no operations yet.,Este conjunto de alterações ainda não tem operações.
This field is required,Este campo é obrigatório
This is the URL path for the CMS page.,Este é o caminho de URL da página do CMS.
This is the address used to calculate tax rates.,Este é o endereço usado para calcular as taxas de imposto.
This is the meta title for the CMS page.,Este é o meta título da página do CMS.
This is the name of the CMS page that will be displayed in the admin panel.,Este é o nome da página do CMS que será exibido no painel administrativo.
This is the tax class applied to shipping costs.,Esta é a classe de imposto aplicada aos custos de envio.
This product has some variants like color or size?,Este produto tem variantes como cor ou tamanho?
This provider has no per-zone configuration. Methods and per-zone rates are managed in the provider's own admin area.,Este provedor não possui configuração por zona. Os métodos e as taxas por zona são gerenciados na própria área administrativa do provedor.
This removes the zone along with its provider attachments and rates. This cannot be undone.,Isso remove a zona junto com seus anexos de provedor e taxas. Isso não pode ser desfeito.
This route has unpublished changes in your draft,Esta rota tem alterações não publicadas no seu rascunho
This will be saved as a pending change you can publish or discard.,Isso será salvo como uma alteração pendente que você pode publicar ou descartar.
Tiered,Escalonado
Type is required,O tipo é obrigatório
URL Key,Chave de URL
URL Key is required,A chave de URL é obrigatória
"URL Key must be lowercase and can only contain letters, numbers, and hyphens","A chave de URL deve estar em minúsculas e pode conter apenas letras, números e hífens"
URL key,Chave de URL
URL key is required,A chave de URL é obrigatória
URL key must be lowercase and can only contain alphanumeric characters and hyphens,A chave de URL deve estar em minúsculas e pode conter apenas caracteres alfanuméricos e hífens
Unassign,Desatribuir
Undo (⌘Z) — undoes your last edit on this page,Desfazer (⌘Z) — desfaz sua última edição nesta página
Undo / Redo,Desfazer / Refazer
Undo last change on this page,Desfazer a última alteração nesta página
Unknown,Desconhecido
Unlink,Desvincular
Unpin drawer,Desafixar painel
Unpin — drawer will close when you click empty canvas,Desafixar — o painel será fechado ao clicar na área vazia
Unpublished changes,Alterações não publicadas
Unsaved changes,Alterações não salvas
Update the name and active window for this rollout plan. Content edits are managed separately in the editor.,Atualize o nome e a janela ativa deste plano de lançamento. As edições de conteúdo são gerenciadas separadamente no editor.
Update the variant details and attributes here.,Atualize os detalhes e atributos da variante aqui.
Updated,Atualizado
Upload an image for the category.,Envie uma imagem para a categoria.
Used Times,Vezes usado
Value is required,O valor é obrigatório
Variant Group,Grupo de variantes
Variant created successfully,Variante criada com sucesso
Variant updated successfully,Variante atualizada com sucesso
Version ${version},Versão ${version}
Visibility,Visibilidade
Visibility determines where the product appears in the store. It does not affect the saleability of the product.,A visibilidade determina onde o produto aparece na loja. Ela não afeta a disponibilidade de venda do produto.
Visitors will see the new layout on their next page load.,Os visitantes verão o novo layout no próximo carregamento da página.
Webhook Secret Key,Chave secreta do webhook
Weight,Peso
Weight must be 0 or greater,O peso deve ser 0 ou maior
Weight must be a positive number,O peso deve ser um número positivo
Weight-based tiers,Faixas baseadas em peso
Widget Settings,Configurações do widget
Widget created successfully!,Widget criado com sucesso!
Widgets,Widgets
Width,Largura
Width is required,A largura é obrigatória
Width must be greater than 0,A largura deve ser maior que 0
Will roll out automatically: ${range},Será lançado automaticamente: ${range}
Working…,Processando…
Worldwide,Mundial
X,X
Y,Y
You have ${count} changes in this draft that haven’t been published yet.,Você tem ${count} alterações neste rascunho que ainda não foram publicadas.
You have ${count} changes still saving.,Você tem ${count} alterações ainda sendo salvas.
You have 1 change in this draft that hasn’t been published yet.,Você tem 1 alteração neste rascunho que ainda não foi publicada.
You have 1 change still saving.,Você tem 1 alteração ainda sendo salva.
Your draft is safe on the server — you can come back and publish it any time.,Seu rascunho está seguro no servidor — você pode voltar e publicá-lo a qualquer momento.
Your edits on other pages stay in the draft.,Suas edições em outras páginas permanecem no rascunho.
Your webhook url should be: https://yourdomain.com/api/stripe/webhook,A URL do seu webhook deve ser: https://yourdomain.com/api/stripe/webhook
Zone,Zona
Zone Name,Nome da zona
Zone Rates,Tarifas da zona
Zone created,Zona criada
Zone is required,A zona é obrigatória
Zone name is required,O nome da zona é obrigatório
Zone removed,Zona removida
Zone updated,Zona atualizada
Zones served,Zonas atendidas
and ${count} more,e mais ${count}
container will also hide,o contêiner também será ocultado
current page,página atual
e.g. Small Box,ex.: Caixa pequena
e.g. Summer Sale 2026,ex.: Promoção de Verão 2026
e.g. content,ex.: conteúdo
"e.g., 10.00","ex.: 10,00"
"e.g., EU, US-West","ex.: EU, US-West"
"e.g., Express",ex.: Expresso
"e.g., FEDEX_GROUND, usps_priority","ex.: FEDEX_GROUND, usps_priority"
every page,todas as páginas
indefinite,indefinido
open,aberto
"publishing is immediate and can’t be undone from this screen. To stage instead, cancel and choose “Schedule a rollout”.","a publicação é imediata e não pode ser desfeita nesta tela. Para preparar em vez disso, cancele e escolha “Agendar um lançamento”."
quantity of products are matched bellow conditions(All),a quantidade de produtos atende às condições abaixo (Todas)
subtotal,subtotal
to a storefront route's,de uma rota da loja
to make it appear here.,para fazê-lo aparecer aqui.
weight,peso
widget? This will be saved as a pending change you can publish or discard.,widget? Isso será salvo como uma alteração pendente que você pode publicar ou descartar.
will be removed and the live storefront will stop applying its edits. The underlying changeset and its pending content edits are preserved.,será removido e a loja ativa deixará de aplicar suas edições. O conjunto de alterações subjacente e suas edições de conteúdo pendentes são preservados.
— None —,— Nenhum —
Cash On Delivery,Pagamento na entrega
Please select a valid payment method,Selecione uma forma de pagamento válida
Show ${label} width,Mostrar largura de ${label}
Column ${index},Coluna ${index}
Switch page,Trocar de página
Search pages…,Buscar páginas…
Search pages,Buscar páginas
Save your pending edits — the live storefront will catch up,Salve suas edições pendentes — a loja ativa será atualizada
No changes to save — the rollout matches the editor,Nenhuma alteração a salvar — o lançamento corresponde ao editor
More rollout actions,Mais ações de lançamento
Revert to saved state…,Reverter ao estado salvo…
Roll back the editor to what the rollout currently shows on the storefront,Reverter o editor para o que o lançamento exibe atualmente na loja
Nothing to revert — the editor matches the saved state,Nada a reverter — o editor corresponde ao estado salvo
Cancel rollout plan…,Cancelar plano de lançamento…
Remove the schedule — the changeset is preserved,Remover o agendamento — o conjunto de alterações é preservado
Publish,Publicar
More publish options,Mais opções de publicação
Apply all edits to the live storefront immediately,Aplicar todas as edições à loja ativa imediatamente
Save as rollout plan…,Salvar como plano de lançamento…
Schedule these edits to roll out at a future time,Agende essas edições para serem lançadas em um momento futuro
Discard pending changes…,Descartar alterações pendentes…
Choose between discarding the whole draft or just this page,Escolha entre descartar todo o rascunho ou apenas esta página
Switch session,Trocar de sessão
New changeset,Novo conjunto de alterações
Rollout: ${name},Lançamento: ${name}
Click or drag to add,Clique ou arraste para adicionar
Background color,Cor de fundo
Text color,Cor do texto
Dwell time,Tempo de exibição
Time each announcement stays visible (in addition to the 400ms slide transition).,Tempo que cada anúncio permanece visível (além da transição de slide de 400ms).
Announcements,Anúncios
Add announcement,Adicionar anúncio
Untitled,Sem título
Free shipping on orders over $50,Frete grátis em pedidos acima de $50
Optional. Makes the entire row a clickable link.,Opcional. Torna toda a linha um link clicável.
Link label,Rótulo do link
Optional. Displayed after the content; defaults to the content itself.,Opcional. Exibido após o conteúdo; usa o próprio conteúdo por padrão.
Shop now,Comprar agora
Dark,Escuro
Light,Claro
Gradient,Gradiente
Left,Esquerda
Center,Centro
Right,Direita
Selected image,Imagem selecionada
No image selected,Nenhuma imagem selecionada
Replace,Substituir
Clear,Limpar
Reflects the alignment below.,Reflete o alinhamento abaixo.
Banner Image,Imagem do banner
Mobile image,Imagem para celular
Optional. Swapped in below the 768px breakpoint. Falls back to the image above when empty — typical use is a portrait crop of the same scene.,Opcional. Substituída abaixo do breakpoint de 768px. Usa a imagem acima quando vazia — o uso típico é um recorte vertical da mesma cena.
Alignment,Alinhamento
Overlay copy,Texto sobreposto
Eyebrow,Texto de destaque
"Small all-caps label above the heading. E.g. ""LIMITED EDITION"".","Pequeno rótulo em maiúsculas acima do título. Ex.: ""EDIÇÃO LIMITADA""."
LIMITED EDITION,EDIÇÃO LIMITADA
Heading,Título
The Summer Edit,A Coleção de Verão
Sub-text,Subtexto
One short supporting sentence.,Uma frase de apoio curta.
Overlay placement,Posicionamento da sobreposição
Content position,Posição do conteúdo
Where the overlay text sits on the image.,Onde o texto sobreposto fica na imagem.
Tint,Tonalidade
A scrim behind the overlay text for legibility. Dark / gradient flip the text to white automatically.,Uma camada atrás do texto sobreposto para melhor legibilidade. Escuro / gradiente alteram o texto para branco automaticamente.
Tint opacity,Opacidade da tonalidade
Call to actions,Chamadas para ação
Remove primary CTA,Remover CTA primário
+ Add a primary CTA,+ Adicionar um CTA primário
Secondary,Secundário
Remove secondary CTA,Remover CTA secundário
Learn more,Saiba mais
+ Add a secondary CTA,+ Adicionar um CTA secundário
Details,Detalhes
Alt text,Texto alternativo
Describes the banner for screen readers and SEO.,Descreve o banner para leitores de tela e SEO.
"e.g. ""Summer sale promotional banner""","ex.: ""Banner promocional da promoção de verão"""
Banner link,Link do banner
Optional. Clicking the banner navigates here.,Opcional. Clicar no banner leva para cá.
Display name,Nome de exibição
Shop,Loja
Target,Destino
"Page, category, product, or a custom URL.","Página, categoria, produto ou uma URL personalizada."
Nofollow,Nofollow
SEO: don't pass ranking credit to this link (rel=nofollow).,SEO: não transferir crédito de ranqueamento para este link (rel=nofollow).
No referrer,Sem referenciador
Privacy: drop the referring URL (rel=noreferrer). New-tab links always include this.,Privacidade: omitir a URL de origem (rel=noreferrer). Links que abrem em nova aba sempre incluem isto.
Menu items,Itens de menu
Add menu item,Adicionar item de menu
Sub-items,Subitens
Optional dropdown links (1 level).,Links de menu suspenso opcionais (1 nível).
Add sub-item,Adicionar subitem
Options,Opções
Use as main menu,Usar como menu principal
"Primary navigation — on mobile it collapses into a hamburger menu. Turn off for a simple link list (e.g. a footer), which stays inline on mobile.","Navegação principal — no celular ela se recolhe em um menu sanduíche. Desative para uma lista de links simples (ex.: um rodapé), que permanece em linha no celular."
Custom CSS classes,Classes CSS personalizadas
Applied to the rendered menu element.,Aplicadas ao elemento de menu renderizado.
e.g. main-nav font-semibold,ex.: main-nav font-semibold
S,S
M,M
L,L
Tiles,Blocos
Add tile,Adicionar bloco
Hero · ,Destaque · 
Used when no image is set.,Usado quando nenhuma imagem é definida.
Small label above the heading.,Pequeno rótulo acima do título.
THE SUMMER EDIT,A EDIÇÃO DE VERÃO
New Arrivals,Novidades
Body,Corpo
Big card — the headline of the grid.,Cartão grande — o destaque da grade.
Link URL,URL do link
Gap,Espaçamento
Minimum block height,Altura mínima do bloco
Image left,Imagem à esquerda
Image right,Imagem à direita
Centered,Centralizado
Pull quote,Citação em destaque
Variant,Variante
Image column size,Tamanho da coluna da imagem
Describe the image,Descreva a imagem
Copy,Texto
"Small all-caps label. E.g. ""OUR STORY"".","Pequeno rótulo em maiúsculas. Ex.: ""NOSSA HISTÓRIA""."
Our story,Nossa história
"Made by hand, in small batches","Feito à mão, em pequenos lotes"
"Required for the pull-quote variant. Displayed large, styled as a blockquote.","Obrigatório para a variante de citação em destaque. Exibido em tamanho grande, estilizado como citação."
"A short, quotable line.",Uma frase curta e marcante.
Three or four sentences of brand narrative.,Três ou quatro frases da narrativa da marca.
Second body paragraph (optional),Segundo parágrafo de corpo (opcional)
A second short paragraph if the story needs it.,"Um segundo parágrafo curto, se a história precisar."
Read more link,"Link ""Leia mais"""
Read more,Leia mais
URL,URL
Remove read-more link,"Remover link ""Leia mais"""
+ Add a read-more link,"+ Adicionar um link ""Leia mais"""
Square,Quadrado
Landscape,Paisagem
Portrait,Retrato
Overlay,Sobreposição
Below,Abaixo
New category,Nova categoria
Section heading,Título da seção
Optional. Shown above the grid.,Opcional. Exibido acima da grade.
Shop by category,Comprar por categoria
Women,Feminino
Columns,Colunas
Auto,Automático
Asymmetric makes the first tile span 2 columns.,Assimétrico faz o primeiro bloco ocupar 2 colunas.
Uniform,Uniforme
Asymmetric,Assimétrico
Image aspect,Proporção da imagem
Label position,Posição do rótulo
Blush,Rosa-claro
XL,XL
Position ${c},Posição ${c}
Column layout,Layout de colunas
Drag widgets into each column. Children re-flow when you change the ratio.,Arraste widgets para cada coluna. Os itens filhos se reorganizam quando você altera a proporção.
Space between columns.,Espaço entre as colunas.
Where content sits within each column. Applied uniformly to every column.,Onde o conteúdo fica dentro de cada coluna. Aplicado uniformemente a todas as colunas.
Row appearance,Aparência da linha
Background,Fundo
Custom color,Cor personalizada
"Any CSS color (e.g. ""#0a0a0a"" or ""rgb(10,10,10)""). Leave empty to use the swatch above.","Qualquer cor CSS (ex.: ""#0a0a0a"" ou ""rgb(10,10,10)""). Deixe vazio para usar a amostra acima."
Padding,Preenchimento
Outer spacing around the row. Scales down on mobile.,Espaçamento externo ao redor da linha. Reduz no celular.
Solid,Sólido
Dashed,Tracejado
Already expired,Já expirado
Expires in ${days}d ${hours}h,Expira em ${days}d ${hours}h
Expires in ${hours}h ${minutes}m,Expira em ${hours}h ${minutes}m
Offer,Oferta
"Urgency line. Optional. E.g. ""Limited · Ends Sunday"".","Linha de urgência. Opcional. Ex.: ""Limitado · Termina domingo""."
Limited · Ends Sunday,Limitado · Termina domingo
Headline,Título
Take 20% off your order,Ganhe 20% de desconto no seu pedido
Optional. One short instructional line.,Opcional. Uma breve linha de instrução.
Use code at checkout,Use o código no checkout
Promo code,Código promocional
Displayed in uppercase to shoppers.,Exibido em maiúsculas para os clientes.
Expires,Expira
Optional. The block auto-hides after this time for live visitors.,Opcional. O bloco se oculta automaticamente após este horário para os visitantes ao vivo.
Call to action,Chamada para ação
Button label,Texto do botão
Shop now →,Comprar agora →
Button link,Link do botão
Appearance,Aparência
Border,Borda
Narrow,Estreito
Normal,Normal
Wide,Largo
Shown above all content. Optional.,Exibido acima de todo o conteúdo. Opcional.
e.g. Frequently asked,ex.: Perguntas frequentes
Prose,Texto
FAQ group · ${count} items,Grupo de FAQ · ${count} itens
Group heading,Título do grupo
Optional sub-heading.,Subtítulo opcional.
e.g. Shipping,ex.: Envio
Add question,Adicionar pergunta
Question,Pergunta
e.g. How long does shipping take?,ex.: Quanto tempo leva o envio?
Answer,Resposta
"Supports **bold**, _italic_, and line breaks.","Suporta **negrito**, _itálico_ e quebras de linha."
e.g. Orders ship within 24 hours…,ex.: Os pedidos são enviados em até 24 horas…
Add prose,Adicionar texto
Add FAQ group,Adicionar grupo de FAQ
Max width,Largura máxima
Content column width.,Largura da coluna de conteúdo.
Allow multiple open,Permitir vários abertos
"When off, opening one FAQ item closes the others in the same group.","Quando desativado, abrir um item de FAQ fecha os outros do mesmo grupo."
New link,Novo link
New column,Nova coluna
Add column,Adicionar coluna
${title} · ${count} links,${title} · ${count} links
Column title,Título da coluna
Links,Links
"Min 1, max 12.","Mín. 1, máx. 12."
Add link,Adicionar link
New arrivals,Novidades
Boxed,Em caixa
Wide (full bleed),Largo (de ponta a ponta)
Boxed stays inside the page's container (theme decides the max-width). Wide breaks out edge-to-edge.,Em caixa permanece dentro do contêiner da página (o tema decide a largura máxima). Largo se estende de ponta a ponta.
Scales down on mobile.,Reduz no celular.
Optional. Painted behind content. Combine with a tint below for legibility.,Opcional. Pintado atrás do conteúdo. Combine com um matiz abaixo para legibilidade.
XS,XS
Spacing,Espaçamento
Size,Tamanho
Mobile scales down ~⅔ automatically.,"No celular, reduz ~⅔ automaticamente."
Divider line,Linha divisória
Show divider line,Mostrar linha divisória
A horizontal rule centred in the spacing band.,Uma régua horizontal centrada na faixa de espaçamento.
Line color,Cor da linha
Default uses the theme's divider color.,O padrão usa a cor do divisor do tema.
Sides,Lados
Bottom,Inferior
Dots,Pontos
Bars,Barras
Mobile image (optional),Imagem para celular (opcional)
Used at ≤ 767 px. Falls back to the main image.,Usada em ≤ 767 px. Recorre à imagem principal.
e.g. New collection,ex.: Nova coleção
e.g. Summer Sale,ex.: Promoção de verão
Sub text,Texto secundário
Check out our latest products with special discounts.,Confira nossos produtos mais recentes com descontos especiais.
Primary button,Botão primário
Secondary button,Botão secundário
+ Add secondary button,+ Adicionar botão secundário
Overrides,Substituições
Leaves slide-specific anchor; falls back to the slideshow's default.,Mantém a âncora específica do slide; recorre ao padrão da apresentação.
Overlay tint,Tom da sobreposição
Overlay opacity,Opacidade da sobreposição
Make whole slide clickable,Tornar o slide inteiro clicável
Behavior,Comportamento
Transition,Transição
Slide,Slide
Fade,Esmaecer
Transition speed,Velocidade da transição
Autoplay,Reprodução automática
Autoplay delay,Atraso da reprodução automática
${seconds} s between slides,${seconds} s entre os slides
Pause on hover,Pausar ao passar o mouse
Pause for 20 s after user nav,Pausar por 20 s após navegação do usuário
Arrows,Setas
Aspect ratio,Proporção
`Auto` matches the natural image height (jumps between slides).,`Auto` corresponde à altura natural da imagem (alterna entre os slides).
Default content position,Posição padrão do conteúdo
Per-slide overrides win.,As substituições por slide prevalecem.
Default overlay tint,Tom padrão da sobreposição
Default overlay opacity,Opacidade padrão da sobreposição
Slides (${count}),Slides (${count})
No slides yet.,Nenhum slide ainda.
Add your first slide,Adicione seu primeiro slide
Slide ${number},Slide ${number}
Image only,Apenas imagem
Empty,Vazio
Show slide,Mostrar slide
Hide slide,Ocultar slide
Move slide up,Mover slide para cima
Move slide down,Mover slide para baixo
Delete slide,Excluir slide
Top,Superior
Cover,Cobrir
Contain,Conter
Required for accessibility.,Obrigatório para acessibilidade.
Image fit,Ajuste da imagem
"Small all-caps label. E.g. ""LIMITED EDITION"".","Rótulo pequeno em maiúsculas. Ex.: ""EDIÇÃO LIMITADA""."
Limited edition,Edição limitada
One strong line,Uma linha de destaque
Two lines of supporting copy.,Duas linhas de texto de apoio.
Image position,Posição da imagem
Vertical alignment,Alinhamento vertical
Aligns the copy panel content.,Alinha o conteúdo do painel de texto.
Remove call to action,Remover chamada para ação
Add a call to action,Adicionar uma chamada para ação
Custom CSS classes for the text block,Classes CSS personalizadas para o bloco de texto
Add group,Adicionar grupo
${label} · ${count} subs,${label} · ${count} subs
Parent label,Rótulo do item pai
Parent link,Link do item pai
Image alt text,Texto alternativo da imagem
Sub-categories,Subcategorias
"Min 1, max 8.","Mín. 1, máx. 8."
Add sub-category,Adicionar subcategoria
Dresses,Vestidos
Columns (desktop),Colunas (desktop)
On tablets the layout is always 2 columns.,"Em tablets, o layout é sempre de 2 colunas."
Make parent image a link,Tornar a imagem do item pai um link
"When off, only the sub-chips and parent label are interactive.","Quando desativado, apenas os subitens e o rótulo do item pai são interativos."
Title,Título
e.g. Free shipping,ex.: Frete grátis
Optional supporting line below the title.,Linha de apoio opcional abaixo do título.
Icon,Ícone
Optional. SVG or raster image. Hidden when icons are turned off globally.,Opcional. Imagem SVG ou raster. Oculto quando os ícones são desativados globalmente.
Optional. Makes the whole cell clickable.,Opcional. Torna a célula inteira clicável.
"Auto matches the item count, capped at 4.","Auto corresponde à quantidade de itens, limitado a 4."
3,3
4,4
Icon size,Tamanho do ícone
Show icons,Mostrar ícones
Master switch. Items without an icon URL are unaffected.,Interruptor principal. Itens sem URL de ícone não são afetados.
Show divider,Mostrar divisor
Vertical line between cells.,Linha vertical entre as células.
Collection,Coleção
Search collections…,Pesquisar coleções…
No collections match “${value}”.,Nenhuma coleção corresponde a “${value}”.
You have no collections yet.,Você ainda não tem coleções.
Please select a collection,Selecione uma coleção
"Defaults to ""${name}"" (the collection's name).","Padrão para ""${name}"" (o nome da coleção)."
Defaults to the picked collection's name.,Padrão para o nome da coleção selecionada.
Collection name,Nome da coleção
Defaults to the collection's description. Setting this replaces the rich-text description with plain text.,Padrão para a descrição da coleção. Definir isto substitui a descrição em rich text por texto simples.
e.g. Hand-picked styles for the season.,ex.: Estilos selecionados a dedo para a estação.
View all link,Link Ver tudo
"Optional. Hidden when empty. Pick a category, product, page, or paste a custom URL.","Opcional. Oculto quando vazio. Escolha uma categoria, produto, página ou cole um URL personalizado."
"Optional. Defaults to ""View all →"".","Opcional. Padrão para ""Ver tudo →""."
View all →,Ver tudo →
Total products,Total de produtos
Number of products to display.,Número de produtos a exibir.
Products per row,Produtos por linha
Grid columns (1–6 typical).,Colunas da grade (1–6 típico).
Count is required,A quantidade é obrigatória
e.g. 8,ex.: 8
Count per row is required,A quantidade por linha é obrigatória
e.g. 4,ex.: 4
Cover image,Imagem de capa
COLLECTION,COLEÇÃO
"Defaults to ""${pickedName}"".","Padrão para ""${pickedName}""."
Defaults to the picked collection name.,Padrão para o nome da coleção selecionada.
Optional. One or two sentences of editorial copy.,Opcional. Uma ou duas frases de texto editorial.
"Linen, cotton, easy stuff.","Linho, algodão, coisas leves."
Preview product count,Quantidade de produtos na visualização
2 (1×2),2 (1×2)
4 (2×2),4 (2×2)
Please pick a collection,Escolha uma coleção
Add collection,Adicionar coleção
Row heading,Cabeçalho da linha
The Linen Edit,The Linen Edit
Optional. Hidden when empty.,Opcional. Oculto quando vazio.
View all label,Rótulo Ver tudo
Show price,Mostrar preço
Show divider between rows,Mostrar divisor entre as linhas
Selected:,Selecionado:
Image override,Substituição de imagem
Override image,Substituir imagem
Override image (optional),Substituir imagem (opcional)
Leave empty to use the product's primary image.,Deixe vazio para usar a imagem principal do produto.
Small label above the product name. Optional.,Rótulo pequeno acima do nome do produto. Opcional.
FEATURED,DESTAQUE
Editorial copy,Texto editorial
Overrides the product's own description in this context. Leave blank to hide.,Substitui a descrição do próprio produto neste contexto. Deixe em branco para ocultar.
Two lines of copy explaining why this product is being spotlighted right now.,Duas linhas de texto explicando por que este produto está em destaque agora.
Please pick a product,Escolha um produto
e.g. On orders over $50,ex.: Em pedidos acima de $50
Text block,Bloco de texto
Menu,Menu
Footer menu,Menu de rodapé
Banner,Banner
Simple Slideshow,Apresentação simples
Brand story,História da marca
Category mosaic,Mosaico de categorias
Tiered categories,Categorias em níveis
Bento grid,Grade bento
Separator,Separador
Section,Seção
Split feature,Destaque dividido
Announcement bar,Barra de anúncios
Coupon block,Bloco de cupom
FAQ block,Bloco de FAQ
Trust strip,Faixa de confiança
Collection products,Produtos da coleção
Collection stack,Pilha de coleções
Collection spotlight,Coleção em destaque
Product hero,Hero de produto
Layout container with 1–4 columns for nesting widgets.,Contêiner de layout com 1–4 colunas para aninhar widgets.
Add rich text content,Adicionar conteúdo de texto formatado
Navigation links,Links de navegação
Multi-column list of footer links — a titled column of navigation links per group.,Lista de links de rodapé em várias colunas — uma coluna com título de links de navegação por grupo.
A single hero image with optional overlay copy and CTAs.,Uma única imagem hero com texto sobreposto e CTAs opcionais.
Rotating image carousel,Carrossel de imagens rotativas
Editorial block combining an image and long-form brand narrative. Four layout variants.,Bloco editorial que combina uma imagem e uma narrativa de marca em formato longo. Quatro variantes de layout.
"A grid of 3–6 category tiles for the primary ""Shop by category"" entry point.","Uma grade de 3–6 blocos de categoria para o ponto de entrada principal ""Comprar por categoria""."
A two-level nav block: parent category image plus a row of sub-category chips.,Um bloco de navegação de dois níveis: imagem da categoria principal mais uma linha de chips de subcategoria.
An asymmetric mosaic of CTA tiles — one large hero plus 1–4 supporting tiles.,Um mosaico assimétrico de blocos de CTA — um hero grande mais 1–4 blocos de apoio.
"Vertical spacing between widgets, with an optional divider line. Mobile scales down automatically.","Espaçamento vertical entre widgets, com uma linha divisória opcional. No celular, é reduzido automaticamente."
Styled droppable band that wraps other widgets. Toggle between wide (edge-to-edge) and boxed (theme container).,Faixa estilizada que envolve outros widgets. Alterne entre largo (de borda a borda) e em caixa (contêiner do tema).
A 50/50 image + copy promo block with optional CTA. The canonical promo moment widget.,Um bloco promocional 50/50 de imagem + texto com CTA opcional. O widget de momento promocional canônico.
A thin top-of-page bar with one or more rotating announcements.,Uma barra fina no topo da página com um ou mais anúncios rotativos.
A promo panel with a copyable discount code and CTA.,Um painel promocional com um código de desconto copiável e CTA.
Flexible content block mixing prose sections and accordion FAQ groups.,Bloco de conteúdo flexível que mistura seções de texto e grupos de FAQ em acordeão.
"A row of value-prop items (free shipping, easy returns, etc.) for below-the-hero or above-the-footer reinforcement.","Uma linha de itens de proposta de valor (frete grátis, devoluções fáceis, etc.) para reforço abaixo do hero ou acima do rodapé."
A list of products from a collection,Uma lista de produtos de uma coleção
"Stacked rows of collections, each with a heading, view-all link, and a strip of products.","Linhas empilhadas de coleções, cada uma com um título, link ""ver tudo"" e uma faixa de produtos."
"A featured collection with cover image, editorial copy, and a small product preview grid.","Uma coleção em destaque com imagem de capa, texto editorial e uma pequena grade de prévia de produtos."
"A single-product spotlight — image, name, price, and a link to the full product page.","Um destaque de produto único — imagem, nome, preço e um link para a página completa do produto."
