Welcome Back!,С возвращением!
Cancel rollout,Отменить развёртывание
Cancel rollout plan?,Отменить план развёртывания?
Canvas device width,Ширина устройства холста
Capture,Списать
Capture Payment,Списать платёж
Carrier hint for fulfillment — never shown at checkout. NewShipmentDialog uses this to pre-select the carrier.,Подсказка по перевозчику для выполнения заказа — никогда не отображается при оформлении. NewShipmentDialog использует её для предварительного выбора перевозчика.
Carrier-specific service code used when buying a label (CreateLabelInput.serviceCode). Free-form — verify the exact token in the carrier's API docs. Leave blank to let the carrier pick its default service.,"Код услуги, специфичный для перевозчика, используемый при покупке этикетки (CreateLabelInput.serviceCode). Свободный формат — проверьте точный токен в документации API перевозчика. Оставьте пустым, чтобы перевозчик выбрал услугу по умолчанию."
Cash On Delivery Payment,Оплата при доставке
"Catalog, Search","Каталог, поиск"
Category Image,Изображение категории
Category Name,Название категории
Category created successfully!,Категория успешно создана!
Category name is required,Название категории обязательно
Choose Attribute Groups,Выберите группы атрибутов
Choose Categories,Выберите категории
Choose Collections,Выберите коллекции
Choose SKUs,Выберите SKU
Choose how much of your unpublished work to discard. The published storefront is not affected.,"Выберите, какую часть неопубликованной работы отменить. На опубликованную витрину это не влияет."
Choose where you ship and how much you charge for shipping.,"Выберите, куда вы осуществляете доставку и сколько берёте за неё."
Clear filter,Очистить фильтр
Clear filters,Очистить фильтры
Client ID,Client ID
Client Secret,Client Secret
Close,Закрыть
Close settings,Закрыть настройки
Close — continue draft,Закрыть — продолжить черновик
Cms Pages,Страницы CMS
Collapse left rail,Свернуть левую панель
Collapse panel,Свернуть панель
Collection Code,Код коллекции
Collection Name,Название коллекции
Collection code is required,Код коллекции обязателен
Collection code must be alphanumeric and can include underscores or dashes.,Код коллекции должен быть буквенно-цифровым и может содержать подчёркивания или дефисы.
Collection created successfully!,Коллекция успешно создана!
Color,Цвет
Commerce,Коммерция
Compound,Составной
Condition,Условие
Configure,Настроить
Configure cost and conditions per zone. Zones without a rate don't offer this method.,Настройте стоимость и условия по зонам. Зоны без тарифа не предлагают этот способ.
Configure rate,Настроить тариф
Configure the available payment methods,Настройте доступные способы оплаты
Configure the settings for the ${name} widget.,Настройте параметры виджета ${name}.
Configure the tax classes that will be available to your customers at checkout.,"Настройте налоговые классы, которые будут доступны вашим клиентам при оформлении заказа."
Configure your Cash On Delivery payment gateway settings,Настройте параметры платёжного шлюза «Оплата при доставке»
Configure your Paypal payment gateway settings,Настройте параметры платёжного шлюза PayPal
Configure your Stripe payment gateway settings,Настройте параметры платёжного шлюза Stripe
Configure your store information,Настройте информацию о вашем магазине
"Conflicts with ${plan1}, ${plan2}","Конфликтует с ${plan1}, ${plan2}"
Conflicts with ${plan},Конфликтует с ${plan}
Conflicts with ${plan} +${count},Конфликтует с ${plan} +${count}
Conflicts with:,Конфликтует с:
Content,Содержимое
Continue a saved rollout plan,Продолжить сохранённый план развёртывания
Continue your draft,Продолжить черновик
Core Shipping,Доставка Core
Core isn't attached to any zone yet. Attach it under Settings → Shipping first.,Core ещё не прикреплён ни к одной зоне. Сначала прикрепите его в разделе Настройки → Доставка.
Cost,Стоимость
Cost is required,Стоимость обязательна
Could not start fresh,Не удалось начать заново
Countries,Страны
"Country code (e.g., ""US""). Use ""*"" for all countries.","Код страны (например, «US»). Используйте «*» для всех стран."
Coupon Code,Код купона
"Coupon code can only contain letters, numbers, underscores, and hyphens","Код купона может содержать только буквы, цифры, подчёркивания и дефисы"
Coupon created successfully!,Купон успешно создан!
Coupons,Купоны
Create A New Customer,Создать нового клиента
Create New Package,Создать новую упаковку
Create New Tax Class,Создать новый налоговый класс
Create New Zone,Создать новую зону
Create a new category,Создать новую категорию
Create a new collection,Создать новую коллекцию
Create a new coupon,Создать новый купон
Create a new page,Создать новую страницу
Create a new product,Создать новый товар
Create a new variant for this product.,Создать новый вариант для этого товара.
Create a new widget,Создать новый виджет
Create a variant group,Создать группу вариантов
Create method,Создать способ
Create new tax class,Создать новый налоговый класс
Create rollout plan,Создать план развёртывания
Created At,Дата создания
Current,Текущий
Customer,Клиент
Customer Email,Email клиента
Customer conditions,Условия клиента
Customer emails,Email-адреса клиентов
Customer groups,Группы клиентов
Customer's purchase,Покупка клиента
Customers,Клиенты
Customers (${count}),Клиенты (${count})
Customers in ${zone} will no longer see ${name}'s methods at checkout. You can re-attach it later.,Клиенты в зоне ${zone} больше не будут видеть способы ${name} при оформлении заказа. Вы можете прикрепить его снова позже.
Dashboard,Панель управления
Date,Дата
Decrease,Уменьшить
Default carrier,Перевозчик по умолчанию
Default language,Язык по умолчанию
Default package,Упаковка по умолчанию
Default service code,Код услуги по умолчанию
"Delete ""${name}""?",Удалить «${name}»?
Delete ${count} attributes,Удалить ${count} атрибутов
Delete ${count} categories,Удалить ${count} категорий
Delete ${count} collections,Удалить ${count} коллекций
Delete ${count} pages,Удалить ${count} страниц
Delete ${count} widgets,Удалить ${count} виджетов
Delete container widget?,Удалить виджет-контейнер?
Delete image,Удалить изображение
"Delete package ""${name}""?",Удалить упаковку «${name}»?
Delete this,Удалить это
Delete this widget? This will be saved as a pending change you can publish or discard.,"Удалить этот виджет? Это будет сохранено как ожидающее изменение, которое вы можете опубликовать или отменить."
Delete widget?,Удалить виджет?
Delete zone,Удалить зону
"Delete zone ""${name}""?",Удалить зону «${name}»?
Deleted ${name},Удалено: ${name}
Deleting this,Удаление этого
Deleting this container will also hide,Удаление этого контейнера также скроет
Description is required,Описание обязательно
Desktop,Компьютер
Detach,Открепить
Detach ${name}?,Открепить ${name}?
Disable ${count} pages,Отключить ${count} страниц
Disable ${count} widgets,Отключить ${count} виджетов
Disabled products will not be visible in the store and cannot be purchased.,Отключённые товары не будут видны в магазине и не могут быть куплены.
Discard changes on this page only,Отменить изменения только на этой странице
Discard everything,Отменить всё
Discard everything in this draft,Отменить всё в этом черновике
Discard failed,Не удалось отменить
Discard pending changes?,Отменить несохранённые изменения?
Discard this page,Отменить эту страницу
Discarding…,Отмена…
Discount Type,Тип скидки
Discount amount,Сумма скидки
Discount amount is required,Сумма скидки обязательна
Discount type is required,Тип скидки обязателен
Dislay Name,Отображаемое имя
Display Name,Отображаемое имя
Draft,Черновик
Draft — not scheduled,Черновик — не запланирован
Drag to resize,Потяните для изменения размера
"Each row places this widget on one page, in one area, with its own sort order. Lower numbers appear first.","Каждая строка размещает этот виджет на одной странице, в одной области, со своим порядком сортировки. Меньшие значения отображаются первыми."
Edit ${name},Редактировать ${name}
Edit Shipping Zone,Редактировать зону доставки
Edit Tax Rate,Редактировать налоговую ставку
Edit Variant,Редактировать вариант
Edit Zone,Редактировать зону
Edit against the live storefront. Publish immediately or save as a rollout plan.,Редактируйте на живой витрине. Опубликуйте сразу или сохраните как план развёртывания.
Edit rollout schedule,Редактировать расписание развёртывания
Editable routes,Редактируемые маршруты
Editing ${coupon},Редактирование ${coupon}
Editing ${fullName},Редактирование ${fullName}
Editing widget ${name},Редактирование виджета ${name}
Edits to a shared widget update every route it appears on.,"Изменения общего виджета обновляют все маршруты, на которых он отображается."
Empty package weight,Вес пустой упаковки
Empty weight,Вес пустого
Enable ${count} pages,Включить ${count} страниц
Enable ${count} widgets,Включить ${count} виджетов
Enable this page to make it visible on the frontend.,"Включите эту страницу, чтобы сделать её видимой на витрине."
Enable?,Включить?
End,Конец
End Date,Дата окончания
End date,Дата окончания
End time is invalid.,Время окончания недопустимо.
End time must be after start time.,Время окончания должно быть позже времени начала.
Enter Category Name,Введите название категории
Enter Collection Name,Введите название коллекции
Enter Meta Description,Введите Meta описание
Enter Meta Title,Введите Meta заголовок
Enter Meta description,Введите Meta описание
Enter Meta title,Введите Meta заголовок
Enter SKU,Введите SKU
Enter URL Key,Введите URL-ключ
Enter URL key,Введите URL-ключ
Enter customer emails,Введите эл. почты клиентов
Enter description,Введите описание
Enter group name,Введите название группы
Enter meta description,Введите meta описание
Enter meta title,Введите meta заголовок
Enter page name,Введите название страницы
Enter price,Введите цену
Enter product name,Введите название товара
Enter purchased amount,Введите сумму покупки
Enter quantity,Введите количество
Enter tax class name,Введите название налогового класса
Enter the quantity,Введите количество
Enter weight,Введите вес
Environment,Окружение
Error loading countries,Ошибка загрузки стран
Error loading methods,Ошибка загрузки методов
Error loading packages,Ошибка загрузки упаковок
Error loading providers,Ошибка загрузки провайдеров
Error loading zones,Ошибка загрузки зон
EverShop · Back to page builder,EverShop · Назад к конструктору страниц
Every page rolls back to the rollout’s saved state.,Каждая страница откатывается к сохранённому состоянию развёртывания.
Every page rolls back to what the rollout had saved.,"Каждая страница откатывается к тому, что было сохранено в развёртывании."
Existing rollout plan: ${plan},Существующий план развёртывания: ${plan}
Expand,Развернуть
Expand left rail,Развернуть левую панель
"Extra languages shoppers can switch to, on top of the default. The default language is always available — you don't add it here.","Дополнительные языки, на которые покупатели могут переключиться, помимо языка по умолчанию. Язык по умолчанию всегда доступен — здесь его добавлять не нужно."
Failed to attach provider,Не удалось прикрепить провайдера
Failed to delete ${name},Не удалось удалить ${name}
Failed to detach ${name},Не удалось открепить ${name}
Failed to remove rate,Не удалось удалить ставку
Failed to remove zone,Не удалось удалить зону
Failed to save change,Не удалось сохранить изменение
Failed to save rate,Не удалось сохранить ставку
Failed to save zone,Не удалось сохранить зону
Failed to update rollout schedule,Не удалось обновить расписание развёртывания
Fixed discount to entire order,Фиксированная скидка на весь заказ
Fixed discount to specific products,Фиксированная скидка на определённые товары
Flat rate,Фиксированная ставка
"Flat rate in cart currency, tax-exclusive.","Фиксированная ставка в валюте корзины, без учёта налога."
Free shipping?,Бесплатная доставка?
General Information,Общая информация
Give Feedback,Оставить отзыв
Global,Глобальный
Globals,Глобальные
Group,Группа
Group Name,Название группы
Group name is required,Название группы обязательно
Groups,Группы
Half-open interval — a cart at exactly Max is excluded (the next tier's Min owns that point).,Полуоткрытый интервал — корзина ровно на значении Max исключается (эту точку охватывает Min следующего уровня).
Has conflicts,Есть конфликты
Heads up — ,Обратите внимание — 
Height,Высота
Height is required (0 for envelopes),Высота обязательна (0 для конвертов)
Height must be 0 or greater,Высота должна быть 0 или больше
Hide global areas,Скрыть глобальные области
Higest tax rate based on cart items,Наивысшая налоговая ставка на основе товаров в корзине
Highlight global areas on canvas,Выделить глобальные области на холсте
Image,Изображение
Include In Menu,Включить в меню
Include in Store Menu?,Включить в меню магазина?
Increase,Увеличить
Insert image,Вставить изображение
Integer,Целое число
Invalid folder name,Недопустимое имя папки
Invalid start,Недопустимое начало
Invalid window,Недопустимый интервал
Inventory,Запасы
Is compound,Составной
Its rates will be removed too. This cannot be undone.,Его ставки также будут удалены. Это нельзя отменить.
Languages,Языки
Layers,Слои
Layout,Макет
Leave,Покинуть
Leave a country's list empty to cover the whole country. Add provinces to restrict shipping to specific regions.,"Оставьте список страны пустым, чтобы охватить всю страну. Добавьте регионы, чтобы ограничить доставку конкретными областями."
Leaving now may drop the most recent edits that haven’t reached the server yet.,"Если уйти сейчас, можно потерять последние изменения, которые ещё не дошли до сервера."
Length,Длина
Length is required,Длина обязательна
Length must be greater than 0,Длина должна быть больше 0
Live,Активно
Loading...,Загрузка...
Long text,Длинный текст
Lower values appear first.,Меньшие значения отображаются первыми.
Manage Stock,Управление складом
Manage general information about the collection.,Управление общей информацией о коллекции.
Manage product images and gallery. Drag and drop to reorder images.,"Управление изображениями товара и галереей. Перетаскивайте, чтобы изменить порядок изображений."
"Manage shipping integrations and their methods (Core, USPS, FedEx, …)","Управление интеграциями доставки и их методами (Core, USPS, FedEx, …)"
Manage tax classes and tax rates for different regions.,Управление налоговыми классами и налоговыми ставками для разных регионов.
Manage the SEO settings of the category.,Управление настройками SEO категории.
Manage the SEO settings.,Управление настройками SEO.
Manage the attributes.,Управление атрибутами.
Manage the collections associated with this product.,"Управление коллекциями, связанными с этим товаром."
Manage the general information of the category.,Управление общей информацией категории.
Manage the general information of the product.,Управление общей информацией товара.
Manage the inventory settings of the product.,Управление настройками запасов товара.
Manage the products assigned to this category.,"Управление товарами, назначенными этой категории."
Manage the products assigned to this collection.,"Управление товарами, назначенными этой коллекции."
Manage the shipping settings of the product.,Управление настройками доставки товара.
Manage the status settings of the category.,Управление настройками статуса категории.
Manage the variant group of the product.,Управление группой вариантов товара.
Marketing,Маркетинг
Max ${unit},Макс. ${unit}
Max is required,Макс. обязательно
Maximum,Максимум
Maximum amount is ${value} ${currency},Максимальная сумма — ${value} ${currency}
Maximum quantity is required,Требуется максимальное количество
Maximum quantity must be greater than or equal to 0,Максимальное количество должно быть больше или равно 0
Media,Медиа
Meta Description,Meta-описание
Meta Title,Meta-заголовок
Meta Title is required,Требуется Meta-заголовок
Meta description,Meta-описание
Meta description is required,Требуется Meta-описание
Meta title,Meta-заголовок
Meta title is required,Требуется Meta-заголовок
Method,Метод
Method created,Метод создан
Method name,Название метода
Method name is required,Требуется название метода
Method updated,Метод обновлён
Methods →,Методы →
Min ${unit},Мин. ${unit}
Min Price,Мин. цена
Min Weight,Мин. вес
Min is required,Требуется минимум
Min price is required,Требуется минимальная цена
Min weight is required,Требуется минимальный вес
Minimum purchase amount,Минимальная сумма покупки
Minimum purchase qty,Мин. кол-во покупки
Minimum purchase quantity,Минимальное количество покупки
Minimum purchased amount. This only applies to registered customers.,Минимальная сумма покупки. Применяется только к зарегистрированным клиентам.
Minimum quantity is required,Требуется минимальное количество
Missing name,Отсутствует название
Money,Деньги
Name is required.,Требуется название.
Navigation,Навигация
New Attribute,Новый атрибут
New Category,Новая категория
New Collection,Новая коллекция
New Coupon,Новый купон
New Page,Новая страница
New Variant,Новый вариант
New coupon,Новый купон
New rate,Новый тариф
No collections,Нет коллекций
No editable routes.,Нет редактируемых маршрутов.
No file selected,Файл не выбран
No methods yet — add one to start offering Core shipping.,"Пока нет методов — добавьте один, чтобы начать предлагать доставку Core."
No packages yet. Create one — shippable products require a package.,Пока нет упаковок. Создайте одну — для отгружаемых товаров требуется упаковка.
No product to display.,Нет товаров для отображения.
"No providers attached. Click ""Attach Provider"" to add one.","Нет привязанных провайдеров. Нажмите «Привязать провайдера», чтобы добавить."
"No rates yet — click ""Add Rate"" to offer this method in a zone.","Пока нет тарифов — нажмите «Добавить тариф», чтобы предложить этот метод в зоне."
"No results for ""${keyword}""",Нет результатов по запросу «${keyword}»
No routes have opted into page-builder editing yet.,Пока ни один маршрут не подключён к редактированию в конструкторе страниц.
No shipping required?,Доставка не требуется?
No subdivisions available — whole country is covered.,Нет доступных регионов — охвачена вся страна.
No widgets available.,Нет доступных виджетов.
"No widgets match ""${query}"".",Нет виджетов по запросу «${query}».
No widgets on this route yet.,Пока нет виджетов на этом маршруте.
No zones,Нет зон
No zones found,Зоны не найдены
Not visible individually,Не отображается отдельно
Nothing to publish,Нечего публиковать
Nothing to redo on this page,Нечего повторять на этой странице
Nothing to undo on this page,Нечего отменять на этой странице
Number,Число
Option text is required,Требуется текст варианта
Optional. Added to the shipping weight for quotes and labels.,Необязательно. Добавляется к весу доставки для расчётов и этикеток.
Order Number,Номер заказа
Order conditions,Условия заказа
Orders (${count}),Заказы (${count})
Other,Другое
Other pages keep their pending changes.,Другие страницы сохраняют свои незавершённые изменения.
Overlaps with existing rollout: ${plans}.,Пересекается с существующим развёртыванием: ${plans}.
Overlaps with existing rollouts: ${plans}.,Пересекается с существующими развёртываниями: ${plans}.
Package,Упаковка
Package created,Упаковка создана
Package deleted,Упаковка удалена
Package saved,Упаковка сохранена
Packages,Упаковки
Page Name,Название страницы
Page Not Found,Страница не найдена
Page builder,Конструктор страниц
Page builder canvas,Холст конструктора страниц
Page created successfully!,Страница успешно создана!
Page is required,Требуется страница
Page name is required,Требуется название страницы
Pages,Страницы
Parent category,Родительская категория
Payment Setting,Настройки оплаты
Payment mode,Режим оплаты
Payment setting saved,Настройки оплаты сохранены
Paypal Payment,Оплата PayPal
Pending start time,Ожидается время начала
Percentage discount to entire order,Процентная скидка на весь заказ
Percentage discount to specific products,Процентная скидка на конкретные товары
Phone,Телефон
Pick a start time to schedule this rollout.,"Выберите время начала, чтобы запланировать это развёртывание."
Pick a widget below to insert as a child.,"Выберите виджет ниже, чтобы вставить как дочерний."
Pick up where you left off — ${count} pending changes,"Продолжите с того места, где остановились — ${count} незавершённых изменений"
Pick up where you left off — 1 pending change,"Продолжите с того места, где остановились — 1 незавершённое изменение"
Pin drawer open,Закрепить панель открытой
Pin — keep drawer open across canvas clicks,Закрепить — оставлять панель открытой при кликах по холсту
Placed on: ${routes},Размещено на: ${routes}
Placements,Размещения
Postal Code,Почтовый индекс
"Postcode (e.g., ""90210""). Empty for all postcodes.","Почтовый индекс (например, «90210»). Пусто — для всех индексов."
Preselected for new products. Exactly one package is the default.,Выбрано по умолчанию для новых товаров. По умолчанию ровно одна упаковка.
Preview,Предпросмотр
Price-based tiers,Уровни на основе цены
Priority,Приоритет
Priority is required,Требуется приоритет
Product Name,Название товара
Product Status,Статус товара
Product created successfully,Товар успешно создан
Product updated successfully,Товар успешно обновлён
Products (${count}),Товары (${count})
Promotion,Акция
Proportional allocation based on cart items,Пропорциональное распределение по товарам в корзине
Provide the SEO details for the CMS page.,Укажите SEO-данные для страницы CMS.
Provide the basic information for the CMS page.,Укажите основную информацию для страницы CMS.
Provider,Провайдер
Province Restrictions,Ограничения по регионам
"Province code (e.g., ""CA""). Use ""*"" for all provinces.","Код региона (например, «CA»). Используйте «*» для всех регионов."
Provinces,Регионы
Provinces is required,Требуются регионы
Provinces:,Регионы:
Publish failed,Не удалось опубликовать
Publish now,Опубликовать сейчас
Publish to the live storefront,Опубликовать в действующую витрину
Publishable Key,Публикуемый ключ
Publishing…,Публикация…
Qty is required,Требуется количество
Quick links,Быстрые ссылки
Rate,Тариф
Rate added,Тариф добавлен
Rate is required,Требуется тариф
Rate removed,Тариф удалён
Rate status,Статус тарифа
Rate updated,Тариф обновлён
Redo (⇧⌘Z) — re-applies the last undone edit on this page,Повторить (⇧⌘Z) — повторно применяет последнее отменённое изменение на этой странице
Redo last undone change on this page,Повторить последнее отменённое изменение на этой странице
Reference,Ссылка
Refund,Возврат средств
Refund amount,Сумма возврата
Remove Zone,Удалить зону
Remove placement,Удалить размещение
Remove rate,Удалить тариф
Remove this rate?,Удалить этот тариф?
Removed,Удалено
Resize settings drawer,Изменить размер панели настроек
"Results for ""${keyword}""",Результаты по запросу «${keyword}»
Revert all pages to saved state,Вернуть все страницы к сохранённому состоянию
Revert everything,Откатить всё
Revert this page,Откатить эту страницу
Revert this page only,Откатить только эту страницу
Revert to saved state?,Откатить к сохранённому состоянию?
Reverting…,Откат…
Rich text,Форматированный текст
Roll back the changes you have made since this rollout was last saved. The live storefront is unaffected — it already reflects the saved state.,"Отменить изменения, сделанные с момента последнего сохранения этого развёртывания. Действующая витрина не затрагивается — она уже отражает сохранённое состояние."
SEO,SEO
SEO Information,Информация SEO
SKU is required,SKU обязателен
Sale,Распродажа
Sandbox,Песочница
Save Settings,Сохранить настройки
Save as rollout plan,Сохранить как план развёртывания
Save as rollout plan and leave,Сохранить как план развёртывания и выйти
Save changes,Сохранить изменения
Save failed,Сохранение не удалось
Save method,Сохранить способ
Save rate,Сохранить ставку
Saving…,Сохранение…
Schedule failed,Планирование не удалось
Scheduled,Запланировано
Search engine optimize,Оптимизация для поисковых систем
Search widgets,Поиск виджетов
Secret Key,Секретный ключ
Select Category,Выбрать категорию
Select Parent Category,Выбрать родительскую категорию
Select Products by SKU,Выбрать товары по SKU
Select a provider first,Сначала выберите поставщика
Select a provider…,Выберите поставщика…
Select an option,Выберите вариант
Select category,Выбрать категорию
Select countries,Выберите страны
Select operator,Выберите оператор
Select options,Выберите варианты
Select page,Выбрать страницу
Select products to add to this collection.,Выберите товары для добавления в эту коллекцию.
Select the list of attribute,Выберите список атрибутов
Select this option if the product is a digital product or service that does not require shipping.,"Выберите этот вариант, если товар является цифровым продуктом или услугой, не требующей доставки."
Set a start time to schedule.,Укажите время начала для планирования.
Set the status and visibility of the product.,Задайте статус и видимость товара.
Share,Поделиться
Shipping Cost,Стоимость доставки
Shipping Providers,Поставщики доставки
Shipping address,Адрес доставки
Shipping cost is required,Стоимость доставки обязательна
Shipping provider setting saved,Настройки поставщика доставки сохранены
Shipping tax class,Налоговый класс доставки
Short text,Короткий текст
Show global areas,Показать глобальные области
Show on routes,Показывать на маршрутах
Show products?,Показывать товары?
Show this widget on every page,Показывать этот виджет на каждой странице
Size (L × W × H),Размер (Д × Ш × В)
Sort,Сортировка
Sort order is required,Порядок сортировки обязателен
Sort order must be a positive number,Порядок сортировки должен быть положительным числом
Start,Начать
Start a page-builder session,Запустить сеанс конструктора страниц
Start date,Дата начала
Start new changeset,Начать новый набор изменений
Start time is invalid.,Время начала недействительно.
State Date,Дата состояния
Status is required,Статус обязателен
Stay,Остаться
Stay on this page,Остаться на этой странице
Stock Availability,Наличие на складе
Stop highlighting global areas,Прекратить выделение глобальных областей
Store Address,Адрес магазина
Store Description,Описание магазина
Store Email,Эл. почта магазина
Store Name,Название магазина
Store Phone Number,Телефон магазина
Store Setting,Настройка магазина
Store Settings,Настройки магазина
Store address,Адрес магазина
Storefront,Витрина
Stripe Payment,Оплата Stripe
Tablet,Планшет
Take our survey,Пройдите наш опрос
Target Products,Целевые товары
Tax Class,Налоговый класс
Tax calculation configuration,Настройка расчёта налогов
Tax class name,Название налогового класса
Tax class name is required,Название налогового класса обязательно
Tax classes,Налоговые классы
Tax rate has been saved successfully!,Налоговая ставка успешно сохранена!
Tax setting has been saved successfully!,Налоговые настройки успешно сохранены!
The box or envelope this product ships in. Applies to all variants of this product.,"Коробка или конверт, в котором отправляется этот товар. Применяется ко всем вариантам этого товара."
The boxes and envelopes you ship with. Every shippable product references one — its dimensions and empty weight drive shipping quotes and labels.,"Коробки и конверты, которые вы используете для отправки. Каждый отправляемый товар ссылается на один из них — его размеры и вес пустой упаковки определяют расчёт стоимости доставки и этикетки."
The conditions related to the customer for the coupon to be applied.,"Условия, связанные с покупателем, при которых применяется купон."
The conditions related to the order for the coupon to be applied.,"Условия, связанные с заказом, при которых применяется купон."
The default package cannot be deleted,Упаковку по умолчанию нельзя удалить
The draft holds ${count} saved changes you can publish later.,"Черновик содержит ${count} сохранённых изменений, которые можно опубликовать позже."
The draft holds 1 saved change you can publish later.,"Черновик содержит 1 сохранённое изменение, которое можно опубликовать позже."
The draft is deleted.,Черновик удалён.
The draft itself is deleted.,Сам черновик удалён.
The general information about the coupon.,Общая информация о купоне.
"The language of the admin panel, independent of the storefront.","Язык панели администратора, независимый от витрины."
The method will no longer apply to this zone.,Этот способ больше не будет применяться к этой зоне.
The minimum quantity of items required in the order to qualify for this coupon.,"Минимальное количество товаров в заказе, необходимое для применения этого купона."
The minimum total amount required for the order to qualify for this coupon.,"Минимальная общая сумма заказа, необходимая для применения этого купона."
The rollout plan,План развёртывания
The storefront's primary language. Pages in this language have no URL prefix.,Основной язык витрины. Страницы на этом языке не имеют префикса в URL.
The type of discount applied by the coupon.,"Тип скидки, применяемой купоном."
The zone this rate applies to.,"Зона, к которой применяется эта ставка."
"There is no ""Select"" attribute available.",Нет доступного атрибута типа «Select».
There is no attribute to display,Нет атрибутов для отображения
There is no category to display,Нет категорий для отображения
There is no collections to display,Нет коллекций для отображения
There is no coupon to display,Нет купонов для отображения
There is no customer to display,Нет покупателей для отображения
There is no order to display,Нет заказов для отображения
There is no page to display,Нет страниц для отображения
There is no widget to display,Нет виджетов для отображения
There was an error fetching attribute groups.,Произошла ошибка при загрузке групп атрибутов.
There was an error fetching categories.,Произошла ошибка при загрузке категорий.
There was an error fetching collections.,Произошла ошибка при загрузке коллекций.
There was an error fetching file browser APIs.,Произошла ошибка при загрузке API файлового браузера.
