Welcome Back!,Добро дошли назад!
Please sign in to your account ,Пријавите се на свој налог 
Join us for exclusive offers and order tracking,Придружите нам се за ексклузивне понуде и праћење поруџбина
Sign Up,Региструј се
Signing Up...,Регистровање...
Signing In...,Пријављивање...
Recent Orders,Недавне поруџбине
Address Book,Адресар
You have no addresses saved,Немате сачуваних адреса
Add new address,Додај нову адресу
Address 2,Адреса 2
Set as default,Постави као подразумевано
Save,Сачувај
Edit,Измени
Delete,Обриши
Edit Address,Измени адресу
Featured collection,Истакнута колекција
Product Filters,Филтери производа
No products found,Нема пронађених производа
${count} Products,${count} производа
Default,Подразумевано
Name,Име
My billing address is same as shipping address,Моја адреса за наплату је иста као адреса за испоруку
"Sorry, there is no available method for your address","Жао нам је, нема доступног начина за вашу адресу"
Contact Information,Контакт подаци
Your Cart,Ваша корпа
Your cart is empty,Ваша корпа је празна
Subtotal,Међузбир
View Cart (${totalQty}),Прикажи корпу (${totalQty})
Shopping Cart,Корпа за куповину
Logged in as,Пријављени као
Payment Information,Подаци о плаћању
Same as shipping address,Исто као адреса за испоруку
Use a different billing address,Користи другу адресу за наплату
Pick a payment method,Изаберите начин плаћања
Select a payment method,Изаберите начин плаћања
Complete Order,Заврши поруџбину
Add to Cart,Додај у корпу
Search,Претрага
${count} orders,${count} поруџбина
${field} is required,${field} је обавезно
${pct}% of orders cancelled,${pct}% поруџбина отказано
${pct}% of orders completed,${pct}% поруџбина завршено
${qty} sold,${qty} продато
${total} lifetime sale,${total} укупна продаја
(Guest Checkout),(Куповина као гост)
(list),(листа)
(optional),(опционо)
A coupon is already applied,Купон је већ примењен
A group needs at least one sub-field,Група мора имати бар једно под-поље
A list of best selling products,Листа најпродаванијих производа
A list of customers who have placed the most orders,Листа купаца који су направили највише поруџбина
A regular expression the value must match.,Регуларни израз коме вредност мора одговарати.
Accepted values,Прихваћене вредности
Active,Активно
Active Filters,Активни филтери
Add address API not available,API за додавање адресе није доступан
Add custom field,Додај прилагођено поље
Add field,Додај поље
Add item,Додај ставку
Add option,Додај опцију
Add product,Додај производ
Add some items to get started,Додајте неке ставке да бисте почели
Add sub-field,Додај под-поље
Adding...,Додавање...
Address has been deleted successfully!,Адреса је успешно обрисана!
Address has been saved successfully!,Адреса је успешно сачувана!
Address has been updated successfully!,Адреса је успешно ажурирана!
Address is required,Адреса је обавезна
Adds target=_blank rel=noopener noreferrer.,Додаје target=_blank rel=noopener noreferrer.
All items fulfilled,Све ставке испуњене
All orders,Све поруџбине
All your past orders,Све ваше претходне поруџбине
Allow multiple,Дозволи више
An unexpected error occurred. Please try again.,Дошло је до неочекиване грешке. Покушајте поново.
Apply Filters,Примени филтере
Are you sure you want to mark the selected orders as shipped?,Да ли сте сигурни да желите да означите изабране поруџбине као послате?
Are you sure?,Да ли сте сигурни?
Attribute Group,Група атрибута
Attribute code is used in API and must be unique,Код атрибута се користи у API-ју и мора бити јединствен
Attribute options,Опције атрибута
Attributes,Атрибути
Available shipping methods will appear once you provide your address details,Доступни начини испоруке ће се појавити када унесете податке о адреси
Best Sellers,Најпродаванији
Best customers,Најбољи купци
Billing address,Адреса за наплату
Black,Црна
Buy qty,Количина куповине
Buy qty is required,Количина куповине је обавезна
Can not process payment. Please try again later.,Није могуће обрадити плаћање. Покушајте поново касније.
Can't be undone,Не може се поништити
Cancel,Откажи
Cancel Order,Откажи поруџбину
Cancel shipment,Откажи пошиљку
Cancel this shipment?,Откажи ову пошиљку?
Canceled,Отказано
Cancelled,Отказано
Cannot add billing address: cart not initialized,Није могуће додати адресу за наплату: корпа није иницијализована
Cannot add contact info: cart not initialized,Није могуће додати контакт податке: корпа није иницијализована
Cannot add payment method: cart not initialized,Није могуће додати начин плаћања: корпа није иницијализована
Cannot add shipping address: cart not initialized,Није могуће додати адресу за испоруку: корпа није иницијализована
Cannot add shipping method: cart not initialized,Није могуће додати начин испоруке: корпа није иницијализована
Cannot add shipping method: providerCode is required,Није могуће додати начин испоруке: providerCode је обавезан
Cannot apply coupon: cart not initialized,Није могуће применити купон: корпа није иницијализована
Cannot remove coupon: cart not initialized,Није могуће уклонити купон: корпа није иницијализована
Carrier,Превозник
Carrier is required,Превозник је обавезан
Cart ID is required to checkout,ID корпе је обавезан за наплату
Cart is not initialized,Корпа није иницијализована
Catalog,Каталог
Categories,Категорије
Category,Категорија
Charcoal,Тамносива
Checkout success,Куповина успешна
Choose Product SKU,Изаберите SKU производа
Choose SKU,Изаберите SKU
City is required,Град је обавезан
Clear All,Обриши све
Clear Filters,Обриши филтере
Clear all,Обриши све
Clear categories,Обриши категорије
Close fullscreen view,Затвори приказ преко целог екрана
Code,Код
Collections,Колекције
Comma-separated; renders the value as a dropdown.,Раздвојено зарезима; приказује вредност као падајући мени.
Completed,Завршено
Configurable,Подесиво
Configure tax classes and tax rates,Подесите пореске класе и пореске стопе
Confirm,Потврди
Contact for pricing,Контактирајте за цену
Conveniently pay with cash at your doorstep when your order is delivered.,Удобно платите готовином на кућном прагу када вам поруџбина буде испоручена.
Coupon applied successfully!,Купон је успешно примењен!
Coupon code is required,Код купона је обавезан
Coupon does not match,Купон се не подудара
Coupon removed successfully!,Купон је успешно уклоњен!
Cream,Крем
Create,Креирај
Create a new attribute,Креирај нови атрибут
Create a new group,Креирај нову групу
Create a new package,Креирај нови пакет
Create shipment,Креирај пошиљку
Created,Креирано
Custom URL,Прилагођени URL
Custom field created,Прилагођено поље је креирано
Custom field updated,Прилагођено поље је ажурирано
Custom fields,Прилагођена поља
Custom fields (JSON),Прилагођена поља (JSON)
Custom fields saved,Прилагођена поља су сачувана
Customer Information,Подаци о купцу
Customer does not have any order yet.,Купац још нема ниједну поруџбину.
Customer notes,Napomene kupca
Daily,Dnevno
Date and time must be after ${min},Datum i vreme moraju biti posle ${min}
Date and time must be before ${max},Datum i vreme moraju biti pre ${max}
Date must be after ${min},Datum mora biti posle ${min}
Date must be before ${max},Datum mora biti pre ${max}
Delete ${count} coupons,Obriši ${count} kupona
Delete ${count} products,Obriši ${count} proizvoda
Delete address API not available,API za brisanje adrese nije dostupan
Delivered,Isporučeno
Description,Opis
Disable,Onemogući
Disable ${count} coupons,Onemogući ${count} kupona
Disable ${count} customers,Onemogući ${count} kupaca
Disable ${count} products,Onemogući ${count} proizvoda
Disabled,Onemogućeno
Discount percent,Procenat popusta
Discount percent is required,Procenat popusta je obavezan
Display on Frontend?,Prikazati na prodavnici?
Displays the mobile sidebar.,Prikazuje mobilnu bočnu traku.
Done,Gotovo
Drag to reorder,Prevucite za promenu redosleda
Duplicate,Dupliraj
Edit custom field,Izmeni prilagođeno polje
Edit field settings,Izmeni podešavanja polja
Edit package,Izmeni paket
Edit tracking info,Izmeni informacije o praćenju
Editing ${name},Izmena ${name}
Email a shipment confirmation,Pošalji potvrdu o slanju imejlom
Email a shipment confirmation with tracking details,Pošalji potvrdu o slanju sa detaljima praćenja imejlom
Email is required,Imejl je obavezan
Enable,Omogući
Enable ${count} coupons,Omogući ${count} kupona
Enable ${count} customers,Omogući ${count} kupaca
Enable ${count} products,Omogući ${count} proizvoda
Enabled,Omogućeno
Enter attribute code,Unesite kod atributa
Enter attribute name,Unesite naziv atributa
Enter text,Unesite tekst
Enter value for ${attribute},Unesite vrednost za ${attribute}
Enter your email,Unesite vaš imejl
Enter your new password,Unesite vašu novu lozinku
Enter your password,Unesite vašu lozinku
Error,Greška
Failed to add address,Dodavanje adrese nije uspelo
Failed to add billing address,Dodavanje adrese za naplatu nije uspelo
Failed to add billing address.,Dodavanje adrese za naplatu nije uspelo.
Failed to add contact info,Dodavanje kontakt podataka nije uspelo
Failed to add contact info.,Dodavanje kontakt podataka nije uspelo.
Failed to add item to cart,Dodavanje stavke u korpu nije uspelo
Failed to add payment method,Dodavanje načina plaćanja nije uspelo
Failed to add payment method.,Dodavanje načina plaćanja nije uspelo.
Failed to add product to cart,Dodavanje proizvoda u korpu nije uspelo
Failed to add shipping address,Dodavanje adrese za isporuku nije uspelo
Failed to add shipping address.,Dodavanje adrese za isporuku nije uspelo.
Failed to add shipping method,Dodavanje načina isporuke nije uspelo
Failed to add shipping method.,Dodavanje načina isporuke nije uspelo.
Failed to apply coupon,Primena kupona nije uspela
Failed to cancel shipment,Otkazivanje pošiljke nije uspelo
Failed to checkout,Završetak kupovine nije uspeo
Failed to create field,Kreiranje polja nije uspelo
Failed to create shipment,Kreiranje pošiljke nije uspelo
Failed to delete address,Brisanje adrese nije uspelo
Failed to load custom fields,Učitavanje prilagođenih polja nije uspelo
Failed to mark delivered,Označavanje kao isporučeno nije uspelo
Failed to place order,Kreiranje porudžbine nije uspelo
Failed to place order. Please try again.,Kreiranje porudžbine nije uspelo. Pokušajte ponovo.
Failed to remove coupon,Uklanjanje kupona nije uspelo
Failed to remove coupon.,Uklanjanje kupona nije uspelo.
Failed to save custom fields,Čuvanje prilagođenih polja nije uspelo
Failed to set shipping method,Postavljanje načina isporuke nije uspelo
Failed to set shipping note,Postavljanje napomene o isporuci nije uspelo
Failed to update address,Ažuriranje adrese nije uspelo
Failed to update field,Ažuriranje polja nije uspelo
Failed to update shipment,Ažuriranje pošiljke nije uspelo
Failed to update tracking info,Ažuriranje informacija o praćenju nije uspelo
Failed to void label,Poništavanje nalepnice nije uspelo
Failed!,Neuspešno!
Fields applicable to this entity type. Adding a field applies it to all entities of this type.,Polja primenljiva na ovaj tip entiteta. Dodavanje polja primenjuje ga na sve entitete ovog tipa.
File size must be less than ${maxSize},Veličina datoteke mora biti manja od ${maxSize}
Filter Products,Filtriraj proizvode
Filters,Filteri
First,Prvo
Free,Besplatno
Free shipping,Besplatna isporuka
Free shipping ?,Besplatna isporuka?
Fulfill ${count} orders,Realizuj ${count} porudžbina
Full Name is required,Puno ime je obavezno
Fully shipped,U potpunosti poslato
General,Opšte
Get qty,Dobijena količina
Get qty is required,Dobijena količina je obavezna
Ghost,Providno
Go,Idi
Go to Login,Idi na prijavu
Go to next page,Idi na sledeću stranicu
Go to previous page,Idi na prethodnu stranicu
Hello,Zdravo
Hide from storefront,Sakrij iz prodavnice
ID,ID
In Stock,Na zalihama
Inactive,Neaktivno
Inclusive of tax ${totalTaxAmount},Sa uključenim porezom ${totalTaxAmount}
Insert,Umetni
Invalid address,Nevažeća adresa
Invalid cart,Nevažeća korpa
Invalid cart id,Nevažeći ID korpe
Invalid coupon,Nevažeći kupon
Invalid customer,Nevažeći kupac
Invalid customer id,Nevažeći ID kupca
Invalid email or password,Nevažeći imejl ili lozinka
Invalid format,Nevažeći format
Invalid quantity,Nevažeća količina
Is Filterable?,Može se filtrirati?
Is Required?,Obavezno?
Item,Stavka
Items,Stavke
Items in this shipment will return to the order's unshipped pool. This action cannot be undone.,Stavke u ovoj pošiljci vratiće se u skup neposlatih stavki porudžbine. Ova radnja se ne može poništiti.
Key,Ključ
Key is required,Ključ je obavezan
Label,Oznaka
Label voided,Nalepnica poništena
Language,Jezik
Last,Poslednje
Lifetime Sales,Ukupna prodaja
Light gray,Svetlo siva
Limit,Ograničenje
Link,Veza
Loading,Učitavanje
Log in,Prijavi se
Logging in...,Prijavljivanje...
Logging out...,Odjavljivanje...
Login failed,Prijava nije uspela
Logout failed,Odjava nije uspela
Look like you just started. No bestsellers yet.,Izgleda da ste tek počeli. Još nema najprodavanijih.
"Lowercase letters, digits, underscore. Immutable.","Mala slova, cifre, donja crta. Nepromenljivo."
Manage the general information of the attribute.,Upravljajte opštim informacijama atributa.
Manage the setting of the attribute.,Upravljajte podešavanjem atributa.
Mark as shipped,Označi kao poslato
Mark delivered,Označi kao isporučeno
Mark shipment as delivered?,Označiti pošiljku kao isporučenu?
Max length,Maksimalna dužina
Max of Y,Maksimalno Y
Max of Y is required,Maksimalno Y je obavezno
Max value,Maksimalna vrednost
Min length,Minimalna dužina
Min value,Minimalna vrednost
Minimum quantity,Minimalna količina
Mint,Menta
Monthly,Mesečno
More,Više
More pages,Još stranica
Move down,Pomeri dole
Move up,Pomeri gore
Multiselect,Višestruki izbor
Must be at least ${n},Mora biti najmanje ${n}
Must be at least ${n} characters,Mora imati najmanje ${n} znakova
Must be at most ${n},Mora biti najviše ${n}
Must be at most ${n} characters,Mora imati najviše ${n} znakova
"Must start with a letter; lowercase letters, digits, underscore only","Mora počinjati slovom; dozvoljena su samo mala slova, cifre i donja crta"
Name is required,Naziv je obavezan
New Product,Novi proizvod
New Widget,Novi vidžet
New folder,Nova fascikla
Next,Sledeće
Next slide,Sledeći slajd
No,Ne
No address data received,Nisu primljeni podaci o adresi
"No attribute groups found for query ""${query}""","Nisu pronađene grupe atributa za upit ""${query}"""
No carriers registered,Nema registrovanih kurira
"No categories found for ""${term}""","Nisu pronađene kategorije za ""${term}"""
"No categories found for query ""${query}""","Nisu pronađene kategorije za upit ""${query}"""
"No collections found for query ""${query}""","Nisu pronađene kolekcije za upit ""${query}"""
No coupon to remove,Nema kupona za uklanjanje
No custom fields yet.,Još nema prilagođenih polja.
No data available,Nema dostupnih podataka
No free shipping,Bez besplatne dostave
No limit,Bez ograničenja
No maximum,Bez maksimuma
No minimum,Bez minimuma
No notes from customer,Nema napomena od kupca
"No options found for ""${code}""","Nisu pronađene opcije za ""${code}"""
"No products found for query ""${query}""","Nisu pronađeni proizvodi za upit ""${query}"""
No shipments yet — your order is being prepared.,Još nema pošiljki — vaša porudžbina se priprema.
No shipping is required for this order,Za ovu porudžbinu nije potrebna dostava
No shipping methods available,Nema dostupnih načina dostave
No shipping options are available for your location,Nema dostupnih opcija dostave za vašu lokaciju
No shipping required,Dostava nije potrebna
No widgets match your search.,Nijedan vidžet ne odgovara vašoj pretrazi.
None,Nijedno
Not set,Nije postavljeno
Not visible to customers,Nije vidljivo kupcima
Notify customer,Obavesti kupca
Open in new tab,Otvori u novom tabu
Operator,Operator
Option text,Tekst opcije
Optional help text shown to admins.,Opcioni tekst pomoći prikazan administratorima.
Order Placed,Porudžbina poslata
Order detail,Detalji porudžbine
Order must contain products matching all conditions below,Porudžbina mora sadržati proizvode koji ispunjavaju sve uslove ispod
Order not found,Porudžbina nije pronađena
Orders,Porudžbine
Others,Ostalo
Out of Stock,Nema na zalihama
Outline,Kontura
Overview of sales data over selected periods,Pregled podataka o prodaji za izabrane periode
Overview of total sales and order status over the lifetime of your store,Pregled ukupne prodaje i statusa porudžbina tokom celog perioda rada vaše prodavnice
Page,Stranica
Page ${currentPage} of ${totalPages},Stranica ${currentPage} od ${totalPages}
Page not found,Stranica nije pronađena
Password is required,Lozinka je obavezna
Password must be at least ${minLength} characters long,Lozinka mora imati najmanje ${minLength} znakova
Paste a URL or a relative path starting with ,Nalepite URL ili relativnu putanju koja počinje sa 
Pattern (regex),Šablon (regex)
Pay with PayPal,Plati putem PayPal-a
Pay with Stripe,Plati putem Stripe-a
Payment Status,Status plaćanja
Placing Order...,Slanje porudžbine...
Please enter a coupon code,Unesite kôd kupona
Please enter a valid URL,Unesite važeći URL
Please enter a valid email address,Unesite važeću imejl adresu
Please enter your email to receive a reset link,Unesite svoju imejl adresu da biste primili link za resetovanje
Please provide billing address to proceed,Unesite adresu za naplatu da biste nastavili
Please select a payment method,Izaberite način plaćanja
Please select a shipping method,Izaberite način dostave
Please sign in to your account,Prijavite se na svoj nalog
Position,Pozicija
Previous,Prethodno
Previous slide,Prethodni slajd
Price: ${value},Cena: ${value}
Primary,Primarno
Print Label,Odštampaj nalepnicu
Processing Payment...,Obrada plaćanja...
Product Description,Opis proizvoda
Product is out of stock,Proizvoda nema na zalihama
Product name is required,Naziv proizvoda je obavezan
Product not found,Proizvod nije pronađen
Product type,Tip proizvoda
Products,Proizvodi
Reason for cancellation,Razlog otkazivanja
Reason is required,Razlog je obavezan
Recently placed orders by this customer,Nedavno poslate porudžbine ovog kupca
Redirecting to PayPal...,Preusmeravanje na PayPal...
Reference type,Tip reference
Registration failed,Registracija nije uspela
Remove item,Ukloni stavku
Remove sub-field,Ukloni potpolje
Required,Obavezno
Requires at least one item to create a cart,Potrebna je najmanje jedna stavka za kreiranje korpe
Reset Password,Resetuj lozinku
Reset Your Password,Resetujte svoju lozinku
Reset password,Resetuj lozinku
Reset your password,Resetujte svoju lozinku
Root,Koren
SKU,SKU
SKU ${sku},SKU ${sku}
SKU must be unique,SKU mora biti jedinstven
SKU: ${sku},SKU: ${sku}
Sale Statistics,Statistika prodaje
Save custom fields,Sačuvaj prilagođena polja
Save field,Sačuvaj polje
Saved successfully!,Uspešno sačuvano!
Search attribute groups,Pretraži grupe atributa
Search categories,Pretraži kategorije
Search collections,Pretraži kolekcije
"Search for products, orders, and other resources","Pretražite proizvode, porudžbine i druge resurse"
Search products,Pretraži proizvode
Search results for: ${keyword},Rezultati pretrage za: ${keyword}
Search widgets…,Pretraži vidžete…
Searching...,Pretraga...
Search…,Pretraži…
See all orders →,Pogledaj sve porudžbine →
Select,Izaberi
Select a carrier,Izaberite kurira
Select at least one item to ship,Izaberite najmanje jednu stavku za slanje
Select groups the attribute belongs to,Izaberite grupe kojima atribut pripada
Select shipping method,Izaberite način dostave
Select sort,Izaberite sortiranje
"Select the items going in this shipment, then add the carrier & tracking.","Izaberite stavke koje idu u ovu pošiljku, zatim dodajte kurira i praćenje."
Setting,Podešavanje
Settings,Podešavanja
Shipment Status,Status pošiljke
Shipment canceled,Pošiljka otkazana
Shipment created,Pošiljka kreirana
Shipment marked delivered,Pošiljka označena kao isporučena
Shipments,Pošiljke
Shipped,Poslato
Shipping (${method}),Dostava (${method})
Shipping Setting,Podešavanje dostave
Show,Prikaži
Show all ${count} options,Prikaži svih ${count} opcija
Show on storefront,Prikaži na prodavnici
Showing ${showing} of ${total},Prikazuje se ${showing} od ${total}
Showing ${start}-${end} of ${total} results,Prikazuje se ${start}-${end} od ${total} rezultata
Sidebar,Bočna traka
Sign in to view your orders,Prijavite se da biste videli svoje porudžbine
Simple,Jednostavno
Sky,Nebesko plava
Sold out,Rasprodato
Some error occurred. Please try again later.,Došlo je do greške. Pokušajte ponovo kasnije.
Some products are not available,Neki proizvodi nisu dostupni
Something went wrong! Please try again.,Nešto je pošlo po zlu! Pokušajte ponovo.
Something went wrong. Please try again later.,Nešto je pošlo po zlu. Pokušajte ponovo kasnije.
Something wrong. Please try again,Nešto nije u redu. Pokušajte ponovo
Sort Order,Redosled sortiranja
Sort order,Redosled sortiranja
Status,Status
Stock,Zaliha
Stripe is not loaded. Please try again.,Stripe nije učitan. Pokušajte ponovo.
Style,Stil
Sub-fields,Podpolja
Submit Cancellation,Pošalji otkazivanje
Successfully logged in,Uspešno ste se prijavili
Successfully logged out,Uspešno ste se odjavili
Tax Setting,Podešavanje poreza
Test failure,Neuspeh testa
Test failure:,Neuspeh testa:
Test success,Uspeh testa
Test success:,Uspeh testa:
Text,Tekst
Textarea,Tekstualno polje
The carrier will mark the tracking number as invalid. You will need to purchase a new label if you still intend to ship.,Prevoznik će označiti broj za praćenje kao nevažeći. Moraćete da kupite novu nalepnicu ako i dalje nameravate da pošaljete pošiljku.
The customer will receive a delivery confirmation email.,Kupac će dobiti imejl sa potvrdom isporuke.
There is no category,Nema kategorije
There is no file to display.,Nema datoteke za prikaz.
There is no sub folder.,Nema podfascikle.
There was an error:,Došlo je do greške:
This tracking link has expired,Ova veza za praćenje je istekla
This tracking link is no longer valid,Ova veza za praćenje više nije važeća
Thumbnail,Sličica
Time must be after ${min},Vreme mora biti posle ${min}
Time must be before ${max},Vreme mora biti pre ${max}
Toggle Sidebar,Uključi/isključi bočnu traku
Token is invalid or expired,Token je nevažeći ili je istekao
Too many items requested,Zatraženo je previše stavki
Track,Prati
Track shipment →,Prati pošiljku →
Track your order,Pratite svoju porudžbinu
Tracking info updated,Informacije o praćenju ažurirane
Tracking link,Veza za praćenje
Tracking links are good for a limited time. Sign in to your account to see the current status of your order.,Veze za praćenje važe ograničeno vreme. Prijavite se na svoj nalog da biste videli trenutni status svoje porudžbine.
Tracking number,Broj za praćenje
Type,Tip
Type / to see the available blocks,Ukucajte / da biste videli dostupne blokove
UPDATE PASSWORD,AŽURIRAJ LOZINKU
Update address API not available,API za ažuriranje adrese nije dostupan
Update field,Ažuriraj polje
Upload,Otpremi
Validation,Validacija
Value,Vrednost
Value must be a whole number,Vrednost mora biti ceo broj
Value must be at least ${min},Vrednost mora biti najmanje ${min}
Value must be at most ${max},Vrednost mora biti najviše ${max}
View All Products,Prikaži sve proizvode
View JSON,Prikaži JSON
View all customers,Prikaži sve kupce
Visible to customer,Vidljivo kupcu
Void Label,Poništi nalepnicu
Void label,Poništi nalepnicu
Void this shipping label?,Poništiti ovu nalepnicu za otpremu?
"We could not find this order. It may have been removed, or it may belong to a different account.",Nismo mogli da pronađemo ovu porudžbinu. Možda je uklonjena ili pripada drugom nalogu.
"We could not verify this link. If you received it in an email from us, please try again from the most recent message, or sign in to your account.","Nismo mogli da verifikujemo ovu vezu. Ako ste je dobili u imejlu od nas, pokušajte ponovo iz najnovije poruke ili se prijavite na svoj nalog."
We have sent you an email with a link to reset your password. Please check your inbox.,Poslali smo vam imejl sa vezom za resetovanje lozinke. Proverite svoje prijemno sanduče.
Weekly,Nedeljno
Welcome to our store!,Dobro došli u našu prodavnicu!
"Where you ship, shipping methods and delivery fee","Gde isporučujete, načini otpreme i naknada za dostavu"
White,Bela
Yes,Da
You are already logged in,Već ste prijavljeni
You are here:,Nalazite se ovde:
You have no attribute groups to display,Nemate grupe atributa za prikaz
You have no categories to display,Nemate kategorije za prikaz
You have no collections to display,Nemate kolekcije za prikaz
You have no products to display,Nemate proizvode za prikaz
You have not placed any orders yet.,Još niste napravili nijednu porudžbinu.
You paid for,Platili ste za
You will be redirected to PayPal for payment processing.,Bićete preusmereni na PayPal radi obrade plaćanja.
Your Orders,Vaše porudžbine
Your order #${number} has been delivered,Vaša porudžbina #${number} je isporučena
Your order #${number} is on the way,Vaša porudžbina #${number} je na putu
Your order has been confirmed!,Vaša porudžbina je potvrđena!
Your password has been updated successfully.,Vaša lozinka je uspešno ažurirana.
across,preko
available to ship,dostupno za otpremu
breadcrumb,putanja
e.g. Care instructions,npr. Uputstva za održavanje
"e.g. New, Sale, Limited","npr. Novo, Rasprodaja, Ograničeno"
e.g. Question,npr. Pitanje
e.g. care_instructions,npr. care_instructions
e.g. question,npr. question
item,stavka
items,stavke
left to ship,preostalo za otpremu
of,od
of ${count},od ${count}
unit,jedinica
units,jedinice
${count} changes published.,Objavljeno je ${count} izmena.
${count} child widgets,${count} podređenih vidžeta
${count} countries,${count} zemalja
${count} on ${route},${count} na ${route}
${count} ops total,ukupno ${count} operacija
${count} pending ops,${count} operacija na čekanju
${count} pending ops on,${count} operacija na čekanju na
${count} routes,${count} ruta
${direction} failed,${direction} nije uspelo
${method} — ${zone} rate,${method} — tarifa za ${zone}
${method} — new rate,${method} — nova tarifa
${name} attached to ${zone},${name} je dodato u ${zone}
${name} configuration for ${zone},Konfiguracija za ${name} za ${zone}
${name} configuration for this zone,Konfiguracija za ${name} za ovu zonu
${name} configuration saved for ${zone},Konfiguracija za ${name} je sačuvana za ${zone}
${name} detached,${name} je odvojeno
${name} is required,${name} je obavezno
${title} settings,Podešavanja za ${title}
${total} changes will go live immediately.,${total} izmena će odmah stupiti na snagu.
${total} items,${total} stavki
(envelope),(koverat)
+ Add Line,+ Dodaj stavku
+ Add Method,+ Dodaj način
+ Add Rate,+ Dodaj tarifu
+ Add placement,+ Dodaj mesto
+ Attach Provider,+ Dodaj provajdera
+ New package,+ Novi paket
+${count} more,+${count} još
", +${count} more",", +${count} još"
", last updated",", poslednje ažuriranje"
0 for flat envelopes,0 za ravne koverte
1 change published.,Objavljena je 1 izmena.
1 change will go live immediately.,1 izmena će odmah stupiti na snagu.
1 child widget,1 podređeni vidžet
1 op total,ukupno 1 operacija
1 pending op,1 operacija na čekanju
1 pending op on,1 operacija na čekanju na
A package is required for shippable products,Paket je obavezan za proizvode koji se otpremaju
A rollout plan saves your current edits as a snapshot and applies them automatically during a scheduled window.,Plan uvođenja čuva vaše trenutne izmene kao snimak i automatski ih primenjuje tokom zakazanog perioda.
Action,Radnja
Actions,Radnje
Add,Dodaj
Add Products,Dodaj proizvode
Add Rate,Dodaj tarifu
Add Shipping Method,Dodaj način otpreme
Add Tax Rate,Dodaj poresku stopu
Add Variant,Dodaj varijantu
Add products to this category by selecting them from the list below.,Dodajte proizvode u ovu kategoriju tako što ćete ih izabrati sa liste ispod.
Add rate,Dodaj tarifu
Added,Dodato
Adding to Column ${number},Dodavanje u kolonu ${number}
Additional languages,Dodatni jezici
Admin panel language,Jezik administratorskog panela
Affects ${count} pages,Утиче на ${count} страница
Affects 1 page,Утиче на 1 страницу
All pages,Све странице
All registered providers are already attached to this zone.,Сви регистровани провајдери су већ додати овој зони.
All routes,Све руте
Also shown on ${routes},Такође приказано на ${routes}
Also shown on ${routes} +${count},Такође приказано на ${routes} +${count}
Amount must be greater than or equal to 0,Износ мора бити већи или једнак 0
Amount must be less than or equal to ${value} ${currency},Износ мора бити мањи или једнак ${value} ${currency}
Apply a condition?,Применити услов?
Area,Област
Area is required,Област је обавезна
At least one country is required,Потребна је најмање једна држава
Attach,Додај
Attach Provider to ${zone},Додај провајдера у ${zone}
Attached Providers,Додати провајдери
Attribute Name,Назив атрибута
Attribute code is required,Код атрибута је обавезан
Attribute created successfully!,Атрибут је успешно креиран!
Attribute group,Група атрибута
Attribute name is required,Назив атрибута је обавезан
Authorize only,Само ауторизација
