Welcome Back!,Добро дошли назад!
There is no attribute to display,Nema atributa za prikaz
There is no category to display,Nema kategorije za prikaz
There is no collections to display,Nema kolekcija za prikaz
There is no coupon to display,Nema kupona za prikaz
There is no customer to display,Nema kupca za prikaz
There is no order to display,Nema porudžbine za prikaz
There is no page to display,Nema stranice za prikaz
There is no widget to display,Nema vidžeta za prikaz
There was an error fetching attribute groups.,Došlo je do greške pri preuzimanju grupa atributa.
There was an error fetching categories.,Došlo je do greške pri preuzimanju kategorija.
There was an error fetching collections.,Došlo je do greške pri preuzimanju kolekcija.
There was an error fetching file browser APIs.,Došlo je do greške pri preuzimanju API-ja pregledača datoteka.
There was an error fetching products.,Došlo je do greške pri preuzimanju proizvoda.
This cannot be undone. Packages still assigned to products can't be removed.,Ovo se ne može poništiti. Paketi koji su još dodeljeni proizvodima ne mogu biti uklonjeni.
This changeset has no operations yet.,Ovaj skup izmena još nema operacija.
This field is required,Ovo polje je obavezno
This is the URL path for the CMS page.,Ovo je URL putanja za CMS stranicu.
This is the address used to calculate tax rates.,Ovo je adresa koja se koristi za obračun poreskih stopa.
This is the meta title for the CMS page.,Ovo je meta naslov za CMS stranicu.
This is the name of the CMS page that will be displayed in the admin panel.,Ovo je naziv CMS stranice koji će biti prikazan u administratorskom panelu.
This is the tax class applied to shipping costs.,Ovo je poreska klasa koja se primenjuje na troškove isporuke.
This product has some variants like color or size?,Da li ovaj proizvod ima varijante poput boje ili veličine?
This provider has no per-zone configuration. Methods and per-zone rates are managed in the provider's own admin area.,Ovaj provajder nema konfiguraciju po zoni. Metodama i tarifama po zoni upravlja se u sopstvenom administratorskom delu provajdera.
This removes the zone along with its provider attachments and rates. This cannot be undone.,Ovo uklanja zonu zajedno sa njenim priloženim provajderima i tarifama. Ovo se ne može poništiti.
This route has unpublished changes in your draft,Ova ruta ima neobjavljene izmene u vašem nacrtu
This will be saved as a pending change you can publish or discard.,Ovo će biti sačuvano kao izmena na čekanju koju možete objaviti ili odbaciti.
Tiered,Stepenasto
Type is required,Tip je obavezan
URL Key,URL ključ
URL Key is required,URL ključ je obavezan
"URL Key must be lowercase and can only contain letters, numbers, and hyphens","URL ključ mora biti malim slovima i može sadržati samo slova, brojeve i crtice"
URL key,URL ključ
URL key is required,URL ključ je obavezan
URL key must be lowercase and can only contain alphanumeric characters and hyphens,URL ključ mora biti malim slovima i može sadržati samo alfanumeričke znakove i crtice
Unassign,Poništi dodelu
Undo (⌘Z) — undoes your last edit on this page,Опозови (⌘Z) — опозива вашу последњу измену на овој страници
Undo / Redo,Опозови / Понови
Undo last change on this page,Опозови последњу измену на овој страници
Unknown,Непознато
Unlink,Уклони везу
Unpin drawer,Откачи фиоку
Unpin — drawer will close when you click empty canvas,Откачи — фиока ће се затворити када кликнете на празно платно
Unpublished changes,Необјављене измене
Unsaved changes,Несачуване измене
Update the name and active window for this rollout plan. Content edits are managed separately in the editor.,Ажурирајте назив и активни период за овај план објаве. Измене садржаја се управљају засебно у уређивачу.
Update the variant details and attributes here.,Овде ажурирајте детаље и атрибуте варијанте.
Updated,Ажурирано
Upload an image for the category.,Отпремите слику за категорију.
Used Times,Број употреба
Value is required,Вредност је обавезна
Variant Group,Група варијанти
Variant created successfully,Варијанта је успешно креирана
Variant updated successfully,Варијанта је успешно ажурирана
Version ${version},Верзија ${version}
Visibility,Видљивост
Visibility determines where the product appears in the store. It does not affect the saleability of the product.,Видљивост одређује где се производ појављује у продавници. Не утиче на могућност продаје производа.
Visitors will see the new layout on their next page load.,Посетиоци ће видети нови распоред при следећем учитавању странице.
Webhook Secret Key,Тајни кључ веб-куке
Weight,Тежина
Weight must be 0 or greater,Тежина мора бити 0 или већа
Weight must be a positive number,Тежина мора бити позитиван број
Weight-based tiers,Нивои на основу тежине
Widget Settings,Подешавања виџета
Widget created successfully!,Виџет је успешно креиран!
Widgets,Виџети
Width,Ширина
Width is required,Ширина је обавезна
Width must be greater than 0,Ширина мора бити већа од 0
Will roll out automatically: ${range},Биће објављено аутоматски: ${range}
Working…,Ради се…
Worldwide,Широм света
X,X
Y,Y
You have ${count} changes in this draft that haven’t been published yet.,Имате ${count} измена у овом нацрту које још нису објављене.
You have ${count} changes still saving.,Имате ${count} измена које се још чувају.
You have 1 change in this draft that hasn’t been published yet.,Имате 1 измену у овом нацрту која још није објављена.
You have 1 change still saving.,Имате 1 измену која се још чува.
Your draft is safe on the server — you can come back and publish it any time.,Ваш нацрт је безбедан на серверу — можете се вратити и објавити га у било ком тренутку.
Your edits on other pages stay in the draft.,Ваше измене на другим страницама остају у нацрту.
Your webhook url should be: https://yourdomain.com/api/stripe/webhook,Ваша URL адреса веб-куке треба да буде: https://yourdomain.com/api/stripe/webhook
Zone,Зона
Zone Name,Назив зоне
Zone Rates,Тарифе зоне
Zone created,Зона је креирана
Zone is required,Зона је обавезна
Zone name is required,Назив зоне је обавезан
Zone removed,Зона је уклоњена
Zone updated,Зона је ажурирана
Zones served,Опслужене зоне
and ${count} more,и још ${count}
container will also hide,контејнер ће се такође сакрити
current page,тренутна страница
e.g. Small Box,нпр. Мала кутија
e.g. Summer Sale 2026,нпр. Летња распродаја 2026
e.g. content,нпр. садржај
"e.g., 10.00",нпр. 10.00
"e.g., EU, US-West","нпр. EU, US-West"
"e.g., Express",нпр. Експрес
"e.g., FEDEX_GROUND, usps_priority","нпр. FEDEX_GROUND, usps_priority"
every page,свака страница
indefinite,неограничено
open,отвори
"publishing is immediate and can’t be undone from this screen. To stage instead, cancel and choose “Schedule a rollout”.","објављивање је тренутно и не може се опозвати са овог екрана. Да бисте уместо тога припремили измене, откажите и изаберите „Закажи објаву“."
quantity of products are matched bellow conditions(All),количина производа испуњава услове наведене испод (Сви)
subtotal,међузбир
to a storefront route's,на руту продавнице
to make it appear here.,да би се појавило овде.
weight,тежина
widget? This will be saved as a pending change you can publish or discard.,виџет? Ово ће бити сачувано као измена на чекању коју можете објавити или одбацити.
will be removed and the live storefront will stop applying its edits. The underlying changeset and its pending content edits are preserved.,биће уклоњено и активна продавница ће престати да примењује своје измене. Основни скуп измена и његове измене садржаја на чекању су сачуване.
— None —,— Ништа —
Cash On Delivery,Плаћање поузећем
Please select a valid payment method,Изаберите важећи начин плаћања
Show ${label} width,Прикажи ширину за ${label}
Column ${index},Колона ${index}
Switch page,Промени страницу
Search pages…,Претражи странице…
Search pages,Претражи странице
Save your pending edits — the live storefront will catch up,Сачувајте измене на чекању — активна продавница ће се ажурирати
No changes to save — the rollout matches the editor,Нема измена за чување — објава се поклапа са уређивачем
More rollout actions,Још радњи за објаву
Revert to saved state…,Врати на сачувано стање…
Roll back the editor to what the rollout currently shows on the storefront,Врати уређивач на оно што објава тренутно приказује у продавници
Nothing to revert — the editor matches the saved state,Нема шта да се врати — уређивач се поклапа са сачуваним стањем
Cancel rollout plan…,Откажи план објаве…
Remove the schedule — the changeset is preserved,Уклони распоред — скуп измена је сачуван
Publish,Објави
More publish options,Још опција за објављивање
Apply all edits to the live storefront immediately,Одмах примени све измене на активну продавницу
Save as rollout plan…,Сачувај као план објаве…
Schedule these edits to roll out at a future time,Закажи ове измене за објаву у будућности
Discard pending changes…,Одбаци измене на чекању…
Choose between discarding the whole draft or just this page,Изаберите између одбацивања целог нацрта или само ове странице
Switch session,Промени сесију
New changeset,Нови скуп измена
Rollout: ${name},Објава: ${name}
Click or drag to add,Кликните или превуците за додавање
Background color,Боја позадине
Text color,Боја текста
Dwell time,Време задржавања
Time each announcement stays visible (in addition to the 400ms slide transition).,Време колико свако обавештење остаје видљиво (поред прелаза клизања од 400ms).
Announcements,Обавештења
Add announcement,Додај обавештење
Untitled,Без назива
Free shipping on orders over $50,Бесплатна достава за поруџбине преко $50
Optional. Makes the entire row a clickable link.,Опционо. Чини цео ред кликабилном везом.
Link label,Натпис везе
Optional. Displayed after the content; defaults to the content itself.,Опционо. Приказује се након садржаја; подразумевано је сам садржај.
Shop now,Купи одмах
Dark,Тамно
Light,Светло
Gradient,Прелив
Left,Лево
Center,Центар
Right,Десно
Selected image,Изабрана слика
No image selected,Ниједна слика није изабрана
Replace,Замени
Clear,Обриши
Reflects the alignment below.,Одражава поравнање испод.
Banner Image,Слика банера
Mobile image,Мобилна слика
Optional. Swapped in below the 768px breakpoint. Falls back to the image above when empty — typical use is a portrait crop of the same scene.,"Опционо. Замењује се испод тачке прелома од 768px. Када је празно, користи се горња слика — типична употреба је усправни исечак исте сцене."
Alignment,Поравнање
Overlay copy,Текст преко слике
Eyebrow,Натнаслов
"Small all-caps label above the heading. E.g. ""LIMITED EDITION"".",Мали натпис великим словима изнад наслова. Нпр. „ОГРАНИЧЕНО ИЗДАЊЕ“.
LIMITED EDITION,ОГРАНИЧЕНО ИЗДАЊЕ
Heading,Наслов
The Summer Edit,Летња колекција
Sub-text,Подтекст
One short supporting sentence.,Једна кратка пратећа реченица.
Overlay placement,Распоред преклопа
Content position,Позиција садржаја
Where the overlay text sits on the image.,Где се налази текст преклопа на слици.
Tint,Нијанса
A scrim behind the overlay text for legibility. Dark / gradient flip the text to white automatically.,Затамњење иза текста преклопа ради читљивости. Тамно / прелив аутоматски мењају текст у бело.
Tint opacity,Непрозирност нијансе
Call to actions,Позиви на акцију
Remove primary CTA,Уклони примарни CTA
+ Add a primary CTA,+ Додај примарни CTA
Secondary,Секундарни
Remove secondary CTA,Уклони секундарни CTA
Learn more,Сазнај више
+ Add a secondary CTA,+ Додај секундарни CTA
Details,Detalji
Alt text,Alt tekst
Describes the banner for screen readers and SEO.,Opisuje baner za čitače ekrana i SEO.
"e.g. ""Summer sale promotional banner""",npr. „Promotivni baner letnje rasprodaje“
Banner link,Link banera
Optional. Clicking the banner navigates here.,Opciono. Klik na baner vodi ovde.
Display name,Prikazano ime
Shop,Prodavnica
Target,Odredište
"Page, category, product, or a custom URL.","Stranica, kategorija, proizvod ili prilagođeni URL."
Nofollow,Nofollow
SEO: don't pass ranking credit to this link (rel=nofollow).,SEO: ne prenosi rangiranje na ovaj link (rel=nofollow).
No referrer,Bez referera
Privacy: drop the referring URL (rel=noreferrer). New-tab links always include this.,Privatnost: izostavlja referer URL (rel=noreferrer). Linkovi koji se otvaraju u novoj kartici uvek ga uključuju.
Menu items,Stavke menija
Add menu item,Dodaj stavku menija
Sub-items,Podstavke
Optional dropdown links (1 level).,Opcioni padajući linkovi (1 nivo).
Add sub-item,Dodaj podstavku
Options,Opcije
Use as main menu,Koristi kao glavni meni
"Primary navigation — on mobile it collapses into a hamburger menu. Turn off for a simple link list (e.g. a footer), which stays inline on mobile.","Primarna navigacija — na mobilnom se skuplja u hamburger meni. Isključite za jednostavnu listu linkova (npr. podnožje), koja na mobilnom ostaje u redu."
Custom CSS classes,Prilagođene CSS klase
Applied to the rendered menu element.,Primenjuje se na renderovani element menija.
e.g. main-nav font-semibold,npr. main-nav font-semibold
S,S
M,M
L,L
Tiles,Pločice
Add tile,Dodaj pločicu
Hero · ,Hero · 
Used when no image is set.,Koristi se kada slika nije postavljena.
Small label above the heading.,Mala oznaka iznad naslova.
THE SUMMER EDIT,LETNJI IZBOR
New Arrivals,Novo u ponudi
Body,Tekst
Big card — the headline of the grid.,Velika kartica — naslov mreže.
Link URL,URL linka
Gap,Razmak
Minimum block height,Minimalna visina bloka
Image left,Slika levo
Image right,Slika desno
Centered,Centrirano
Pull quote,Istaknuti citat
Variant,Varijanta
Image column size,Veličina kolone slike
Describe the image,Opišite sliku
Copy,Tekst
"Small all-caps label. E.g. ""OUR STORY"".",Mala oznaka velikim slovima. Npr. „NAŠA PRIČA“.
Our story,Naša priča
"Made by hand, in small batches","Ručno izrađeno, u malim serijama"
"Required for the pull-quote variant. Displayed large, styled as a blockquote.","Obavezno za varijantu istaknutog citata. Prikazuje se veliko, kao citatni blok."
"A short, quotable line.",Kratka rečenica pogodna za citiranje.
Three or four sentences of brand narrative.,Tri ili četiri rečenice priče o brendu.
Second body paragraph (optional),Drugi pasus teksta (opciono)
A second short paragraph if the story needs it.,Drugi kratak pasus ako je priči potreban.
Read more link,Link „Pročitaj više“
Read more,Pročitaj više
URL,URL
Remove read-more link,Ukloni link „Pročitaj više“
+ Add a read-more link,+ Dodaj link „Pročitaj više“
Square,Kvadrat
Landscape,Pejzaž
Portrait,Portret
Overlay,Preklop
Below,Ispod
New category,Nova kategorija
Section heading,Naslov sekcije
Optional. Shown above the grid.,Opciono. Prikazuje se iznad mreže.
Shop by category,Kupujte po kategoriji
Women,Žene
Columns,Kolone
Auto,Automatski
Asymmetric makes the first tile span 2 columns.,Asimetrično čini da prva pločica zauzima 2 kolone.
Uniform,Ujednačeno
Asymmetric,Asimetrično
Image aspect,Odnos slike
Label position,Pozicija oznake
Blush,Rumena
XL,XL
Position ${c},Pozicija ${c}
Column layout,Raspored kolona
Drag widgets into each column. Children re-flow when you change the ratio.,Prevucite vidžete u svaku kolonu. Elementi se preraspoređuju kada promenite odnos.
Space between columns.,Razmak između kolona.
Where content sits within each column. Applied uniformly to every column.,Gde se sadržaj nalazi unutar svake kolone. Primenjuje se jednako na svaku kolonu.
Row appearance,Izgled reda
Background,Pozadina
Custom color,Prilagođena boja
"Any CSS color (e.g. ""#0a0a0a"" or ""rgb(10,10,10)""). Leave empty to use the swatch above.","Bilo koja CSS boja (npr. „#0a0a0a“ ili „rgb(10,10,10)“). Ostavite prazno da koristite uzorak iznad."
Padding,Unutrašnji razmak
Outer spacing around the row. Scales down on mobile.,Spoljašnji razmak oko reda. Smanjuje se na mobilnom.
Solid,Puna
Dashed,Isprekidana
Already expired,Već isteklo
Expires in ${days}d ${hours}h,Ističe za ${days}d ${hours}č
Expires in ${hours}h ${minutes}m,Ističe za ${hours}č ${minutes}m
Offer,Ponuda
"Urgency line. Optional. E.g. ""Limited · Ends Sunday"".",Rečenica hitnosti. Opciono. Npr. „Ograničeno · Ističe u nedelju“.
Limited · Ends Sunday,Ograničeno · Ističe u nedelju
Headline,Naslov
Take 20% off your order,Ostvarite 20% popusta na porudžbinu
Optional. One short instructional line.,Opciono. Jedna kratka rečenica sa uputstvom.
Use code at checkout,Iskoristite kôd na naplati
Promo code,Promo kôd
Displayed in uppercase to shoppers.,Prikazuje se kupcima velikim slovima.
Expires,Ističe
Optional. The block auto-hides after this time for live visitors.,Opciono. Blok se automatski sakriva nakon ovog vremena za posetioce uživo.
Call to action,Poziv na akciju
Button label,Tekst dugmeta
Shop now →,Kupi odmah →
Button link,Link dugmeta
Appearance,Izgled
Border,Ivica
Narrow,Usko
Normal,Normalno
Wide,Široko
Shown above all content. Optional.,Prikazuje se iznad celog sadržaja. Opciono.
e.g. Frequently asked,npr. Često postavljana
Prose,Tekst
FAQ group · ${count} items,FAQ grupa · ${count} stavki
Group heading,Naslov grupe
Optional sub-heading.,Opcioni podnaslov.
e.g. Shipping,npr. Dostava
Add question,Dodaj pitanje
Question,Pitanje
e.g. How long does shipping take?,npr. Koliko traje dostava?
Answer,Odgovor
"Supports **bold**, _italic_, and line breaks.","Podržava **podebljano**, _kurziv_ i prelome redova."
e.g. Orders ship within 24 hours…,npr. Porudžbine se šalju u roku od 24 sata…
Add prose,Dodaj tekst
Add FAQ group,Dodaj FAQ grupu
Max width,Maks. širina
Content column width.,Širina kolone sadržaja.
Allow multiple open,Dozvoli više otvorenih
"When off, opening one FAQ item closes the others in the same group.","Kada je isključeno, otvaranje jedne FAQ stavke zatvara ostale u istoj grupi."
New link,Novi link
New column,Nova kolona
Add column,Dodaj kolonu
${title} · ${count} links,${title} · ${count} linkova
Column title,Naslov kolone
Links,Linkovi
"Min 1, max 12.","Min. 1, maks. 12."
Add link,Dodaj link
New arrivals,Novo u ponudi
Boxed,U okviru
Wide (full bleed),Široko (preko cele širine)
Boxed stays inside the page's container (theme decides the max-width). Wide breaks out edge-to-edge.,U okviru ostaje unutar kontejnera stranice (tema određuje maks. širinu). Široko se proteže od ivice do ivice.
Scales down on mobile.,Smanjuje se na mobilnom.
Optional. Painted behind content. Combine with a tint below for legibility.,Opciono. Iscrtava se iza sadržaja. Kombinujte sa nijansom ispod radi čitljivosti.
XS,XS
Spacing,Razmak
Size,Veličina
Mobile scales down ~⅔ automatically.,Na mobilnom se automatski smanjuje na ~⅔.
Divider line,Linija razdvajanja
Show divider line,Prikaži liniju razdvajanja
A horizontal rule centred in the spacing band.,Horizontalna linija centrirana u traci razmaka.
Line color,Boja linije
Default uses the theme's divider color.,Podrazumevano koristi boju razdvajanja teme.
Sides,Strane
Bottom,Dno
Dots,Tačke
Bars,Trake
Mobile image (optional),Mobilna slika (opciono)
Used at ≤ 767 px. Falls back to the main image.,Koristi se na ≤ 767 px. Vraća se na glavnu sliku.
e.g. New collection,npr. Nova kolekcija
e.g. Summer Sale,npr. Letnja rasprodaja
Sub text,Podtekst
Check out our latest products with special discounts.,Pogledajte naše najnovije proizvode sa posebnim popustima.
Primary button,Primarno dugme
Secondary button,Sekundarno dugme
+ Add secondary button,+ Dodaj sekundarno dugme
Overrides,Zamene
Leaves slide-specific anchor; falls back to the slideshow's default.,Ostavlja sidro specifično za slajd; vraća se na podrazumevano za slajd-šou.
Overlay tint,Nijansa prekrivača
Overlay opacity,Neprozirnost prekrivača
Make whole slide clickable,Učini ceo slajd kliktabilnim
Behavior,Ponašanje
Transition,Prelaz
Slide,Slajd
Fade,Pretapanje
Transition speed,Brzina prelaza
Autoplay,Automatska reprodukcija
Autoplay delay,Kašnjenje automatske reprodukcije
${seconds} s between slides,${seconds} s između slajdova
Pause on hover,Pauziraj na prelazak mišem
Pause for 20 s after user nav,Pauziraj 20 s nakon navigacije korisnika
Arrows,Strelice
Aspect ratio,Odnos stranica
`Auto` matches the natural image height (jumps between slides).,`Auto` prati prirodnu visinu slike (skače između slajdova).
Default content position,Podrazumevani položaj sadržaja
Per-slide overrides win.,Zamene po slajdu imaju prednost.
Default overlay tint,Podrazumevana nijansa prekrivača
Default overlay opacity,Podrazumevana neprozirnost prekrivača
Slides (${count}),Slajdovi (${count})
No slides yet.,Još nema slajdova.
Add your first slide,Dodajte svoj prvi slajd
Slide ${number},Slajd ${number}
Image only,Samo slika
Empty,Prazno
Show slide,Prikaži slajd
Hide slide,Sakrij slajd
Move slide up,Pomeri slajd gore
Move slide down,Pomeri slajd dole
Delete slide,Obriši slajd
Top,Vrh
Cover,Prekrij
Contain,Uklopi
Required for accessibility.,Obavezno radi pristupačnosti.
Image fit,Uklapanje slike
"Small all-caps label. E.g. ""LIMITED EDITION"".",Mala oznaka velikim slovima. Npr. „LIMITIRANO IZDANJE“.
Limited edition,Limitirano izdanje
One strong line,Jedna jaka linija
Two lines of supporting copy.,Dve linije propratnog teksta.
Image position,Položaj slike
Vertical alignment,Vertikalno poravnanje
Aligns the copy panel content.,Poravnava sadržaj panela teksta.
Remove call to action,Ukloni poziv na akciju
Add a call to action,Dodaj poziv na akciju
Custom CSS classes for the text block,Prilagođene CSS klase za tekstualni blok
Add group,Dodaj grupu
${label} · ${count} subs,${label} · ${count} potkat.
Parent label,Oznaka roditelja
Parent link,Veza roditelja
Image alt text,Alternativni tekst slike
Sub-categories,Potkategorije
"Min 1, max 8.","Min 1, maks 8."
Add sub-category,Dodaj potkategoriju
Dresses,Haljine
Columns (desktop),Kolone (desktop)
On tablets the layout is always 2 columns.,Na tabletima je raspored uvek 2 kolone.
Make parent image a link,Učini sliku roditelja vezom
"When off, only the sub-chips and parent label are interactive.","Kada je isključeno, samo pod-čipovi i oznaka roditelja su interaktivni."
Title,Naslov
e.g. Free shipping,npr. Besplatna dostava
Optional supporting line below the title.,Opciona propratna linija ispod naslova.
Icon,Ikona
Optional. SVG or raster image. Hidden when icons are turned off globally.,Opciono. SVG ili rasterska slika. Sakriveno kada su ikone globalno isključene.
Optional. Makes the whole cell clickable.,Opciono. Čini celu ćeliju kliktabilnom.
"Auto matches the item count, capped at 4.","Auto prati broj stavki, ograničeno na 4."
3,3
4,4
Icon size,Veličina ikone
Show icons,Prikaži ikone
Master switch. Items without an icon URL are unaffected.,Glavni prekidač. Stavke bez URL ikone nisu pogođene.
Show divider,Prikaži razdelnik
Vertical line between cells.,Vertikalna linija između ćelija.
Collection,Kolekcija
Search collections…,Pretraži kolekcije…
No collections match “${value}”.,Nijedna kolekcija ne odgovara „${value}“.
You have no collections yet.,Još nemate kolekcije.
Please select a collection,Izaberite kolekciju
"Defaults to ""${name}"" (the collection's name).",Podrazumevano je „${name}“ (naziv kolekcije).
Defaults to the picked collection's name.,Podrazumevano je naziv izabrane kolekcije.
Collection name,Naziv kolekcije
Defaults to the collection's description. Setting this replaces the rich-text description with plain text.,Podrazumevano je opis kolekcije. Postavljanje ovoga zamenjuje bogati tekstualni opis običnim tekstom.
e.g. Hand-picked styles for the season.,npr. Ručno odabrani stilovi za sezonu.
View all link,Veza „Prikaži sve“
"Optional. Hidden when empty. Pick a category, product, page, or paste a custom URL.","Opciono. Sakriveno kada je prazno. Izaberite kategoriju, proizvod, stranicu ili nalepite prilagođeni URL."
"Optional. Defaults to ""View all →"".",Opciono. Podrazumevano je „Prikaži sve →“.
View all →,Prikaži sve →
Total products,Ukupno proizvoda
Number of products to display.,Broj proizvoda za prikaz.
Products per row,Proizvoda po redu
Grid columns (1–6 typical).,Kolone mreže (tipično 1–6).
Count is required,Broj je obavezan
e.g. 8,npr. 8
Count per row is required,Broj po redu je obavezan
e.g. 4,npr. 4
Cover image,Naslovna slika
COLLECTION,KOLEKCIJA
"Defaults to ""${pickedName}"".",Podrazumevano je „${pickedName}“.
Defaults to the picked collection name.,Podrazumevano je naziv izabrane kolekcije.
Optional. One or two sentences of editorial copy.,Opciono. Jedna ili dve rečenice uredničkog teksta.
"Linen, cotton, easy stuff.","Lan, pamuk, lagane stvari."
Preview product count,Broj proizvoda u pregledu
2 (1×2),2 (1×2)
4 (2×2),4 (2×2)
Please pick a collection,Izaberite kolekciju
Add collection,Dodaj kolekciju
Row heading,Naslov reda
The Linen Edit,The Linen Edit
Optional. Hidden when empty.,Opciono. Sakriveno kada je prazno.
View all label,Oznaka „Prikaži sve“
Show price,Prikaži cenu
Show divider between rows,Prikaži razdelnik između redova
Selected:,Izabrano:
Image override,Zamena slike
Override image,Zameni sliku
Override image (optional),Zameni sliku (opciono)
Leave empty to use the product's primary image.,Ostavite prazno da biste koristili primarnu sliku proizvoda.
Small label above the product name. Optional.,Mala oznaka iznad naziva proizvoda. Opciono.
FEATURED,IZDVOJENO
Editorial copy,Urednički tekst
Overrides the product's own description in this context. Leave blank to hide.,Zamenjuje sopstveni opis proizvoda u ovom kontekstu. Ostavite prazno da biste sakrili.
Two lines of copy explaining why this product is being spotlighted right now.,Dve linije teksta koje objašnjavaju zašto je ovaj proizvod sada istaknut.
Please pick a product,Izaberite proizvod
e.g. On orders over $50,npr. Za porudžbine preko $50
Text block,Tekstualni blok
Menu,Meni
Footer menu,Meni podnožja
Banner,Банер
Simple Slideshow,Једноставан слајдшоу
Brand story,Прича о бренду
Category mosaic,Мозаик категорија
Tiered categories,Степеноване категорије
Bento grid,Бенто мрежа
Separator,Раздвајач
Section,Одељак
Split feature,Подељени блок
Announcement bar,Трака са обавештењима
Coupon block,Блок купона
FAQ block,Блок честих питања
Trust strip,Трака поверења
Collection products,Производи колекције
Collection stack,Низ колекција
Collection spotlight,Издвојена колекција
Product hero,Истакнути производ
Layout container with 1–4 columns for nesting widgets.,Контејнер распореда са 1–4 колоне за угнежђивање виџета.
Add rich text content,Додајте богат текстуални садржај
Navigation links,Навигациони линкови
Multi-column list of footer links — a titled column of navigation links per group.,Вишеколонска листа линкова подножја — насловљена колона навигационих линкова по групи.
A single hero image with optional overlay copy and CTAs.,Једна истакнута слика са опционим прекривним текстом и CTA дугмадима.
Rotating image carousel,Ротирајући карусел слика
Editorial block combining an image and long-form brand narrative. Four layout variants.,Уређивачки блок који комбинује слику и дужи наратив о бренду. Четири варијанте распореда.
"A grid of 3–6 category tiles for the primary ""Shop by category"" entry point.",Мрежа од 3–6 плочица категорија за главну улазну тачку „Купуј по категорији”.
A two-level nav block: parent category image plus a row of sub-category chips.,Дводимензиони навигациони блок: слика надређене категорије плус ред чипова поткатегорија.
An asymmetric mosaic of CTA tiles — one large hero plus 1–4 supporting tiles.,Асиметрични мозаик CTA плочица — једна велика истакнута плус 1–4 пратеће плочице.
"Vertical spacing between widgets, with an optional divider line. Mobile scales down automatically.","Вертикални размак између виџета, са опционом линијом раздвајача. На мобилном се аутоматски смањује."
Styled droppable band that wraps other widgets. Toggle between wide (edge-to-edge) and boxed (theme container).,Стилизована трака за испуштање која обавија друге виџете. Пребацујте између широког (од ивице до ивице) и уоквиреног (контејнер теме).
A 50/50 image + copy promo block with optional CTA. The canonical promo moment widget.,Промотивни блок 50/50 са сликом и текстом и опционим CTA дугметом. Канонски виџет за промотивни тренутак.
A thin top-of-page bar with one or more rotating announcements.,Танка трака на врху странице са једним или више ротирајућих обавештења.
A promo panel with a copyable discount code and CTA.,Промотивни панел са кодом за попуст који се може копирати и CTA дугметом.
Flexible content block mixing prose sections and accordion FAQ groups.,Флексибилан садржински блок који комбинује текстуалне одељке и хармоника групе честих питања.
"A row of value-prop items (free shipping, easy returns, etc.) for below-the-hero or above-the-footer reinforcement.","Ред ставки са предностима (бесплатна достава, лако враћање итд.) за наглашавање испод истакнутог дела или изнад подножја."
A list of products from a collection,Листа производа из колекције
"Stacked rows of collections, each with a heading, view-all link, and a strip of products.","Поређани редови колекција, сваки са насловом, линком „прикажи све” и тракom производа."
"A featured collection with cover image, editorial copy, and a small product preview grid.","Истакнута колекција са насловном сликом, уређивачким текстом и малом мрежом за преглед производа."
"A single-product spotlight — image, name, price, and a link to the full product page.","Издвајање једног производа — слика, назив, цена и линк ка целој страници производа."
